"Rociletinib(625mg)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","6.47 (2.36 to  17.68)",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.16 (0.29 to    4.56)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".","2.93 (1.54 to   5.59)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"6.70 (2.02 to   22.24)","5.78 (2.11 to   15.85)","11.60 (0.58 to  231.07)","5.45 (2.14 to   13.85)","7.94 (0.39 to  161.21)","7.07 (0.36 to  137.79)","3.07 (1.27 to    7.41)","3.40 (0.68 to   17.02)","2.65 (0.98 to    7.16)","2.89 (0.56 to   14.80)","2.21 (0.83 to    5.88)","3.03 (0.12 to   75.44)","1.97 (0.91 to    4.28)","1.72 (0.36 to    8.24)","1.41 (0.52 to    3.81)","1.36 (0.31 to    5.99)","1.23 (0.63 to    2.39)","1.15 (0.56 to    2.36)","1.14 (0.41 to    3.16)","1.11 (0.67 to    1.86)","1.05 (0.51 to    2.17)","1.04 (0.34 to    3.19)","1.04 (0.54 to    1.99)","1.01 (0.50 to    2.03)","Gefitinib",".",".",".",".",".",".","0.98 (0.30 to   3.22)",".","1.01 (0.10 to   9.82)",".","."
"7.31 (1.70 to   31.40)","6.30 (2.23 to   17.82)","12.66 (0.57 to  282.13)","5.95 (1.69 to   20.99)","8.66 (0.35 to  215.58)","7.72 (0.32 to  184.75)","3.35 (1.34 to    8.37)","3.71 (0.61 to   22.69)","2.89 (0.99 to    8.46)","3.16 (0.51 to   19.69)","2.41 (0.77 to    7.50)","3.31 (0.11 to   99.68)","2.15 (0.95 to    4.86)","1.88 (0.32 to   11.05)","1.53 (0.42 to    5.62)","1.49 (0.27 to    8.30)","1.34 (0.45 to    3.95)","1.25 (0.33 to    4.77)","1.24 (0.27 to    5.68)","1.22 (0.35 to    4.19)","1.15 (0.38 to    3.45)","1.13 (0.27 to    4.70)","1.13 (0.39 to    3.25)","1.10 (0.36 to    3.37)","1.09 (0.35 to    3.36)","Zorifertinib",".",".",".",".","1.13 (0.63 to   2.04)",".",".",".",".","."
"7.16 (2.22 to   23.01)","6.17 (2.05 to   18.63)","12.40 (0.63 to  243.82)","5.83 (2.32 to   14.61)","8.48 (0.37 to  195.66)","7.56 (0.34 to  167.52)","3.28 (1.22 to    8.82)","3.63 (0.74 to   17.76)","2.83 (0.93 to    8.62)","3.09 (0.62 to   15.45)","2.36 (0.76 to    7.35)","3.24 (0.12 to   90.86)","2.11 (0.86 to    5.16)","1.84 (0.40 to    8.60)","1.50 (0.57 to    3.97)","1.46 (0.32 to    6.74)","1.31 (0.64 to    2.70)","1.23 (0.39 to    3.84)","1.22 (0.31 to    4.70)","1.19 (0.43 to    3.31)","1.12 (0.57 to    2.20)","1.11 (0.34 to    3.64)","1.11 (0.61 to    2.00)","1.08 (0.49 to    2.40)","1.07 (0.44 to    2.59)","0.98 (0.29 to    3.29)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".",".","."
"8.06 (1.41 to   46.11)","6.95 (1.27 to   38.14)","13.96 (0.54 to  359.45)","6.56 (1.34 to   32.13)","9.55 (0.32 to  284.83)","8.51 (0.30 to  244.61)","3.69 (0.72 to   18.84)","4.09 (0.53 to   31.73)","3.19 (0.58 to   17.60)","3.48 (0.44 to   27.47)","2.66 (0.47 to   14.89)","3.65 (0.10 to  130.44)","2.37 (0.49 to   11.46)","2.08 (0.28 to   15.53)","1.69 (0.33 to    8.54)","1.64 (0.22 to   12.19)","1.48 (0.34 to    6.51)","1.38 (0.25 to    7.77)","1.37 (0.21 to    8.90)","1.34 (0.26 to    6.98)","1.27 (0.29 to    5.44)","1.25 (0.22 to    7.24)","1.25 (0.30 to    5.18)","1.22 (0.27 to    5.57)","1.20 (0.25 to    5.78)","1.10 (0.19 to    6.50)","1.13 (0.24 to    5.27)","DHFR inhibitor",".",".",".",".",".",".",".","."
"7.38 (2.30 to   23.72)","6.37 (2.11 to   19.20)","12.79 (0.65 to  251.44)","6.01 (2.40 to   15.06)","8.75 (0.38 to  201.78)","7.80 (0.35 to  172.76)","3.38 (1.26 to    9.08)","3.75 (0.77 to   18.31)","2.92 (0.96 to    8.88)","3.19 (0.64 to   15.93)","2.44 (0.78 to    7.57)","3.34 (0.12 to   93.71)","2.17 (0.89 to    5.32)","1.90 (0.41 to    8.86)","1.55 (0.59 to    4.09)","1.50 (0.33 to    6.94)","1.35 (0.66 to    2.78)","1.27 (0.41 to    3.96)","1.25 (0.32 to    4.84)","1.23 (0.44 to    3.41)","1.16 (0.59 to    2.26)","1.14 (0.35 to    3.75)","1.14 (0.63 to    2.06)","1.11 (0.50 to    2.47)","1.10 (0.46 to    2.67)","1.01 (0.30 to    3.39)","1.03 (0.45 to    2.39)","0.92 (0.20 to    4.29)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".","."
"13.69 (0.48 to  391.13)","11.82 (0.49 to  287.66)","23.73 (0.31 to 1801.20)","11.15 (0.42 to  293.72)","16.23 (0.20 to 1334.83)","14.46 (0.18 to 1156.16)","6.27 (0.27 to  147.03)","6.95 (0.21 to  234.92)","5.42 (0.22 to  133.43)","5.91 (0.17 to  201.88)","4.52 (0.18 to  113.63)","6.20 (0.07 to  587.24)","4.03 (0.18 to   91.91)","3.53 (0.11 to  116.69)","2.87 (0.11 to   76.84)","2.79 (0.09 to   89.92)","2.51 (0.10 to   61.98)","2.35 (0.09 to   63.78)","2.33 (0.08 to   68.29)","2.28 (0.09 to   59.46)","2.15 (0.09 to   53.45)","2.12 (0.08 to   59.70)","2.12 (0.09 to   51.84)","2.07 (0.08 to   51.64)","2.05 (0.08 to   51.26)","1.87 (0.07 to   47.43)","1.91 (0.07 to   49.47)","1.70 (0.05 to   56.33)","1.85 (0.07 to   47.93)","Osimertinib + PD-L1 inhibitor",".",".",".",".",".","."
"8.28 (2.18 to   31.42)","7.15 (3.04 to   16.82)","14.35 (0.68 to  302.20)","6.74 (2.21 to   20.56)","9.81 (0.42 to  231.38)","8.75 (0.39 to  198.15)","3.79 (1.88 to    7.65)","4.21 (0.76 to   23.30)","3.28 (1.33 to    8.04)","3.58 (0.63 to   20.24)","2.73 (1.04 to    7.21)","3.75 (0.13 to  107.31)","2.44 (1.39 to    4.28)","2.13 (0.40 to   11.32)","1.74 (0.55 to    5.53)","1.69 (0.34 to    8.47)","1.52 (0.61 to    3.76)","1.42 (0.43 to    4.71)","1.41 (0.35 to    5.71)","1.38 (0.46 to    4.08)","1.30 (0.51 to    3.29)","1.28 (0.35 to    4.68)","1.28 (0.53 to    3.07)","1.25 (0.48 to    3.23)","1.24 (0.47 to    3.23)","1.13 (0.63 to    2.04)","1.16 (0.40 to    3.33)","1.03 (0.19 to    5.47)","1.12 (0.39 to    3.23)","0.60 (0.03 to   14.49)","Gefitinib/Erlotinib",".",".",".",".","."
"8.61 (2.77 to   26.75)","7.43 (3.28 to   16.84)","14.91 (0.77 to  289.38)","7.01 (2.94 to   16.68)","10.20 (0.47 to  223.40)","9.09 (0.43 to  191.14)","3.94 (2.05 to    7.59)","4.37 (0.92 to   20.83)","3.40 (1.47 to    7.91)","3.72 (0.76 to   18.13)","2.84 (1.17 to    6.91)","3.90 (0.15 to  104.07)","2.53 (1.53 to    4.19)","2.22 (0.49 to   10.08)","1.81 (0.72 to    4.55)","1.75 (0.41 to    7.49)","1.58 (0.86 to    2.89)","1.48 (0.55 to    3.96)","1.46 (0.43 to    4.98)","1.43 (0.61 to    3.35)","1.35 (0.73 to    2.49)","1.33 (0.45 to    3.95)","1.33 (0.79 to    2.25)","1.30 (0.69 to    2.45)","1.29 (0.65 to    2.53)","1.18 (0.45 to    3.07)","1.20 (0.54 to    2.66)","1.07 (0.23 to    4.88)","1.17 (0.53 to    2.57)","0.63 (0.03 to   14.91)","1.04 (0.49 to    2.21)","Placebo",".","2.47 (0.70 to   8.66)",".","."
"20.13 (0.69 to  589.19)","17.37 (0.61 to  497.56)","34.89 (0.45 to 2698.58)","16.39 (0.61 to  443.84)","23.87 (0.28 to 2062.54)","21.26 (0.25 to 1787.03)","9.22 (0.33 to  254.78)","10.23 (0.30 to  353.47)","7.97 (0.28 to  228.85)","8.70 (0.25 to  303.73)","6.64 (0.23 to  192.25)","9.12 (0.09 to  906.01)","5.93 (0.22 to  159.48)","5.19 (0.15 to  175.61)","4.23 (0.15 to  116.14)","4.10 (0.12 to  138.29)","3.69 (0.14 to   95.14)","3.46 (0.12 to  100.19)","3.42 (0.11 to  107.10)","3.35 (0.12 to   93.46)","3.16 (0.12 to   80.60)","3.12 (0.11 to   91.97)","3.11 (0.12 to   78.18)","3.04 (0.12 to   79.69)","3.01 (0.11 to   80.64)","2.76 (0.09 to   81.88)","2.81 (0.11 to   74.58)","2.50 (0.07 to   84.77)","2.73 (0.10 to   72.25)","1.47 (0.02 to  137.78)","2.43 (0.09 to   68.60)","2.34 (0.09 to   61.27)","Erlotinib + COX2 inhibitor",".",".","."
"10.92 (3.46 to   34.43)","9.42 (3.35 to   26.51)","18.92 (0.97 to  369.18)","8.89 (3.64 to   21.68)","12.94 (0.57 to  291.93)","11.53 (0.53 to  249.86)","5.00 (2.01 to   12.44)","5.54 (1.15 to   26.71)","4.32 (1.52 to   12.28)","4.72 (0.96 to   23.25)","3.60 (1.24 to   10.49)","4.95 (0.18 to  135.74)","3.21 (1.43 to    7.22)","2.81 (0.61 to   12.92)","2.29 (0.89 to    5.90)","2.22 (0.49 to    9.99)","2.00 (1.02 to    3.92)","1.88 (0.64 to    5.50)","1.85 (0.51 to    6.80)","1.82 (0.70 to    4.70)","1.71 (0.91 to    3.24)","1.69 (0.54 to    5.35)","1.69 (0.97 to    2.94)","1.65 (0.78 to    3.46)","1.63 (0.73 to    3.63)","1.49 (0.47 to    4.71)","1.53 (0.68 to    3.44)","1.36 (0.29 to    6.25)","1.48 (0.66 to    3.33)","0.80 (0.03 to   20.14)","1.32 (0.49 to    3.53)","1.27 (0.64 to    2.51)","0.54 (0.02 to   14.27)","Dacomitinib",".","."
"39.54 (1.69 to  927.05)","34.12 (1.73 to  674.65)","68.50 (1.05 to 4472.01)","32.19 (1.50 to  692.55)","46.86 (0.66 to 3323.53)","41.76 (0.61 to 2875.81)","18.11 (0.95 to  343.90)","20.08 (0.72 to  562.36)","15.64 (0.78 to  313.19)","17.08 (0.60 to  483.54)","13.05 (0.64 to  267.10)","17.91 (0.22 to 1469.08)","11.64 (0.63 to  214.54)","10.18 (0.37 to  279.02)","8.30 (0.38 to  181.35)","8.05 (0.30 to  214.69)","7.25 (0.36 to  145.50)","6.79 (0.31 to  150.68)","6.71 (0.28 to  162.14)","6.58 (0.31 to  140.11)","6.21 (0.31 to  125.53)","6.13 (0.27 to  141.35)","6.12 (0.31 to  121.62)","5.96 (0.29 to  121.32)","5.91 (0.29 to  120.45)","5.41 (0.26 to  111.53)","5.53 (0.26 to  116.50)","4.91 (0.18 to  134.71)","5.36 (0.25 to  112.87)","2.89 (0.04 to  207.28)","4.77 (0.25 to   92.85)","4.59 (0.24 to   88.40)","1.96 (0.02 to  159.36)","3.62 (0.18 to   74.51)","Chemotherapy + antiangiogenesis","."
"58.19 (1.52 to 2233.24)","50.21 (1.33 to 1888.98)","100.82 (1.05 to 9657.69)","47.38 (1.33 to 1692.27)","68.97 (0.65 to 7344.07)","61.45 (0.59 to 6371.06)","26.65 (0.73 to  969.92)","29.55 (0.66 to 1323.97)","23.02 (0.61 to  868.61)","25.13 (0.56 to 1136.87)","19.20 (0.51 to  729.32)","26.36 (0.22 to 3206.59)","17.13 (0.48 to  608.39)","14.99 (0.34 to  658.69)","12.21 (0.34 to  442.32)","11.85 (0.27 to  518.85)","10.67 (0.31 to  364.17)","9.99 (0.26 to  380.03)","9.88 (0.24 to  403.94)","9.68 (0.26 to  355.53)","9.14 (0.27 to  308.78)","9.02 (0.23 to  348.43)","9.00 (0.27 to  299.86)","8.78 (0.25 to  304.58)","8.69 (0.25 to  307.68)","7.97 (0.20 to  310.02)","8.13 (0.23 to  284.82)","7.22 (0.16 to  317.94)","7.88 (0.23 to  275.96)","4.25 (0.04 to  488.84)","7.03 (0.19 to  260.75)","6.76 (0.20 to  234.21)","2.89 (0.02 to  338.19)","5.33 (0.15 to  185.49)","1.47 (0.01 to  147.59)","Erlotinib + HGF inhibitor"
