"Erlotinib + HGF inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","0.11 (0.00 to   3.70)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.08 (0.00 to    3.69)","0.12 (0.00 to    3.32)","0.45 (0.10 to    2.04)","0.24 (0.01 to    8.22)","0.57 (0.13 to    2.45)","0.36 (0.01 to   11.60)","0.59 (0.12 to    2.99)","0.61 (0.08 to    4.53)","0.69 (0.15 to    3.17)","0.67 (0.12 to    3.76)","0.72 (0.16 to    3.31)","0.73 (0.17 to    3.20)","0.74 (0.20 to    2.73)","0.76 (0.19 to    3.11)","0.76 (0.18 to    3.24)","0.76 (0.16 to    3.67)","0.71 (0.02 to   28.39)","0.82 (0.17 to    3.88)","0.83 (0.14 to    4.89)","0.84 (0.16 to    4.34)","0.80 (0.02 to   31.93)","0.92 (0.04 to   21.99)","0.90 (0.21 to    3.78)","Afatinib + HMGCR inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.08 (0.00 to    2.97)","0.12 (0.01 to    2.64)","0.44 (0.17 to    1.13)","0.24 (0.01 to    6.51)","0.56 (0.22 to    1.40)","0.35 (0.01 to    9.33)","0.58 (0.18 to    1.83)","0.59 (0.12 to    2.99)","0.67 (0.26 to    1.75)","0.65 (0.18 to    2.40)","0.70 (0.27 to    1.83)","0.71 (0.27 to    1.89)","0.72 (0.28 to    1.82)","0.74 (0.34 to    1.59)","0.74 (0.32 to    1.70)","0.74 (0.21 to    2.66)","0.69 (0.02 to   22.99)","0.79 (0.26 to    2.39)","0.81 (0.20 to    3.24)","0.82 (0.24 to    2.75)","0.78 (0.02 to   25.86)","0.89 (0.05 to   17.54)","0.87 (0.38 to    2.01)","0.97 (0.20 to    4.82)","Erlotinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.07 (0.00 to    2.93)","0.10 (0.00 to    2.70)","0.36 (0.08 to    1.65)","0.19 (0.01 to    6.53)","0.45 (0.10 to    2.06)","0.28 (0.01 to    9.41)","0.47 (0.09 to    2.49)","0.48 (0.06 to    3.61)","0.54 (0.12 to    2.53)","0.53 (0.09 to    3.13)","0.57 (0.12 to    2.64)","0.58 (0.12 to    2.74)","0.59 (0.13 to    2.67)","0.60 (0.15 to    2.49)","0.60 (0.14 to    2.59)","0.60 (0.10 to    3.48)","0.56 (0.01 to   22.86)","0.65 (0.13 to    3.31)","0.66 (0.10 to    4.13)","0.67 (0.12 to    3.69)","0.63 (0.02 to   25.72)","0.72 (0.03 to   18.06)","0.71 (0.16 to    3.10)","0.79 (0.11 to    5.86)","0.81 (0.16 to    4.10)","Erlotinib + Autophagy inhibitor",".",".",".",".",".",".",".",".",".",".",".","."
"0.04 (0.00 to    4.59)","0.06 (0.00 to    4.58)","0.20 (0.01 to    5.58)","0.11 (0.00 to   10.84)","0.26 (0.01 to    6.84)","0.16 (0.00 to   15.26)","0.27 (0.01 to    7.62)","0.27 (0.01 to    9.74)","0.31 (0.01 to    8.61)","0.30 (0.01 to    9.09)","0.32 (0.01 to    9.01)","0.33 (0.01 to    8.20)","0.33 (0.01 to    8.89)","0.34 (0.01 to    9.02)","0.34 (0.01 to    9.21)","0.34 (0.01 to   10.26)","0.32 (0.00 to   34.97)","0.37 (0.01 to    9.51)","0.37 (0.01 to   10.76)","0.38 (0.01 to   10.21)","0.36 (0.00 to   39.34)","0.41 (0.01 to   29.55)","0.40 (0.02 to   10.64)","0.45 (0.01 to   15.41)","0.46 (0.02 to   13.31)","0.57 (0.02 to   20.17)","Gefitinib + PARP inhibitor",".",".",".",".",".",".",".",".",".",".","."
"0.06 (0.00 to    2.06)","0.09 (0.00 to    1.58)","0.31 (0.14 to    0.70)","0.17 (0.01 to    4.52)","0.40 (0.24 to    0.65)","0.25 (0.01 to    5.65)","0.41 (0.23 to    0.72)","0.42 (0.09 to    2.03)","0.47 (0.20 to    1.15)","0.46 (0.21 to    1.05)","0.50 (0.21 to    1.20)","0.51 (0.24 to    1.08)","0.51 (0.24 to    1.10)","0.52 (0.27 to    1.02)","0.53 (0.25 to    1.10)","0.52 (0.16 to    1.68)","0.49 (0.02 to   15.72)","0.56 (0.23 to    1.41)","0.57 (0.16 to    1.99)","0.58 (0.20 to    1.65)","0.55 (0.02 to   17.68)","0.63 (0.03 to   11.67)","0.62 (0.31 to    1.25)","0.69 (0.15 to    3.13)","0.71 (0.26 to    1.95)","0.87 (0.18 to    4.19)","1.53 (0.06 to   41.68)","Osimertinib",".","0.79 (0.33 to   1.88)",".","0.71 (0.35 to   1.45)","0.65 (0.43 to   0.98)",".",".",".",".","0.35 (0.19 to   0.66)"
"0.05 (0.00 to    2.19)","0.07 (0.00 to    2.01)","0.27 (0.06 to    1.22)","0.14 (0.00 to    4.88)","0.34 (0.08 to    1.53)","0.21 (0.01 to    7.02)","0.35 (0.07 to    1.85)","0.36 (0.05 to    2.68)","0.41 (0.09 to    1.88)","0.40 (0.07 to    2.32)","0.43 (0.09 to    1.96)","0.44 (0.09 to    2.03)","0.44 (0.10 to    1.98)","0.45 (0.11 to    1.84)","0.45 (0.11 to    1.92)","0.45 (0.08 to    2.59)","0.42 (0.01 to   17.08)","0.48 (0.10 to    2.46)","0.49 (0.08 to    3.07)","0.50 (0.09 to    2.74)","0.48 (0.01 to   19.21)","0.54 (0.02 to   13.48)","0.53 (0.12 to    2.30)","0.59 (0.08 to    4.36)","0.61 (0.12 to    3.04)","0.75 (0.10 to    5.55)","1.32 (0.04 to   46.62)","0.86 (0.18 to    4.09)","Erlotinib + HER3 inhibitor",".",".",".",".",".",".",".",".","."
"0.05 (0.00 to    1.97)","0.08 (0.00 to    1.57)","0.28 (0.10 to    0.81)","0.15 (0.01 to    4.34)","0.35 (0.15 to    0.86)","0.22 (0.01 to    5.57)","0.37 (0.14 to    0.97)","0.38 (0.07 to    2.10)","0.42 (0.14 to    1.31)","0.42 (0.13 to    1.29)","0.44 (0.14 to    1.36)","0.45 (0.17 to    1.19)","0.46 (0.16 to    1.27)","0.47 (0.18 to    1.23)","0.47 (0.17 to    1.30)","0.47 (0.12 to    1.81)","0.44 (0.01 to   14.91)","0.50 (0.17 to    1.51)","0.51 (0.13 to    2.04)","0.52 (0.16 to    1.74)","0.49 (0.01 to   16.78)","0.56 (0.03 to   11.09)","0.55 (0.21 to    1.48)","0.62 (0.12 to    3.24)","0.63 (0.19 to    2.16)","0.78 (0.14 to    4.34)","1.37 (0.05 to   39.32)","0.89 (0.41 to    1.97)","1.04 (0.19 to    5.72)","Lazertinib",".","0.90 (0.39 to   2.07)",".",".",".",".",".","."
"0.04 (0.00 to    1.80)","0.06 (0.00 to    1.66)","0.21 (0.04 to    1.05)","0.11 (0.00 to    4.02)","0.27 (0.06 to    1.32)","0.17 (0.00 to    5.79)","0.28 (0.05 to    1.59)","0.29 (0.04 to    2.27)","0.32 (0.07 to    1.62)","0.32 (0.05 to    1.98)","0.34 (0.07 to    1.69)","0.35 (0.07 to    1.75)","0.35 (0.07 to    1.71)","0.36 (0.08 to    1.60)","0.36 (0.08 to    1.66)","0.36 (0.06 to    2.20)","0.34 (0.01 to   14.04)","0.39 (0.07 to    2.11)","0.39 (0.06 to    2.61)","0.40 (0.07 to    2.34)","0.38 (0.01 to   15.80)","0.43 (0.02 to   11.14)","0.42 (0.09 to    1.99)","0.47 (0.06 to    3.69)","0.49 (0.09 to    2.61)","0.60 (0.08 to    4.69)","1.05 (0.03 to   38.38)","0.68 (0.13 to    3.52)","0.79 (0.10 to    6.21)","0.77 (0.13 to    4.54)","Erlotinib + MMP inhibitor",".",".",".",".",".",".","."
"0.04 (0.00 to    1.63)","0.06 (0.00 to    1.28)","0.23 (0.08 to    0.66)","0.13 (0.00 to    3.59)","0.29 (0.13 to    0.68)","0.18 (0.01 to    4.55)","0.31 (0.12 to    0.75)","0.31 (0.06 to    1.72)","0.35 (0.12 to    1.07)","0.35 (0.12 to    1.01)","0.37 (0.12 to    1.11)","0.38 (0.14 to    1.01)","0.38 (0.14 to    1.04)","0.39 (0.15 to    1.00)","0.39 (0.15 to    1.06)","0.39 (0.10 to    1.49)","0.37 (0.01 to   12.41)","0.42 (0.14 to    1.27)","0.43 (0.11 to    1.72)","0.43 (0.13 to    1.46)","0.41 (0.01 to   13.97)","0.47 (0.02 to    9.29)","0.46 (0.18 to    1.20)","0.51 (0.10 to    2.67)","0.53 (0.16 to    1.77)","0.65 (0.12 to    3.57)","1.14 (0.04 to   32.91)","0.74 (0.37 to    1.50)","0.87 (0.16 to    4.71)","0.83 (0.38 to    1.85)","1.09 (0.19 to    6.37)","Lazertinib + Amivantamab",".",".",".",".",".","."
"0.04 (0.00 to    1.37)","0.06 (0.00 to    1.05)","0.20 (0.08 to    0.50)","0.11 (0.00 to    3.00)","0.26 (0.13 to    0.49)","0.16 (0.01 to    3.75)","0.26 (0.13 to    0.53)","0.27 (0.05 to    1.38)","0.31 (0.12 to    0.82)","0.30 (0.12 to    0.75)","0.32 (0.12 to    0.85)","0.33 (0.14 to    0.78)","0.33 (0.14 to    0.79)","0.34 (0.15 to    0.74)","0.34 (0.15 to    0.79)","0.34 (0.10 to    1.17)","0.32 (0.01 to   10.41)","0.36 (0.13 to    1.00)","0.37 (0.10 to    1.38)","0.38 (0.12 to    1.16)","0.36 (0.01 to   11.71)","0.41 (0.02 to    7.77)","0.40 (0.18 to    0.90)","0.45 (0.09 to    2.14)","0.46 (0.15 to    1.37)","0.56 (0.11 to    2.86)","0.99 (0.04 to   27.64)","0.65 (0.43 to    0.98)","0.75 (0.15 to    3.77)","0.72 (0.30 to    1.77)","0.94 (0.17 to    5.12)","0.87 (0.38 to    1.96)","Osimertinib + chemotherapy",".",".",".",".","."
