"Gefitinib/Erlotinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.47 (0.19 to   1.15)",".",".",".","0.41 (0.12 to   1.43)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.40 (0.05 to     3.12)","0.20 (0.01 to     7.95)","0.46 (0.08 to     2.76)","0.22 (0.01 to     8.30)","0.59 (0.10 to     3.43)","0.32 (0.00 to    27.27)","0.60 (0.10 to     3.52)","0.55 (0.06 to     4.95)","0.68 (0.13 to     3.65)","0.70 (0.12 to     4.03)","0.73 (0.12 to     4.37)","0.71 (0.04 to    12.71)","0.67 (0.02 to    30.34)","0.68 (0.01 to    49.72)","0.79 (0.14 to     4.54)","0.76 (0.02 to    34.13)","0.82 (0.14 to     4.64)","0.84 (0.13 to     5.39)","0.85 (0.01 to    66.10)","0.91 (0.03 to    25.61)","0.92 (0.14 to     6.22)","0.98 (0.09 to    10.95)","Rociletinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.40 (0.07 to     2.09)","0.20 (0.01 to     6.53)","0.46 (0.11 to     1.86)","0.22 (0.01 to     7.04)","0.59 (0.16 to     2.17)","0.32 (0.00 to    23.83)","0.59 (0.14 to     2.46)","0.55 (0.08 to     3.75)","0.68 (0.19 to     2.49)","0.69 (0.19 to     2.57)","0.72 (0.24 to     2.21)","0.71 (0.05 to     9.86)","0.67 (0.02 to    24.44)","0.68 (0.01 to    43.23)","0.78 (0.21 to     2.86)","0.75 (0.02 to    27.50)","0.81 (0.20 to     3.22)","0.84 (0.20 to     3.42)","0.85 (0.01 to    55.28)","0.90 (0.04 to    18.65)","0.92 (0.19 to     4.49)","0.97 (0.12 to     7.86)","0.99 (0.12 to     8.23)","Furmonertinib",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.41 (0.09 to     1.77)","0.20 (0.01 to     6.08)","0.47 (0.16 to     1.40)","0.22 (0.01 to     6.34)","0.60 (0.22 to     1.68)","0.33 (0.00 to    22.04)","0.61 (0.21 to     1.77)","0.56 (0.10 to     3.00)","0.70 (0.29 to     1.70)","0.71 (0.25 to     1.98)","0.74 (0.25 to     2.17)","0.73 (0.06 to     8.88)","0.69 (0.02 to    23.42)","0.70 (0.01 to    39.82)","0.80 (0.30 to     2.12)","0.77 (0.02 to    26.35)","0.83 (0.30 to     2.28)","0.86 (0.26 to     2.79)","0.87 (0.01 to    52.79)","0.92 (0.05 to    18.85)","0.94 (0.26 to     3.38)","1.00 (0.14 to     6.95)","1.02 (0.15 to     6.77)","1.03 (0.22 to     4.86)","Erlotinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.34 (0.01 to    20.07)","0.17 (0.00 to    31.05)","0.39 (0.01 to    23.62)","0.19 (0.00 to    33.44)","0.50 (0.01 to    28.85)","0.27 (0.00 to    88.57)","0.51 (0.01 to    30.83)","0.47 (0.01 to    34.67)","0.58 (0.01 to    33.91)","0.59 (0.01 to    34.98)","0.62 (0.01 to    36.34)","0.60 (0.01 to    64.97)","0.57 (0.00 to   114.28)","0.58 (0.00 to   167.80)","0.67 (0.01 to    39.17)","0.64 (0.00 to   128.55)","0.69 (0.01 to    41.58)","0.71 (0.01 to    38.48)","0.72 (0.00 to   195.89)","0.77 (0.01 to   109.26)","0.78 (0.01 to    50.68)","0.83 (0.01 to    59.77)","0.85 (0.01 to    68.89)","0.85 (0.01 to    58.65)","0.83 (0.01 to    53.19)","Osimertinib + PD-L1 inhibitor",".",".",".",".",".",".",".",".",".",".",".","."
"0.35 (0.05 to     2.42)","0.18 (0.00 to     6.66)","0.41 (0.08 to     2.23)","0.20 (0.01 to     7.18)","0.53 (0.10 to     2.66)","0.28 (0.00 to    23.72)","0.53 (0.10 to     2.95)","0.49 (0.06 to     4.20)","0.61 (0.12 to     3.05)","0.62 (0.12 to     3.14)","0.65 (0.15 to     2.81)","0.63 (0.04 to    10.45)","0.60 (0.01 to    24.83)","0.61 (0.01 to    43.21)","0.70 (0.14 to     3.51)","0.68 (0.02 to    27.93)","0.73 (0.14 to     3.89)","0.75 (0.14 to     4.11)","0.76 (0.01 to    55.22)","0.81 (0.03 to    19.37)","0.82 (0.13 to     5.24)","0.87 (0.09 to     8.67)","0.89 (0.09 to     9.06)","0.90 (0.14 to     5.70)","0.87 (0.14 to     5.41)","1.05 (0.01 to    80.08)","Gefitinib + chemotherapy",".",".",".",".",".",".",".",".",".",".","."
"0.38 (0.11 to     1.24)","0.19 (0.01 to     5.72)","0.43 (0.14 to     1.38)","0.21 (0.01 to     6.11)","0.56 (0.21 to     1.49)","0.30 (0.00 to    21.04)","0.56 (0.17 to     1.85)","0.52 (0.09 to     3.01)","0.64 (0.23 to     1.81)","0.66 (0.22 to     1.93)","0.68 (0.25 to     1.89)","0.67 (0.05 to     8.40)","0.64 (0.02 to    21.88)","0.64 (0.01 to    38.07)","0.74 (0.26 to     2.11)","0.71 (0.02 to    24.62)","0.77 (0.25 to     2.39)","0.79 (0.36 to     1.75)","0.80 (0.01 to    44.45)","0.85 (0.04 to    17.07)","0.87 (0.22 to     3.46)","0.92 (0.16 to     5.23)","0.94 (0.13 to     6.72)","0.95 (0.21 to     4.31)","0.92 (0.24 to     3.54)","1.11 (0.02 to    64.68)","1.06 (0.18 to     6.32)","Lazertinib","0.90 (0.39 to   2.07)",".",".",".",".",".",".",".",".","."
"0.34 (0.11 to     1.04)","0.17 (0.01 to     5.13)","0.39 (0.12 to     1.24)","0.19 (0.01 to     5.47)","0.50 (0.19 to     1.31)","0.27 (0.00 to    18.85)","0.50 (0.15 to     1.65)","0.46 (0.08 to     2.69)","0.58 (0.21 to     1.62)","0.59 (0.20 to     1.74)","0.61 (0.22 to     1.75)","0.60 (0.05 to     7.54)","0.57 (0.02 to    19.70)","0.58 (0.01 to    34.10)","0.67 (0.23 to     1.89)","0.64 (0.02 to    22.16)","0.69 (0.22 to     2.14)","0.71 (0.35 to     1.43)","0.72 (0.01 to    39.18)","0.77 (0.04 to    15.47)","0.78 (0.20 to     3.09)","0.83 (0.15 to     4.50)","0.84 (0.12 to     6.01)","0.85 (0.18 to     3.95)","0.83 (0.22 to     3.17)","1.00 (0.02 to    57.02)","0.95 (0.16 to     5.77)","0.90 (0.40 to     1.99)","Lazertinib + Amivantamab",".",".",".",".",".",".",".",".","."
"0.26 (0.04 to     1.67)","0.13 (0.00 to     4.68)","0.30 (0.06 to     1.42)","0.14 (0.00 to     4.88)","0.39 (0.09 to     1.76)","0.21 (0.00 to    16.36)","0.39 (0.09 to     1.81)","0.36 (0.05 to     2.68)","0.45 (0.11 to     1.84)","0.46 (0.10 to     2.07)","0.48 (0.10 to     2.26)","0.47 (0.03 to     7.24)","0.44 (0.01 to    17.92)","0.45 (0.01 to    29.73)","0.52 (0.12 to     2.33)","0.50 (0.01 to    20.16)","0.54 (0.12 to     2.37)","0.55 (0.11 to     2.81)","0.56 (0.01 to    39.58)","0.60 (0.02 to    14.89)","0.61 (0.11 to     3.27)","0.65 (0.07 to     6.05)","0.66 (0.07 to     5.86)","0.66 (0.10 to     4.50)","0.65 (0.12 to     3.42)","0.78 (0.01 to    57.41)","0.74 (0.09 to     6.27)","0.70 (0.12 to     4.01)","0.78 (0.14 to     4.46)","Erlotinib + HER3 inhibitor",".",".",".",".",".",".",".","."
"0.18 (0.01 to     5.65)","0.09 (0.00 to     9.15)","0.21 (0.01 to     5.80)","0.10 (0.00 to     9.91)","0.27 (0.01 to     7.18)","0.15 (0.00 to    28.09)","0.27 (0.01 to     7.58)","0.25 (0.01 to     8.91)","0.31 (0.01 to     8.26)","0.32 (0.01 to     8.45)","0.33 (0.01 to     8.20)","0.32 (0.01 to    17.70)","0.31 (0.00 to    33.41)","0.31 (0.00 to    52.55)","0.36 (0.01 to     9.51)","0.34 (0.00 to    37.58)","0.37 (0.01 to    10.19)","0.38 (0.01 to    10.63)","0.39 (0.00 to    66.88)","0.41 (0.01 to    29.55)","0.42 (0.01 to    12.64)","0.45 (0.01 to    17.40)","0.45 (0.01 to    18.02)","0.46 (0.02 to    13.75)","0.45 (0.02 to    13.22)","0.54 (0.00 to    96.20)","0.51 (0.01 to    17.46)","0.48 (0.02 to    14.03)","0.54 (0.02 to    15.79)","0.69 (0.02 to    24.50)","Gefitinib + PARP inhibitor",".",".",".",".",".",".","."
"0.24 (0.03 to     1.72)","0.12 (0.00 to     4.66)","0.28 (0.05 to     1.59)","0.14 (0.00 to     5.03)","0.36 (0.07 to     1.90)","0.20 (0.00 to    16.56)","0.37 (0.06 to     2.10)","0.34 (0.04 to     2.97)","0.42 (0.08 to     2.17)","0.43 (0.08 to     2.24)","0.45 (0.10 to     2.01)","0.44 (0.03 to     7.35)","0.41 (0.01 to    17.38)","0.42 (0.01 to    30.18)","0.48 (0.09 to     2.50)","0.47 (0.01 to    19.55)","0.50 (0.09 to     2.77)","0.52 (0.09 to     2.93)","0.52 (0.01 to    38.57)","0.56 (0.02 to    13.59)","0.57 (0.09 to     3.72)","0.60 (0.06 to     6.13)","0.61 (0.06 to     6.40)","0.62 (0.09 to     4.05)","0.60 (0.09 to     3.85)","0.72 (0.01 to    55.92)","0.69 (0.08 to     5.66)","0.65 (0.11 to     4.02)","0.73 (0.12 to     4.56)","0.93 (0.11 to     8.13)","1.35 (0.04 to    47.08)","Almonertinib",".",".",".",".",".","."
"0.22 (0.06 to     0.83)","0.11 (0.00 to     3.68)","0.26 (0.07 to     1.01)","0.12 (0.00 to     3.93)","0.33 (0.10 to     1.10)","0.18 (0.00 to    13.34)","0.34 (0.08 to     1.34)","0.31 (0.05 to     2.06)","0.39 (0.11 to     1.35)","0.39 (0.11 to     1.44)","0.41 (0.11 to     1.48)","0.40 (0.03 to     5.55)","0.38 (0.01 to    14.14)","0.39 (0.01 to    24.19)","0.44 (0.13 to     1.57)","0.43 (0.01 to    15.91)","0.46 (0.12 to     1.75)","0.47 (0.18 to     1.23)","0.48 (0.01 to    27.55)","0.51 (0.02 to    11.29)","0.52 (0.11 to     2.45)","0.55 (0.09 to     3.39)","0.56 (0.07 to     4.54)","0.57 (0.10 to     3.12)","0.55 (0.12 to     2.52)","0.66 (0.01 to    40.06)","0.63 (0.09 to     4.45)","0.60 (0.17 to     2.07)","0.67 (0.20 to     2.18)","0.86 (0.13 to     5.63)","1.24 (0.04 to    39.51)","0.92 (0.13 to     6.64)","Osimertinib + chemotherapy",".",".",".",".","."
