"Erlotinib + MMP inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","9.65 (0.51 to 182.48)",".",".",".",".",".",".",".","."
"9.65 (0.07 to  1322.05)","4.11 (0.07 to   228.81)","7.50 (0.05 to  1092.45)","4.26 (0.06 to   308.62)","7.42 (0.01 to  4212.99)","2.59 (0.04 to   162.58)","2.38 (0.03 to   170.73)","3.22 (0.02 to   544.05)","2.22 (0.03 to   146.49)","1.73 (0.03 to   101.98)","1.55 (0.03 to    91.57)","1.64 (0.02 to   116.19)","1.72 (0.01 to   497.49)","1.43 (0.03 to    81.86)","1.47 (0.02 to    93.65)","1.46 (0.02 to   106.02)","1.43 (0.02 to   106.82)","1.35 (0.02 to    77.50)","1.33 (0.01 to   176.43)","1.25 (0.00 to   347.05)","1.23 (0.02 to    68.95)","1.19 (0.02 to    63.44)","1.11 (0.01 to   205.06)","1.15 (0.02 to    61.55)","Erlotinib + Autophagy inhibitor",".",".",".",".","1.00 (0.02 to  51.69)",".",".",".",".",".",".",".","."
"9.79 (0.11 to   889.78)","4.18 (0.13 to   138.44)","7.61 (0.08 to   705.36)","4.32 (0.10 to   189.68)","7.53 (0.02 to  3017.21)","2.63 (0.07 to    97.94)","2.41 (0.06 to   101.28)","3.27 (0.03 to   356.37)","2.25 (0.06 to    90.98)","1.76 (0.05 to    60.69)","1.57 (0.05 to    54.24)","1.66 (0.04 to    68.80)","1.75 (0.01 to   349.13)","1.46 (0.04 to    49.62)","1.49 (0.04 to    54.57)","1.48 (0.03 to    66.66)","1.45 (0.03 to    65.89)","1.37 (0.04 to    47.21)","1.35 (0.02 to   112.87)","1.27 (0.01 to   242.92)","1.25 (0.04 to    40.85)","1.21 (0.04 to    38.21)","1.12 (0.02 to    57.26)","1.17 (0.04 to    36.40)","1.02 (0.01 to   187.86)","Gefitinib + ER inhibitor",".","1.04 (0.02 to  52.93)",".","0.88 (0.02 to  44.79)",".",".",".",".",".",".",".","."
"9.27 (0.22 to   398.69)","3.95 (0.34 to    46.53)","7.21 (0.16 to   325.01)","4.09 (0.24 to    70.66)","7.13 (0.03 to  1691.69)","2.49 (0.18 to    34.44)","2.28 (0.14 to    38.39)","3.09 (0.06 to   169.13)","2.13 (0.14 to    32.94)","1.66 (0.13 to    20.80)","1.49 (0.12 to    18.65)","1.58 (0.10 to    25.95)","1.65 (0.02 to   177.79)","1.38 (0.11 to    16.85)","1.41 (0.10 to    19.72)","1.40 (0.08 to    25.02)","1.38 (0.08 to    24.80)","1.30 (0.10 to    16.10)","1.27 (0.03 to    51.01)","1.20 (0.01 to   123.04)","1.18 (0.10 to    13.64)","1.15 (0.10 to    12.55)","1.06 (0.02 to    66.33)","1.11 (0.10 to    11.90)","0.96 (0.01 to    94.66)","0.95 (0.02 to    58.97)","Afatinib + Cetuximab",".","1.02 (0.10 to  10.05)",".",".",".",".",".",".",".",".","."
"9.09 (0.45 to   184.84)","3.88 (1.44 to    10.43)","7.07 (0.36 to   137.79)","4.01 (0.74 to    21.82)","6.99 (0.05 to   960.16)","2.44 (0.68 to     8.82)","2.24 (0.50 to    10.12)","3.03 (0.12 to    75.44)","2.09 (0.44 to     9.90)","1.63 (0.57 to     4.65)","1.46 (0.53 to     4.05)","1.55 (0.36 to     6.72)","1.62 (0.03 to    95.75)","1.35 (0.46 to     3.97)","1.39 (0.45 to     4.25)","1.38 (0.23 to     8.29)","1.35 (0.23 to     7.87)","1.27 (0.41 to     3.92)","1.25 (0.07 to    20.88)","1.18 (0.02 to    65.82)","1.16 (0.49 to     2.73)","1.13 (0.50 to     2.51)","1.04 (0.03 to    31.91)","1.08 (0.56 to     2.09)","0.94 (0.02 to    51.42)","0.93 (0.03 to    28.36)","0.98 (0.09 to    10.66)","Gefitinib","1.01 (0.33 to   3.05)","0.85 (0.02 to  43.05)",".",".",".","0.98 (0.31 to   3.07)",".","1.01 (0.10 to   9.82)",".","."
"9.49 (0.48 to   188.63)","4.05 (1.60 to    10.27)","7.38 (0.35 to   155.63)","4.19 (0.76 to    23.03)","7.30 (0.05 to  1051.53)","2.55 (0.70 to     9.34)","2.34 (0.45 to    12.27)","3.17 (0.12 to    84.72)","2.18 (0.48 to     9.88)","1.70 (0.58 to     5.03)","1.53 (0.52 to     4.51)","1.61 (0.32 to     8.18)","1.69 (0.03 to   100.41)","1.41 (0.50 to     3.94)","1.45 (0.39 to     5.40)","1.44 (0.25 to     8.33)","1.41 (0.24 to     8.31)","1.33 (0.46 to     3.85)","1.30 (0.07 to    23.68)","1.23 (0.02 to    69.03)","1.21 (0.50 to     2.91)","1.17 (0.58 to     2.40)","1.09 (0.03 to    34.14)","1.13 (0.59 to     2.18)","0.98 (0.02 to    52.77)","0.97 (0.03 to    30.35)","1.02 (0.10 to    10.05)","1.04 (0.52 to     2.08)","Afatinib","0.95 (0.48 to   1.89)",".",".",".","2.27 (0.70 to   7.34)",".",".","3.48 (0.14 to  88.40)","."
"9.65 (0.51 to   182.48)","4.11 (1.91 to     8.84)","7.50 (0.36 to   156.94)","4.26 (0.80 to    22.57)","7.42 (0.05 to  1063.53)","2.59 (0.74 to     9.05)","2.38 (0.46 to    12.30)","3.22 (0.12 to    85.48)","2.22 (0.54 to     9.09)","1.73 (0.62 to     4.84)","1.55 (0.55 to     4.36)","1.64 (0.33 to     8.19)","1.72 (0.03 to   100.52)","1.43 (0.59 to     3.49)","1.47 (0.40 to     5.39)","1.46 (0.27 to     7.77)","1.43 (0.25 to     8.15)","1.35 (0.54 to     3.37)","1.33 (0.07 to    23.87)","1.25 (0.02 to    69.09)","1.23 (0.55 to     2.75)","1.19 (0.75 to     1.90)","1.11 (0.04 to    33.85)","1.15 (0.68 to     1.93)","1.00 (0.02 to    51.69)","0.99 (0.03 to    30.09)","1.04 (0.10 to    10.87)","1.06 (0.55 to     2.04)","1.02 (0.59 to     1.74)","Erlotinib","1.25 (0.30 to   5.18)","1.15 (0.64 to   2.07)","2.14 (0.03 to 131.93)","1.38 (0.65 to   2.93)","3.11 (0.12 to  78.18)","1.24 (0.59 to   2.60)",".","."
"12.02 (0.46 to   315.44)","5.13 (1.02 to    25.83)","9.35 (0.33 to   268.63)","5.31 (0.59 to    47.59)","9.24 (0.05 to  1619.56)","3.23 (0.49 to    21.51)","2.96 (0.34 to    26.08)","4.01 (0.11 to   143.25)","2.77 (0.37 to    20.53)","2.15 (0.37 to    12.49)","1.93 (0.33 to    11.23)","2.04 (0.24 to    17.53)","2.15 (0.03 to   159.64)","1.79 (0.33 to     9.59)","1.83 (0.27 to    12.60)","1.82 (0.20 to    16.37)","1.79 (0.19 to    16.91)","1.68 (0.31 to     9.15)","1.65 (0.07 to    41.47)","1.55 (0.02 to   110.05)","1.53 (0.30 to     7.88)","1.49 (0.33 to     6.67)","1.38 (0.03 to    56.10)","1.43 (0.31 to     6.54)","1.25 (0.02 to    82.67)","1.23 (0.03 to    49.86)","1.30 (0.08 to    20.19)","1.32 (0.28 to     6.34)","1.27 (0.28 to     5.81)","1.25 (0.30 to     5.18)","DHFR inhibitor",".",".",".",".",".",".","."
"11.07 (0.55 to   222.14)","4.72 (1.80 to    12.41)","8.61 (0.39 to   190.68)","4.89 (0.83 to    28.68)","8.51 (0.06 to  1264.24)","2.98 (0.75 to    11.86)","2.73 (0.48 to    15.64)","3.69 (0.13 to   103.43)","2.55 (0.55 to    11.75)","1.98 (0.61 to     6.50)","1.78 (0.54 to     5.85)","1.88 (0.34 to    10.45)","1.98 (0.03 to   120.41)","1.65 (0.57 to     4.79)","1.69 (0.41 to     7.03)","1.68 (0.28 to     9.87)","1.64 (0.26 to    10.32)","1.55 (0.52 to     4.61)","1.52 (0.08 to    29.09)","1.43 (0.02 to    82.81)","1.41 (0.52 to     3.83)","1.37 (0.65 to     2.91)","1.27 (0.04 to    40.87)","1.32 (0.60 to     2.90)","1.15 (0.02 to    62.00)","1.13 (0.04 to    36.33)","1.19 (0.11 to    13.43)","1.22 (0.50 to     2.94)","1.17 (0.52 to     2.60)","1.15 (0.64 to     2.07)","0.92 (0.20 to     4.31)","Erlotinib + MET inhibitor",".",".",".",".",".","."
"20.67 (0.13 to  3262.86)","8.81 (0.13 to   582.21)","16.07 (0.10 to  2691.66)","9.12 (0.11 to   777.30)","15.90 (0.03 to 10079.81)","5.56 (0.07 to   411.71)","5.10 (0.06 to   430.14)","6.89 (0.04 to  1335.18)","4.76 (0.06 to   370.24)","3.71 (0.05 to   258.87)","3.32 (0.05 to   232.43)","3.51 (0.04 to   292.88)","3.69 (0.01 to  1205.70)","3.07 (0.05 to   208.06)","3.15 (0.04 to   237.02)","3.13 (0.04 to   267.00)","3.07 (0.04 to   268.77)","2.89 (0.04 to   196.94)","2.84 (0.02 to   435.80)","2.67 (0.01 to   841.78)","2.64 (0.04 to   175.40)","2.56 (0.04 to   161.74)","2.37 (0.01 to   502.10)","2.47 (0.04 to   156.86)","2.14 (0.01 to   643.30)","2.11 (0.01 to   446.39)","2.23 (0.02 to   255.60)","2.27 (0.04 to   147.36)","2.18 (0.03 to   138.88)","2.14 (0.03 to   131.93)","1.72 (0.02 to   134.53)","1.87 (0.03 to   119.90)","Erlotinib + HGF inhibitor",".",".",".",".","."
"11.14 (0.56 to   221.08)","4.75 (1.88 to    12.01)","8.66 (0.41 to   181.87)","4.92 (0.97 to    24.95)","8.56 (0.06 to  1230.68)","2.99 (0.91 to     9.85)","2.75 (0.53 to    14.29)","3.71 (0.14 to    99.03)","2.56 (0.57 to    11.57)","2.00 (0.76 to     5.23)","1.79 (0.67 to     4.77)","1.89 (0.38 to     9.53)","1.99 (0.03 to   114.02)","1.66 (0.59 to     4.61)","1.70 (0.46 to     6.27)","1.69 (0.29 to     9.75)","1.65 (0.30 to     9.03)","1.56 (0.54 to     4.50)","1.53 (0.08 to    27.67)","1.44 (0.03 to    78.35)","1.42 (0.70 to     2.89)","1.38 (0.68 to     2.80)","1.28 (0.04 to    39.97)","1.33 (0.69 to     2.56)","1.15 (0.02 to    61.87)","1.14 (0.04 to    35.53)","1.20 (0.11 to    12.87)","1.22 (0.63 to     2.40)","1.17 (0.62 to     2.23)","1.15 (0.68 to     1.97)","0.93 (0.20 to     4.25)","1.01 (0.45 to     2.23)","0.54 (0.01 to    34.34)","Placebo",".","2.47 (0.70 to   8.66)",".","."
