"","Afatinib","Afatinib_Cetuximab","Afatinib_HMGCRi","Almonertinib","antiangio","Befotertinib","chemo","chemo_antiangio","Dacomitinib","DHFRi","Erlotinib","Erlotinib_antiangio","Erlotinib_Autophagyi","Erlotinib_chemo","Erlotinib_COX2i","Erlotinib_HER3i","Erlotinib_HGFi","Erlotinib_IGF_1Ri","Erlotinib_METi","Erlotinib_MMPi","Furmonertinib","Gefitinib","Gefitinib_chemo","Gefitinib_Erlotinib","Gefitinib_PARPi","Icotinib","Lazertinib","Lazertinib_Amivantamab","Osimertinib","Osimertinib_antiangio","Osimertinib_chemo","Osimertinib_PD_L1i","Placebo","Rociletinib","Zorifertinib"
"Gefitinib_chemo","-0.141397143625674 (-1.67079775685248, 1.3368057575995)","-0.131391596972051 (-2.02117913599337, 1.73183480255121)","0.240073914142361 (-1.94185218760101, 2.42117389500459)","-0.177787514518351 (-1.73411547736972, 1.28588727079185)","2.02235827872992 (0.359912932912206, 3.78073456861775)","22.8757286341983 (2.51450028422698, 60.6002700584235)","0.0298465151730258 (-1.46808028580711, 1.50546517265221)","-28.2714864006664 (-82.3955030488102, -2.59363181408939)","-0.692920072985424 (-2.31597077538362, 0.904360511359552)","-0.369995067666679 (-2.67361472166024, 1.93548040247236)","-0.0738600413317343 (-1.55668838434842, 1.40829718719553)","-0.107499317266596 (-1.66760683138964, 1.4286695358729)","0.555907295729923 (-1.691714589476, 2.88759901861109)","0.313810525004909 (-1.40667215500221, 2.06995689732798)","-35.1768473814739 (-86.4875547483499, -2.25277919178837)","1.06691090019177 (-1.10901419648362, 3.60629660135275)","-49.4521395994983 (-118.703395691324, -3.43347738735116)","0.0709198194045006 (-1.58618009747399, 1.8556132466047)","-0.194249712044227 (-1.84225446447888, 1.46811418088988)","1.22207511413926 (-1.01021244881016, 3.73689273059106)","-0.148709918536664 (-1.78459526805778, 1.42018792107913)","-0.293180030320002 (-1.59951097897083, 0.911702233666537)","Gefitinib_chemo","-0.37779582222486 (-2.18534136250041, 1.43121274886732)","29.6949292870357 (0.835546425666391, 96.5765969850402)","22.7590068680129 (2.4284549532714, 60.4724272336764)","0.623595054859863 (-1.13705848309859, 2.35334125205561)","0.857740606506124 (-0.934061876141485, 2.6605814202182)","0.549455037794672 (-1.03878595281355, 2.13432632961555)","1.70431040394317 (-0.0806682157049418, 3.48212622779808)","1.10080775333296 (-0.610528330024357, 2.93425122656664)","-47.9913113108323 (-105.935032893901, -3.51382877930283)","-0.498563418735578 (-2.01397103680698, 0.970300112657807)","1.6952494586399 (-0.147031335692479, 3.59448481069102)","-0.248804781746189 (-2.23249028887879, 1.77359792318443)"
"Gefitinib_Erlotinib","0.231055112712916 (-1.09184680181454, 1.5091402456617)","0.25412111836223 (-1.49111588269978, 1.92185062618779)","0.6144264386511 (-1.4059518234974, 2.66266448676152)","0.185852148166197 (-1.3938034728618, 1.69528625281861)","2.39554838609503 (0.974569183714991, 4.00770770714511)","23.2255035523581 (2.79242244919584, 60.9210330561461)","0.401656604586406 (-0.853973368228462, 1.65024804841147)","-27.8171353400117 (-81.6843029397358, -2.34790961199373)","-0.318832403150226 (-1.72652163120978, 1.03701012601692)","-0.000908397535214767 (-2.17850529106234, 2.14412859036547)","0.293979642655248 (-0.920001422105869, 1.54643316964439)","0.268918648387608 (-1.0389520550998, 1.56439514414711)","0.922812965404444 (-1.11228284440804, 3.13094225033454)","0.690114115067533 (-0.819813884989868, 2.25369249506936)","-34.8249940511193 (-86.1644375782121, -1.89402230251085)","1.44055533309295 (-0.565262663442238, 3.8016210050358)","-49.0437101987412 (-118.312289352727, -3.03217348547567)","0.422524906149452 (-0.934575729634927, 2.05040827362044)","0.187755522294339 (-1.23967708153826, 1.63136320903637)","1.60927589049791 (-0.487277557035938, 4.00255998842035)","0.222529918829791 (-1.44385437480346, 1.82313421702323)","0.0796241595094383 (-1.25734805426545, 1.35347148295941)","0.37779582222486 (-1.43121274886732, 2.18534136250041)","Gefitinib_Erlotinib","30.0252545077693 (1.16855591792167, 96.8364565005592)","23.1051485378756 (2.68655239348796, 60.8470790686013)","1.00027654642737 (-0.3745304455529, 2.30686847140967)","1.23290745531675 (-0.0757018753633514, 2.53097039307364)","0.920276462676727 (0.0583242863568091, 1.8137507636928)","2.07100547639905 (0.899007971749405, 3.2695676264791)","1.45894712608041 (0.415030537045958, 2.75958892202046)","-47.5859434764898 (-105.590880019547, -3.19941086569547)","-0.127236259297957 (-1.25819542006304, 0.96641715837552)","2.06067598053685 (0.446536558351115, 3.78046910180711)","0.125652864525373 (-0.75888995242468, 1.02929403090377)"
"Gefitinib_PARPi","-29.7938772175461 (-96.5700354640669, -0.967235657822437)","-29.7658508825862 (-96.5673522198045, -0.929208640096409)","-29.4551809707405 (-96.16450950698, -0.550177056797402)","-29.8208189161898 (-96.6271641769162, -1.02601365284467)","-27.6255573883988 (-94.2995716242188, 1.14310937618448)","-7.74526785392465 (-77.0423436116305, 43.0933308956239)","-29.5787330720306 (-96.3683302824114, -0.86069075351973)","-64.4024357051877 (-127.698418606018, -12.1890738422208)","-30.274443201225 (-97.1562216590586, -1.55871450256168)","-30.0310644336021 (-96.6285165469835, -1.16146686747151)","-29.6920458832251 (-96.4644063689902, -0.996717729075248)","-29.7296603905085 (-96.4661819525676, -0.993025651855513)","-29.0399421007345 (-95.8631796630499, -0.230420916303991)","-29.3342524053723 (-96.0458704187537, -0.4546880310488)","-70.1867861085131 (-138.743522276471, -14.4682227246353)","-28.6052902744267 (-95.2533266202184, 0.249305375985441)","-81.71140005204 (-166.027305956457, -18.6943307968751)","-29.5414628530592 (-96.260197362869, -0.760589957995743)","-29.8413735881834 (-96.6139004651263, -1.078042616444)","-28.4960134859549 (-95.1324441906637, 0.527641119488295)","-29.7585394077923 (-96.60333430614, -0.949787763124206)","-29.9326351796528 (-96.7384698235384, -1.15447156542153)","-29.6949292870357 (-96.5765969850402, -0.835546425666391)","-30.0252545077693 (-96.8364565005592, -1.16855591792167)","Gefitinib_PARPi","-7.85161289430093 (-77.135734862291, 42.981504176671)","-29.0078644295036 (-95.7540559117341, -0.140829991341675)","-28.7525155987585 (-95.4412776932227, 0.105701373724828)","-29.0622463325112 (-95.8238562862749, -0.254819630094132)","-27.9204679945552 (-94.6785687977062, 0.879348290341137)","-28.5327545720387 (-95.2771542857624, 0.343376179743725)","-80.1260178471899 (-161.801328339579, -19.2212673974292)","-30.1146853592399 (-96.9595637274635, -1.3490266365873)","-27.9363280755847 (-94.6339259541507, 0.887363849443665)","-29.9105837304618 (-96.5793417316503, -1.00632610828289)"
"Icotinib","-22.867673582547 (-60.601906699502, -2.52993753027714)","-22.8620362087561 (-60.6185685878054, -2.39575815073944)","-22.4681264748509 (-60.2888076627539, -2.11666410249694)","-22.8971439838071 (-60.6490009621296, -2.54815822992172)","-20.7092015472703 (-58.4533819704346, -0.283222730938892)","0.115187482537308 (-0.713229048827011, 0.948850115778724)","-22.7025997030198 (-60.435582383266, -2.33708859988884)","-55.5285605703808 (-111.91312419037, -12.8553840061085)","-23.4285160747334 (-61.1827038145144, -3.04001782143723)","-23.1861826707588 (-60.7890923934296, -2.63981006073366)","-22.812100695579 (-60.5370660255615, -2.42880368080993)","-22.8502704856986 (-60.6276958235619, -2.45508241418767)","-22.2258125042306 (-59.9053295574205, -1.73313030689717)","-22.4206396789091 (-60.1635130776666, -2.02498568736092)","-61.3504106173665 (-122.483777886835, -13.8220230171959)","-21.6934210662622 (-59.5442238240243, -1.06818815058403)","-74.8811692152172 (-154.408595074725, -13.8822347952631)","-22.6618281425224 (-60.418362390696, -2.26127882578298)","-22.8955863428881 (-60.6434497948125, -2.55183387920061)","-21.4439038524612 (-59.0358405379862, -0.956652282397745)","-22.8647681031818 (-60.6576565815284, -2.51115650873812)","-23.0140889659736 (-60.8535589359661, -2.6648377845833)","-22.7590068680129 (-60.4724272336764, -2.4284549532714)","-23.1051485378756 (-60.8470790686013, -2.68655239348796)","7.85161289430093 (-42.981504176671, 77.135734862291)","Icotinib","-22.1571984669133 (-59.8995510577344, -1.69018624077967)","-21.903239701234 (-59.6432867609305, -1.45842485060864)","-22.2068039431585 (-59.9161950571957, -1.81370002810305)","-21.0516469609424 (-58.8022687629277, -0.613091042270146)","-21.6595948583003 (-59.3013456614494, -1.22816762701898)","-73.4500086924258 (-140.792742055318, -16.7466536447088)","-23.2358962249599 (-60.9660893389007, -2.88178591504825)","-21.0573091651773 (-58.7769255244418, -0.597383900961085)","-22.9869797968986 (-60.7212852597342, -2.5477656522055)"
"Lazertinib","-0.76381731901779 (-2.06583149394381, 0.521556078374914)","-0.736515934904148 (-2.47083553961112, 0.946013797696303)","-0.380464434022159 (-2.40180235509903, 1.69111588308262)","-0.806882839390537 (-2.31086768620673, 0.666188626596804)","1.40590856178758 (-0.0300805467999204, 3.01444301229177)","22.2862677695142 (1.81492211362834, 59.9860309094389)","-0.591407636743411 (-1.84442106426358, 0.683268881323825)","-28.8009441049353 (-82.7479348184873, -3.32801245413461)","-1.30649411946606 (-2.70002051930674, 0.0664909442088994)","-0.988672584060551 (-3.16553494174842, 1.16580140732653)","-0.694414850239385 (-1.91954775105693, 0.566171394151886)","-0.724346596118272 (-2.01974879188169, 0.584925289360286)","-0.0727334243321649 (-2.10047003870877, 2.13510006681595)","-0.291522031919818 (-1.82283914952375, 1.27190376393349)","-35.8785092568962 (-87.1587967027997, -2.8775937704446)","0.438490101995285 (-1.58321007351857, 2.85031566840548)","-50.115232704035 (-119.387534377704, -4.04492410464248)","-0.556112061497344 (-1.9913818962747, 1.07470934734443)","-0.815444333719057 (-2.23984190059495, 0.666019123565935)","0.616221395860004 (-1.48328565277846, 3.02143106215283)","-0.763155566515895 (-2.37307508725005, 0.785459468932086)","-0.916482020901252 (-2.16811917994668, 0.291607882280798)","-0.623595054859863 (-2.35334125205561, 1.13705848309859)","-1.00027654642737 (-2.30686847140967, 0.3745304455529)","29.0078644295036 (0.140829991341675, 95.7540559117341)","22.1571984669133 (1.69018624077967, 59.8995510577344)","Lazertinib","0.233599140045753 (-0.778984604946355, 1.32948340988935)","-0.077488767840811 (-1.06476669185658, 0.98742194212289)","1.0709281910087 (-0.191123854113544, 2.41119902175519)","0.475427862631056 (-0.701250467356185, 1.87107817928243)","-48.701420323017 (-106.398420217451, -4.07717317389295)","-1.12132270777275 (-2.27411830345276, 0.0314060044403389)","1.07285252708642 (-0.561838162364698, 2.79591729894683)","-0.873311265592754 (-2.44615871237085, 0.782619427245449)"
"Lazertinib_Amivantamab","-1.00713620183919 (-2.3301826068838, 0.29098609234307)","-0.982497192956377 (-2.73065482578228, 0.706946930692015)","-0.625809738744673 (-2.64836146590598, 1.4504357001467)","-1.0445137219425 (-2.61137271035238, 0.454364266457788)","1.15303980869601 (-0.271047145935237, 2.77392003605215)","22.0228971126939 (1.60080355512175, 59.729513331983)","-0.834091203033203 (-2.09798464210425, 0.429255608567388)","-29.0659178780639 (-82.9538720577015, -3.53363395423448)","-1.55155088007061 (-2.96869101949704, -0.185607294397859)","-1.22431633819841 (-3.44254166758534, 0.936408824198468)","-0.942715373752017 (-2.15620400624131, 0.334085440146396)","-0.967423980047246 (-2.27053632660431, 0.347425423553518)","-0.318624746457693 (-2.36258645333992, 1.91034793652044)","-0.537159796303151 (-2.06040540411146, 1.02798651512101)","-36.1134468369861 (-87.3522667056486, -3.08673631149391)","0.198190625010077 (-1.79674133416016, 2.59807978854508)","-50.3040051075147 (-119.59265360849, -4.28523408329698)","-0.806831002107451 (-2.18835317216755, 0.838313148230212)","-1.05722807405424 (-2.48425963307304, 0.430148435082043)","0.364156304834896 (-1.72384392146832, 2.79894467471326)","-1.01041838789863 (-2.67121985379922, 0.592353440159958)","-1.15607765396988 (-2.47791950187024, 0.105584877539724)","-0.857740606506124 (-2.6605814202182, 0.934061876141485)","-1.23290745531675 (-2.53097039307364, 0.0757018753633514)","28.7525155987585 (-0.105701373724828, 95.4412776932227)","21.903239701234 (1.45842485060864, 59.6432867609305)","-0.233599140045753 (-1.32948340988935, 0.778984604946355)","Lazertinib_Amivantamab","-0.312245676145616 (-1.25998092202314, 0.660791980581214)","0.835772942150826 (-0.411156701781982, 2.11271920562174)","0.229507835708478 (-0.890642672651859, 1.59416236166643)","-48.9213241512213 (-106.793595232388, -4.40750173527794)","-1.3606364233115 (-2.52213562628231, -0.232432221437784)","0.828783352279407 (-0.81222542080671, 2.55386849721267)","-1.11313295842876 (-2.66919790301231, 0.490913735037117)"
"Osimertinib","-0.693767021886024 (-1.67598219619587, 0.224958852224536)","-0.671064850756859 (-2.16501524921252, 0.775362759200674)","-0.312379781411481 (-2.14048715739178, 1.54796754433194)","-0.730135702189767 (-2.03980436502098, 0.50251259368769)","1.4723011043558 (0.322319260282544, 2.7879792707088)","22.3245397655022 (1.90640362812545, 60.0550015560032)","-0.516201219291729 (-1.43269914291214, 0.35442321364215)","-28.7472114184782 (-82.5952348810139, -3.28820798619592)","-1.24014003032192 (-2.33568598298986, -0.209638592935037)","-0.919470106573046 (-2.91958098465102, 1.03984083538135)","-0.625704826577067 (-1.46792228893126, 0.239762226171048)","-0.652706967162555 (-1.62255542875813, 0.285222351125034)","-0.00590570387916034 (-1.84511850823032, 2.0170462754072)","-0.227056974342007 (-1.46776789109012, 1.02830011449991)","-35.7892609574887 (-87.1079493180478, -2.80744665393193)","0.504292398793005 (-1.27944071545371, 2.74856896252373)","-50.0005175065049 (-119.198340223774, -3.9754748454968)","-0.493401657234893 (-1.58676701019304, 0.828035830244981)","-0.740523956672462 (-1.87616469839422, 0.409691224655006)","0.673779559427651 (-1.21171622337361, 2.89541472219847)","-0.697881502111658 (-2.1148160799337, 0.662842451693544)","-0.843732885133375 (-1.84364811246575, 0.0831113060718883)","-0.549455037794672 (-2.13432632961555, 1.03878595281355)","-0.920276462676727 (-1.8137507636928, -0.0583242863568091)","29.0622463325112 (0.254819630094132, 95.8238562862749)","22.2068039431585 (1.81370002810305, 59.9161950571957)","0.077488767840811 (-0.98742194212289, 1.06476669185658)","0.312245676145616 (-0.660791980581214, 1.25998092202314)","Osimertinib","1.14750969931866 (0.357443051590384, 1.96653316280924)","0.539812721205827 (-0.114914285152151, 1.43481750585823)","-48.5326988289567 (-106.474534755591, -4.0825803474063)","-1.04581537842279 (-1.763440944035, -0.391469845346219)","1.1402153675957 (-0.236423897238202, 2.59326417308447)","-0.796089664552451 (-2.04484220696733, 0.442266375538406)"
"Osimertinib_antiangio","-1.84295406944224 (-3.11533791345325, -0.631449246195586)","-1.82444781773218 (-3.50386397202352, -0.174259725286284)","-1.46368717478672 (-3.47328322659433, 0.551240521667306)","-1.87951100827503 (-3.41808323525633, -0.420706534827708)","0.320230958806004 (-1.07922228503186, 1.85862880630921)","21.1665915216785 (0.731951450832925, 58.8900572631212)","-1.67020721828477 (-2.86956080629194, -0.493061247933182)","-29.8855262301915 (-83.8756528338499, -4.40386453905196)","-2.38541346742373 (-3.75529299355997, -1.09578470986855)","-2.06570175569123 (-4.22882607814543, 0.0552260838862593)","-1.77473054160711 (-2.94726683066384, -0.597575434268036)","-1.80115184307031 (-3.05651711614974, -0.580741777338838)","-1.15206554722465 (-3.15647428502179, 1.02651015848897)","-1.37694585467447 (-2.86314140825187, 0.117203915695282)","-36.9571846322469 (-88.2518472980281, -3.95955644166982)","-0.638153017702114 (-2.60319143146614, 1.7074754994574)","-51.1187489131263 (-120.365487078144, -5.11541541045159)","-1.64422962746999 (-2.99309738567904, -0.0797876580023319)","-1.89143237977545 (-3.28862133190432, -0.477816866832842)","-0.470908370606407 (-2.51725176729602, 1.89258273920641)","-1.85461290330707 (-3.47733163790474, -0.27040356336606)","-1.99736909374895 (-3.27790173343972, -0.778176354874283)","-1.70431040394317 (-3.48212622779808, 0.0806682157049418)","-2.07100547639905 (-3.2695676264791, -0.899007971749405)","27.9204679945552 (-0.879348290341137, 94.6785687977062)","21.0516469609424 (0.613091042270146, 58.8022687629277)","-1.0709281910087 (-2.41119902175519, 0.191123854113544)","-0.835772942150826 (-2.11271920562174, 0.411156701781982)","-1.14750969931866 (-1.96653316280924, -0.357443051590384)","Osimertinib_antiangio","-0.601132897823652 (-1.62314168471882, 0.605826345595024)","-49.636632219353 (-107.592737427524, -5.25213260790853)","-2.19698170112176 (-3.28099591599751, -1.17247735299923)","-0.00937094059776966 (-1.61311117225314, 1.64593013947376)","-1.9444458063565 (-3.43531993904506, -0.473139103736658)"
"Osimertinib_chemo","-1.23975186039229 (-2.60239495285591, -0.126467243244455)","-1.21721154015012 (-2.99213230594151, 0.340859010471841)","-0.86895887040018 (-2.91635202093209, 1.09153222527837)","-1.27577099588214 (-2.90378273827897, 0.0936320407408241)","0.915576674395911 (-0.478586420017264, 2.35912493823855)","21.7678020377877 (1.33597297202072, 59.3607158154578)","-1.06605089269065 (-2.34453867518014, 0.0155118031221495)","-29.2992380277831 (-83.2494368403827, -3.81355753912117)","-1.78226900653165 (-3.23816993956071, -0.576025250510638)","-1.47347449843797 (-3.65266148962647, 0.564871172956135)","-1.17474296993848 (-2.38025280588371, -0.0934067075299991)","-1.19931472249102 (-2.53615112403333, -0.0753196453538773)","-0.562456250751038 (-2.58757370195847, 1.5653322193154)","-0.783946910994915 (-2.28134633282237, 0.628189634646583)","-36.3330015609166 (-87.6679990244187, -3.3765643117114)","-0.0447528275354188 (-2.04521745255397, 2.24335269990939)","-50.5326228328796 (-119.87221164654, -4.52111287790117)","-1.04030097538344 (-2.38829712390829, 0.395024811121481)","-1.29154995680644 (-2.72914014397637, 0.0155817516490937)","0.116900463017133 (-1.95753707955721, 2.42467541841802)","-1.24829509268889 (-2.95917616933432, 0.235671644405693)","-1.3929423687212 (-2.75891447543371, -0.266758278808165)","-1.10080775333296 (-2.93425122656664, 0.610528330024357)","-1.45894712608041 (-2.75958892202046, -0.415030537045958)","28.5327545720387 (-0.343376179743725, 95.2771542857624)","21.6595948583003 (1.22816762701898, 59.3013456614494)","-0.475427862631056 (-1.87107817928243, 0.701250467356185)","-0.229507835708478 (-1.59416236166643, 0.890642672651859)","-0.539812721205827 (-1.43481750585823, 0.114914285152151)","0.601132897823652 (-0.605826345595024, 1.62314168471882)","Osimertinib_chemo","-49.1005049550033 (-107.188990488376, -4.66470143013677)","-1.58997870880714 (-2.77457470065348, -0.674007773538147)","0.589528730952074 (-1.06087506126835, 2.17672504913222)","-1.33781245173853 (-2.9136269680216, 0.0129559016209204)"
"Osimertinib_PD_L1i","47.7949607985665 (3.34584982591278, 105.777804949173)","47.8899914371392 (3.37029743305735, 105.900010530557)","48.1724152255077 (3.83027632576017, 106.189089984545)","47.7416430751668 (3.31156976395036, 105.686166521976)","49.9771038772989 (5.57619570775478, 108.088512987781)","73.5551891824825 (16.8890540476318, 140.907705822474)","48.0204444741483 (3.50400343746733, 105.875747976688)","17.1069399136604 (-55.3910400891766, 94.8008501429201)","47.2664154250524 (2.74494694937567, 105.183547118487)","47.5469743777144 (3.08566521750456, 105.614878547368)","47.8999857361401 (3.40047889416058, 105.844382495985)","47.8801568250361 (3.39307248115428, 105.884911739547)","48.4723405304757 (3.9617897016571, 106.520340186866)","48.275235782321 (3.77943090258282, 106.334358641456)","10.1236732170378 (-58.4093701071771, 81.4120569999099)","48.9949089856521 (4.60476921725287, 106.993884529103)","-5.94772688457666 (-102.340592550986, 86.4133343948182)","48.0322613640176 (3.57211971090971, 106.120956386516)","47.7849924308705 (3.28796935023106, 105.717075457474)","49.189062298595 (4.6927737610113, 106.956897730817)","47.6928361472425 (3.3751542716995, 105.74735235558)","47.6436890128651 (3.1812592531865, 105.5193942492)","47.9913113108323 (3.51382877930283, 105.935032893901)","47.5859434764898 (3.19941086569547, 105.590880019547)","80.1260178471899 (19.2212673974292, 161.801328339579)","73.4500086924258 (16.7466536447088, 140.792742055318)","48.701420323017 (4.07717317389295, 106.398420217451)","48.9213241512213 (4.40750173527794, 106.793595232388)","48.5326988289567 (4.0825803474063, 106.474534755591)","49.636632219353 (5.25213260790853, 107.592737427524)","49.1005049550033 (4.66470143013677, 107.188990488376)","Osimertinib_PD_L1i","47.4775515121842 (3.00905009482296, 105.412064494263)","49.6457077412262 (5.14227171637819, 107.779606719031)","47.6893267887724 (3.30148007134034, 105.569674124899)"
"Placebo","0.351706400334053 (-0.396191318712772, 1.11323839332472)","0.379393915453451 (-0.981031151777895, 1.72860756521912)","0.740646733938471 (-0.989165882273946, 2.5101223322247)","0.315936069113933 (-0.857918338947019, 1.47422179020304)","2.52210093853861 (1.50964929717294, 3.72920709565332)","23.3702426566784 (2.97689404575944, 61.1245667656691)","0.528282545011077 (-0.209902287019779, 1.29074103393544)","-27.6864144151329 (-81.6672588519305, -2.20848719851797)","-0.188352997586235 (-1.07335285274927, 0.678369838068778)","0.136129293602717 (-1.7791744041056, 2.03396324636996)","0.424598136460904 (-0.181986482055093, 1.09761152351375)","0.39582639192619 (-0.350421605979202, 1.17127731737852)","1.04801935269896 (-0.711589416539846, 3.00909126741659)","0.820764122846676 (-0.274190529192365, 1.96780316361355)","-34.7058810135876 (-86.0420554211911, -1.74602052850053)","1.55410745743963 (-0.113508009172083, 3.74834290613136)","-48.9822964329857 (-118.16887445757, -2.89318506146962)","0.556644590629026 (-0.375998686794029, 1.78260838028384)","0.308560660429333 (-0.654737455859396, 1.33255830066412)","1.72357999223461 (-0.0606069904226423, 3.88654625464801)","0.350541263492757 (-0.931775224651056, 1.6180825799727)","0.201834973956458 (-0.605652430886561, 1.01360616450021)","0.498563418735578 (-0.970300112657807, 2.01397103680698)","0.127236259297957 (-0.96641715837552, 1.25819542006304)","30.1146853592399 (1.3490266365873, 96.9595637274635)","23.2358962249599 (2.88178591504825, 60.9660893389007)","1.12132270777275 (-0.0314060044403389, 2.27411830345276)","1.3606364233115 (0.232432221437784, 2.52213562628231)","1.04581537842279 (0.391469845346219, 1.763440944035)","2.19698170112176 (1.17247735299923, 3.28099591599751)","1.58997870880714 (0.674007773538147, 2.77457470065348)","-47.4775515121842 (-105.412064494263, -3.00905009482296)","Placebo","2.19046232271038 (0.950524990808693, 3.53807571940929)","0.253252811770734 (-1.14407495699432, 1.70380036890802)"
"Rociletinib","-1.83647955919455 (-3.21428744262379, -0.557192921127423)","-1.82101566939846 (-3.57326395207595, -0.127398937360202)","-1.45312632706411 (-3.53462793428518, 0.600364069275503)","-1.87985255475737 (-3.55970474779689, -0.327857645409851)","0.324964858523055 (-1.10793314272088, 1.8501532110142)","21.1756692380819 (0.687586412073728, 58.8911439051913)","-1.66178823412276 (-2.97192650620993, -0.443822439082656)","-29.8508374359289 (-83.8858856951874, -4.38890348341698)","-2.38005566674896 (-3.81052295757243, -1.07059674386938)","-2.06108398192571 (-4.20633119001926, -0.024492036040254)","-1.76422082963312 (-2.94590033554552, -0.661211098757766)","-1.79156284877568 (-3.0515180907969, -0.636806222208377)","-1.15221685049503 (-3.19597601223875, 1.00233770603348)","-1.37390289817298 (-2.84789332544774, 0.0824548390135445)","-36.8961300632376 (-88.1645641091428, -3.93462979918951)","-0.644721758217799 (-2.58094560058318, 1.72839899222195)","-51.1837905620575 (-120.455237000067, -5.12894839998777)","-1.62756177496545 (-2.98949819274214, -0.140661340407326)","-1.87969342880362 (-3.30042046682964, -0.552516142982696)","-0.471199920607142 (-2.55552837540464, 1.86713759588636)","-1.84593717312241 (-3.60835960942511, -0.193754616700295)","-1.98664176728771 (-3.44120588278353, -0.654493523812745)","-1.6952494586399 (-3.59448481069102, 0.147031335692479)","-2.06067598053685 (-3.78046910180711, -0.446536558351115)","27.9363280755847 (-0.887363849443665, 94.6339259541507)","21.0573091651773 (0.597383900961085, 58.7769255244418)","-1.07285252708642 (-2.79591729894683, 0.561838162364698)","-0.828783352279407 (-2.55386849721267, 0.81222542080671)","-1.1402153675957 (-2.59326417308447, 0.236423897238202)","0.00937094059776966 (-1.64593013947376, 1.61311117225314)","-0.589528730952074 (-2.17672504913222, 1.06087506126835)","-49.6457077412262 (-107.779606719031, -5.14227171637819)","-2.19046232271038 (-3.53807571940929, -0.950524990808693)","Rociletinib","-1.93867597279195 (-3.85742954878094, -0.0934300678810456)"
"Zorifertinib","0.108296875594715 (-1.4871277062197, 1.63357936454891)","0.12445173254597 (-1.82894970406271, 2.01196662303402)","0.489583071725903 (-1.755196533081, 2.69705604896556)","0.0635572015663411 (-1.76229829521074, 1.79933349366546)","2.26506832863018 (0.598620134692215, 4.10866134261448)","23.1122385147359 (2.60603087629807, 60.7850763536546)","0.28116541092395 (-1.27409744166456, 1.80021953992205)","-27.9456353877714 (-81.9750010158912, -2.47353843317053)","-0.439702977604203 (-2.12531695739632, 1.15359412613751)","-0.120253457870768 (-2.49427291755497, 2.17930871833952)","0.169309984809841 (-1.3446993021654, 1.69485347867398)","0.143038417205741 (-1.46282710495516, 1.69481445819735)","0.787911653401417 (-1.41654507150746, 3.17612333866458)","0.563802338687636 (-1.18950811171762, 2.34907176117339)","-34.9469770242665 (-86.3359062851183, -1.98435761927158)","1.31604744631904 (-0.892513847239394, 3.82693601067522)","-49.1953443596794 (-118.40140241882, -3.14254847553138)","0.299995074012174 (-1.31879989040266, 2.15936011987114)","0.0549533233822281 (-1.61324654336957, 1.75308755483613)","1.48666831848 (-0.785629958446516, 4.0285645728805)","0.0944914058672988 (-1.81161394905794, 1.92544186842153)","-0.0502609708104196 (-1.66409247445127, 1.48725890023196)","0.248804781746189 (-1.77359792318443, 2.23249028887879)","-0.125652864525373 (-1.02929403090377, 0.75888995242468)","29.9105837304618 (1.00632610828289, 96.5793417316503)","22.9869797968986 (2.5477656522055, 60.7212852597342)","0.873311265592754 (-0.782619427245449, 2.44615871237085)","1.11313295842876 (-0.490913735037117, 2.66919790301231)","0.796089664552451 (-0.442266375538406, 2.04484220696733)","1.9444458063565 (0.473139103736658, 3.43531993904506)","1.33781245173853 (-0.0129559016209204, 2.9136269680216)","-47.6893267887724 (-105.569674124899, -3.30148007134034)","-0.253252811770734 (-1.70380036890802, 1.14407495699432)","1.93867597279195 (0.0934300678810456, 3.85742954878094)","Zorifertinib"
