"","antiangio","chemo","DHFRi","I","I_antiangio","I_chemo","I_COX2i","I_HER3i","I_IGF_1Ri","I_METi","I_MMPi","I_PARPi","II","II_Cetuximab","II_HMGCRi","III","III_Amivantamab","III_antiangio","III_chemo","Placebo","Rociletinib","Zorifertinib"
"I_METi","1.8182399142565 (0.695161858060263, 3.14991739105727)","0.306599595063226 (-0.590054052511308, 1.25666943228553)","-0.0910956410385725 (-1.98845169405426, 1.74305065031074)","0.175712480421948 (-0.528768114486007, 0.925549319363417)","0.46374304659477 (-0.437415902557334, 1.38517777002525)","0.796612292933837 (-0.383449796714622, 2.06156386015354)","-31.4598729273294 (-74.7386746435065, -2.4416664537804)","1.31362205779384 (-0.405863477606189, 3.52750133167257)","0.739399826916174 (-0.466320191993025, 2.12646730562625)","I_METi","17.1893021569902 (2.25253690220105, 55.3994487160226)","16.0941621282335 (0.178226730816512, 51.8908158764602)","0.0364836435858559 (-0.844303756666508, 0.91483039867323)","0.0102662854721687 (-4.02423109346394, 3.70618894068181)","-29.5327807885243 (-88.9251427320025, -0.952250303086504)","0.697807706175139 (-0.182300500562239, 1.64285669559993)","0.937270728859723 (-0.335695987862104, 2.27939647858012)","3.09356441846505 (0.846288057081622, 6.50458408921382)","1.64241729427411 (0.185222265735559, 3.21537367657998)","-0.000111377528541234 (-0.896342245110595, 0.900841654863345)","0.70429716656906 (-1.38196553201355, 2.95921598583609)","1.26754353637682 (-0.328656974475421, 3.05209643888666)"
"I_MMPi","-15.3231561563895 (-53.5706373244946, -0.331110469781408)","-16.8645575176769 (-55.0787867846051, -1.91785336367336)","-17.2651670091729 (-55.6547492361483, -2.21693743483771)","-17.0148155960493 (-55.1969672363264, -2.0767262750229)","-16.7017187368362 (-54.9647212233796, -1.78748233595409)","-16.365866543785 (-54.6537975977414, -1.38376423041012)","-51.0230567468124 (-107.895917418493, -14.1725909021809)","-15.6965295133833 (-54.1326397712293, -0.661306739207091)","-16.4031512407829 (-54.6050934941256, -1.46289046206164)","-17.1893021569902 (-55.3994487160226, -2.25253690220105)","I_MMPi","-1.1725376774813 (-46.2145019032309, 37.6087858790388)","-17.1719187496398 (-55.3193869066399, -2.20620120000794)","-17.07061705638 (-55.5399754438765, -1.22727129539844)","-51.5825863147 (-118.742068219281, -9.42601060938424)","-16.4785415510458 (-54.6589371425998, -1.51774440050731)","-16.1950653844249 (-54.2860178629946, -1.2422151976279)","-13.9601773210934 (-52.4239495618396, 1.52561743946927)","-15.4842754222173 (-53.8092976346762, -0.493350604042024)","-17.1870990849582 (-55.4507110958814, -2.24396048273297)","-16.4576607411621 (-54.9180638044565, -1.31284648730443)","-15.8907777738305 (-54.0916812517731, -0.816882493203956)"
"I_PARPi","-14.257308714935 (-50.1212163049442, 1.69800435222844)","-15.7704562918534 (-51.7077379937684, 0.144104904821047)","-16.2953454263648 (-52.3119341565007, 0.0692272744407422)","-15.962026831472 (-51.7388281105028, -0.0221102041809145)","-15.6973356121235 (-51.3894310982684, 0.326498470937108)","-15.3129231313564 (-51.043245860772, 0.536010087300086)","-48.4065050247841 (-113.937447724206, -10.9806601402132)","-14.7502315692833 (-50.6045261880825, 1.38360930855845)","-15.3633038269159 (-51.1898356098666, 0.616170345312032)","-16.0941621282335 (-51.8908158764602, -0.178226730816512)","1.1725376774813 (-37.6087858790388, 46.2145019032309)","I_PARPi","-16.1217367184149 (-51.9257171152236, -0.121743209847019)","-16.0632077856966 (-52.325299050608, 0.34476170835176)","-48.8802430851216 (-115.752268393556, -9.69937211941603)","-15.4004351453978 (-51.3431998503736, 0.519611532510489)","-15.1685930615665 (-51.0374788189767, 0.748332321743742)","-12.777211694743 (-49.3642396067183, 3.41752245318912)","-14.4178611318826 (-50.4776173322322, 1.57396504999)","-16.1626663972371 (-52.006767241276, -0.14750256173527)","-15.3576778023793 (-51.2720870817068, 0.717073138089326)","-14.8460426972018 (-50.6325547060371, 1.14748467905241)"
"II","1.7820838970906 (0.782590918719379, 2.97123888283897)","0.279177643009164 (-0.435736951202343, 0.992620733913268)","-0.127574821678151 (-1.96929094534667, 1.63379625454682)","0.141465448189324 (-0.328257488830797, 0.63533506509725)","0.429272909203592 (-0.291206418233969, 1.15173134054414)","0.761248319393834 (-0.286249417289028, 1.87230523184392)","-31.4565807444711 (-74.7576099529498, -2.51503449484634)","1.27051229630383 (-0.345058755248935, 3.42714427886012)","0.709623260318278 (-0.377103391392358, 1.94293746836643)","-0.0364836435858559 (-0.91483039867323, 0.844303756666508)","17.1719187496398 (2.20620120000794, 55.3193869066399)","16.1217367184149 (0.121743209847019, 51.9257171152236)","II","-0.0173968071370428 (-3.99514065349865, 3.65323737205644)","-29.5921813134086 (-88.9633967342022, -1.04716846328796)","0.665508163487941 (-0.0193397527012343, 1.38112375050134)","0.900506521810805 (-0.223991028472177, 2.09690942057218)","3.06133189844509 (0.869024821825769, 6.42839963599975)","1.60658979167305 (0.275364280213115, 3.06793356430329)","-0.0374476627398434 (-0.650944555812255, 0.565160710945844)","0.669311920090178 (-1.34858866085158, 2.88624985524543)","1.21670286793719 (-0.268156137309025, 2.92615759089676)"
"II_Cetuximab","1.82640937443438 (-1.99799054364938, 5.90544444591254)","0.285710661931795 (-3.41634133276109, 4.32865541224147)","-0.128067479972582 (-4.11631476298683, 4.19537606100576)","0.159343089872355 (-3.51121168640595, 4.17650223498269)","0.446098084096624 (-3.28614252870841, 4.4967277491885)","0.79801563887295 (-3.01780665188392, 4.88710608660923)","-31.4899700141836 (-74.6476201087912, -2.237340558248)","1.33685721113768 (-2.67311743741503, 5.70979544300257)","0.755769727554962 (-3.02966765495769, 4.85292398694159)","-0.0102662854721687 (-3.70618894068181, 4.02423109346394)","17.07061705638 (1.22727129539844, 55.5399754438765)","16.0632077856966 (-0.34476170835176, 52.325299050608)","0.0173968071370428 (-3.65323737205644, 3.99514065349865)","II_Cetuximab","-29.3789354286268 (-88.7273557100108, -0.72974688395805)","0.683627666875283 (-3.00287680249534, 4.74291425783245)","0.923473471186069 (-2.85936412766026, 5.0476349110898)","3.1717675362192 (-1.04861686956826, 8.08747963774082)","1.63926856260223 (-2.1966073410906, 5.82676225948229)","-0.0203258449775105 (-3.72706388519369, 4.00825972203837)","0.684856320986408 (-3.3934487809636, 5.24236907851123)","1.25696833325923 (-2.68765234351691, 5.56021566905264)"
"II_HMGCRi","31.421109572523 (2.79852633470308, 90.8918337624942)","29.8668998953077 (1.32741692359382, 89.2933426576966)","29.4428759310258 (0.767439998482503, 89.2741367971766)","29.7487980954201 (1.18532277159111, 89.09722617575)","29.9920054681775 (1.40564272357444, 89.4394670876688)","30.345598182409 (1.71306988739568, 89.9063582196442)","1.53655841812952 (-58.9700413855145, 63.5916207070527)","30.9760161650072 (2.18540902274978, 90.6905340480425)","30.3031861166215 (1.7774694565194, 89.5829232445062)","29.5327807885243 (0.952250303086504, 88.9251427320025)","51.5825863147 (9.42601060938424, 118.742068219281)","48.8802430851216 (9.69937211941603, 115.752268393556)","29.5921813134086 (1.04716846328796, 88.9633967342022)","29.3789354286268 (0.72974688395805, 88.7273557100108)","II_HMGCRi","30.2640164595991 (1.68923722287956, 89.6227622907048)","30.5173149038227 (1.89597098509662, 89.9676453729058)","32.7487965512983 (4.04026796067053, 92.2830223599101)","31.2960517318614 (2.61341841246801, 90.6244258838248)","29.5655038465134 (0.97993395171951, 88.9236339693939)","30.3158624627465 (1.62209938511055, 89.6521910840366)","30.8436337311312 (2.26845907144564, 90.3221467729748)"
"III","1.12010170853776 (0.0675971861244532, 2.32272539222513)","-0.386990765581046 (-1.14448714669265, 0.319249116798272)","-0.796892797056181 (-2.67261131328558, 0.97341577475488)","-0.520696915917563 (-1.09302221978761, 0.0103404494342237)","-0.234066119238056 (-1.02455851354238, 0.525995797528179)","0.0936843217988349 (-0.990805191808637, 1.23962765914335)","-32.1594681351284 (-75.5077593712866, -3.19218426449828)","0.602710485906278 (-1.03787978576832, 2.7661810697708)","0.0404314486266935 (-1.07879721129824, 1.28610968740535)","-0.697807706175139 (-1.64285669559993, 0.182300500562239)","16.4785415510458 (1.51774440050731, 54.6589371425998)","15.4004351453978 (-0.519611532510489, 51.3431998503736)","-0.665508163487941 (-1.38112375050134, 0.0193397527012343)","-0.683627666875283 (-4.74291425783245, 3.00287680249534)","-30.2640164595991 (-89.6227622907048, -1.68923722287956)","III","0.233906037135568 (-0.673006087677154, 1.20082977193044)","2.36634161924274 (0.335645808570518, 5.66894344763684)","0.935704473711266 (-0.209286527308671, 2.22343726359419)","-0.69915699501794 (-1.37916035549057, -0.0669135112840291)","0.00112096793957162 (-2.03423467083197, 2.22469957494955)","0.554220971001334 (-0.972583300812786, 2.28837070494359)"
"III_Amivantamab","0.890299326019014 (-0.531858688696773, 2.3774681841699)","-0.626043383943688 (-1.84630124964251, 0.537981997115169)","-1.03844716859832 (-3.14062950434019, 0.951956123470712)","-0.757291234821747 (-1.87295489581543, 0.294761190520514)","-0.469132863290702 (-1.72523782912581, 0.710223461362255)","-0.142788876256363 (-1.5808424839475, 1.33324300514209)","-32.4182268703292 (-75.8651833866538, -3.42421598408067)","0.374298794101242 (-1.55190048533977, 2.72182682041131)","-0.188326082493608 (-1.67172164187231, 1.35779563315653)","-0.937270728859723 (-2.27939647858012, 0.335695987862104)","16.1950653844249 (1.2422151976279, 54.2860178629946)","15.1685930615665 (-0.748332321743742, 51.0374788189767)","-0.900506521810805 (-2.09690942057218, 0.223991028472177)","-0.923473471186069 (-5.0476349110898, 2.85936412766026)","-30.5173149038227 (-89.9676453729058, -1.89597098509662)","-0.233906037135568 (-1.20082977193044, 0.673006087677154)","III_Amivantamab","2.15216687531875 (-0.12804823832129, 5.53870163212074)","0.701465188440409 (-0.79250637497422, 2.26341914846028)","-0.940034212965755 (-2.12287590975745, 0.167362623415632)","-0.240476404511395 (-2.4901326348343, 2.15467455622018)","0.32629663155346 (-1.48254907373304, 2.25632699951531)"
"III_antiangio","-1.27593452405692 (-4.70614474298171, 1.13310311459498)","-2.78809774316813 (-6.14559740711319, -0.606583342183678)","-3.23361244718424 (-6.94713297095625, -0.49578362225609)","-2.90690435711509 (-6.25652243531773, -0.783043848633128)","-2.63308923535584 (-6.00657681516409, -0.422885997910211)","-2.30582717205085 (-5.77072086165346, 0.0722876611010888)","-34.7132627290699 (-78.2938134261002, -5.40932688875624)","-1.77439671826727 (-5.50032126074932, 1.18239631593265)","-2.35154325603496 (-5.82913424506809, 0.0810497518639948)","-3.09356441846505 (-6.50458408921382, -0.846288057081622)","13.9601773210934 (-1.52561743946927, 52.4239495618396)","12.777211694743 (-3.41752245318912, 49.3642396067183)","-3.06133189844509 (-6.42839963599975, -0.869024821825769)","-3.1717675362192 (-8.08747963774082, 1.04861686956826)","-32.7487965512983 (-92.2830223599101, -4.04026796067053)","-2.36634161924274 (-5.66894344763684, -0.335645808570518)","-2.15216687531875 (-5.53870163212074, 0.12804823832129)","III_antiangio","-1.45335697883769 (-4.88852424107, 0.996799539178924)","-3.08855684878623 (-6.47397431394975, -0.918264285997178)","-2.41616884162985 (-6.25761994715981, 0.639520672230914)","-1.85036956978992 (-5.41486149958394, 0.876811068870196)"
"III_chemo","0.179558955569279 (-1.45046336415789, 1.84529090840659)","-1.33229236969602 (-2.80180088427743, 0.0198268464554122)","-1.75674880857482 (-3.99941373069365, 0.353136730829254)","-1.46364326335642 (-2.85880207311962, -0.19865558177641)","-1.17859844333794 (-2.6790076267834, 0.202362339278396)","-0.849775717443622 (-2.50596743797751, 0.80077124913951)","-33.0904100770023 (-76.622782392764, -4.17806012621639)","-0.327427625907496 (-2.44691259409948, 2.13771883471976)","-0.899135344676962 (-2.58772851572213, 0.811744762158512)","-1.64241729427411 (-3.21537367657998, -0.185222265735559)","15.4842754222173 (0.493350604042024, 53.8092976346762)","14.4178611318826 (-1.57396504999, 50.4776173322322)","-1.60658979167305 (-3.06793356430329, -0.275364280213115)","-1.63926856260223 (-5.82676225948229, 2.1966073410906)","-31.2960517318614 (-90.6244258838248, -2.61341841246801)","-0.935704473711266 (-2.22343726359419, 0.209286527308671)","-0.701465188440409 (-2.26341914846028, 0.79250637497422)","1.45335697883769 (-0.996799539178924, 4.88852424107)","III_chemo","-1.64331546366979 (-3.10284560608229, -0.325250308365071)","-0.935279341434893 (-3.35900286550237, 1.54084293928285)","-0.393123526655128 (-2.36572174718773, 1.67685863217448)"
