"I_HGFi","2.16378715027179 (-1.9803035827221, 5.93453264184196)","1.06625014201068 (-3.03716443458323, 4.72990198677823)","1.12041034074835 (-3.92441745176701, 6.21880931086687)","0.15454574497881 (-3.88755781649106, 3.76243749363385)","1.94057858469362 (-2.13513475812531, 5.58534002694209)","-1.28108208308777 (-5.70776783986245, 2.7971987469056)","0.426736227053279 (-3.68225225022192, 4.118851335131)","1.30575472093345 (-3.0937152351254, 5.35885366442179)","-0.565904102690099 (-5.24855206598067, 3.7586943256231)","I_HGFi","1.79376299529483 (-2.50497715746768, 5.71304954860021)","0.279600707292706 (-3.87211660869698, 4.00464266685615)","-1.77075908027291 (-6.47869672467197, 2.47871363318671)","0.330112101227639 (-3.78058411187312, 3.99641274314862)","0.271452752696332 (-4.14242840622312, 4.30114155942161)","0.947197467351944 (-3.14884933247157, 4.6206160245366)","2.65663787774111 (-1.69244908686973, 6.68980279536061)","3.19987176229633 (-1.03520320818089, 7.03998164870604)","1.54320424870557 (-2.8210845616794, 5.57340732648882)","-0.273086999121799 (-5.69279690726605, 4.50058310130313)","0.166074778435888 (-3.95942330916541, 3.84826306976434)","-46.4094535449537 (-146.119285917878, -1.9134721474636)"
"I_IGF_1Ri","0.386737914872673 (-1.3986669258777, 2.08064800415117)","-0.710096487512498 (-2.33999253098793, 0.7801493675335)","-0.672280565736527 (-4.05807578341662, 3.30405719271196)","-1.61422530456875 (-3.12825792174224, -0.28128527283643)","0.172185570899867 (-1.383366287824, 1.59269308699854)","-3.05937530626419 (-5.47278796287806, -0.772780017725301)","-1.33817682035186 (-3.02215397770746, 0.178083383896524)","-0.460342381631437 (-2.85142974135738, 1.80180832805445)","-2.33966078065171 (-5.14942920840425, 0.371814875261958)","-1.79376299529483 (-5.71304954860021, 2.50497715746768)","I_IGF_1Ri","-1.48537063927961 (-3.3165297441151, 0.132421690030959)","-3.51942403134179 (-6.42126849535402, -0.97698617172339)","-1.44540778856691 (-3.10678318877212, 0.0366007319209225)","-1.49779507402486 (-3.85944954490837, 0.70179984379215)","-0.822600388869719 (-2.49687387236829, 0.688626128441473)","0.894780562311013 (-1.4425597647062, 3.06911968089464)","1.4256944657997 (-0.549270446626131, 3.28739173409506)","-0.230842771050486 (-2.48837703558683, 1.94646049617912)","-1.987225058975 (-6.05687666727783, 1.30011470858013)","-1.60846378895262 (-3.30219765658177, -0.100952200632881)","-48.2847825024564 (-147.916646453613, -3.88922441607634)"
"I_METi","1.86885731970862 (0.536818992437838, 3.31017275844961)","0.772727252559212 (-0.337910908105831, 1.96567838400672)","0.820148031567013 (-2.32381847416392, 4.70402126765239)","-0.136674194232517 (-1.04236575210861, 0.827518771059392)","1.64842544551472 (0.634661011595588, 2.76202541884643)","-1.57013399542887 (-3.63067338110821, 0.540056039764888)","0.135357325539604 (-1.02416696019462, 1.37191620858129)","1.02567495919921 (-0.987036983793513, 3.12989051798469)","-0.845806932474658 (-3.3624901741926, 1.70787492946708)","-0.279600707292706 (-4.00464266685615, 3.87211660869698)","1.48537063927961 (-0.132421690030959, 3.3165297441151)","I_METi","-2.01929800029601 (-4.64490708218869, 0.343353590333132)","0.0341025888457868 (-1.09148418584261, 1.20961116089962)","-0.019583477360527 (-2.00799427900021, 2.05074264957147)","0.656090462067769 (-0.496884397757764, 1.86622023880207)","2.37319454411181 (0.427950763630196, 4.39125026033629)","2.91131031992847 (1.34129905517704, 4.55993623515995)","1.25286075225178 (-0.657115930648266, 3.29633866028545)","-0.482532374625602 (-4.36849136449613, 2.67186115617891)","-0.125361503696961 (-1.28831725798796, 1.07632949970861)","-46.7662840235678 (-146.389155395316, -2.42119094632085)"
"I_MMPi","3.88989082234805 (1.53226251653389, 6.59393273743073)","2.78870749690664 (0.567106019291964, 5.37022610691416)","2.87794722748217 (-0.872011003310191, 7.31889862552719)","1.87646116905956 (-0.256878369258777, 4.36618184876616)","3.67085812885975 (1.48738208396056, 6.21221180079724)","0.461929646538908 (-2.40322698981266, 3.54487422056893)","2.15569390295923 (-0.109719548598628, 4.75876971985685)","3.06855121676633 (0.221006709124733, 6.10845113472731)","1.19225286876688 (-2.04160809075141, 4.55592704233434)","1.77075908027291 (-2.47871363318671, 6.47869672467197)","3.51942403134179 (0.97698617172339, 6.42126849535402)","2.01929800029601 (-0.343353590333132, 4.64490708218869)","I_MMPi","2.04878775696592 (-0.194187724269834, 4.62162151516112)","2.0171477271404 (-0.825301836548881, 5.06403975917189)","2.67684603663736 (0.417421561407276, 5.24744102918268)","4.40148269345955 (1.61751502387049, 7.42801886093016)","4.93504822601317 (2.42673568196347, 7.74603558012112)","3.29103656584162 (0.560550026672684, 6.31748084580113)","1.53024161873037 (-2.81207440484155, 5.41254590383476)","1.88789000687843 (-0.383135447957103, 4.46695417822387)","-44.6669923680161 (-144.290120772382, -0.19642910328032)"
"II","1.83686091819512 (0.645339767451173, 3.09042734037123)","0.73994851187352 (-0.0920170517697433, 1.61264492924918)","0.774829764777591 (-2.29923013720992, 4.59933011984408)","-0.170047416257553 (-0.84217197960366, 0.512114258898048)","1.61762823648122 (0.817535508761149, 2.46464889399115)","-1.60046409803833 (-3.58484391837186, 0.372216218291243)","0.101259408926204 (-0.895451850763225, 1.10960398008866)","0.994089118850698 (-0.948644246312725, 2.96049426416272)","-0.883213015838746 (-3.33466506891555, 1.57284416198879)","-0.330112101227639 (-3.99641274314862, 3.78058411187312)","1.44540778856691 (-0.0366007319209225, 3.10678318877212)","-0.0341025888457868 (-1.20961116089962, 1.09148418584261)","-2.04878775696592 (-4.62162151516112, 0.194187724269834)","II","-0.054182129385408 (-1.69930488029847, 1.60787192503034)","0.623460899866013 (-0.309439647339451, 1.57024249228978)","2.34310115972981 (0.505316485264566, 4.19411599926723)","2.87565647646177 (1.46810277861882, 4.33126982905683)","1.21871926794377 (-0.563256967867375, 3.0892190332893)","-0.519316785561167 (-4.38328184976023, 2.53816262042978)","-0.158858807930123 (-1.02300413072489, 0.691690663387925)","-46.8072486113767 (-146.358246088003, -2.42279590553041)"
"II_Cetuximab","1.88885819585988 (-0.160471260162424, 3.99218479897338)","0.791284634573568 (-1.05909075424193, 2.6851938918639)","0.84274361948614 (-2.69624635677244, 4.96717197174181)","-0.118364316192447 (-1.91298538399466, 1.68073433092789)","1.66944951662769 (-0.170531649440498, 3.54328976637922)","-1.55124785092911 (-4.13557692430429, 1.03480695515451)","0.150802432199489 (-1.77965783723602, 2.11744724360851)","1.04037820006191 (-1.50389064242335, 3.61278948639961)","-0.820345572099761 (-3.80585992330736, 2.1119017894603)","-0.271452752696332 (-4.30114155942161, 4.14242840622312)","1.49779507402486 (-0.70179984379215, 3.85944954490837)","0.019583477360527 (-2.05074264957147, 2.00799427900021)","-2.0171477271404 (-5.06403975917189, 0.825301836548881)","0.054182129385408 (-1.60787192503034, 1.69930488029847)","II_Cetuximab","0.678756484729124 (-1.22038130676865, 2.57590213230993)","2.39227349282646 (-0.0880988613053467, 4.87120690914806)","2.92647965152089 (0.743743547988213, 5.13935939259841)","1.27085267813473 (-1.15116473272905, 3.77882695484335)","-0.479817946894228 (-4.65157956279591, 3.01508638896951)","-0.106227185610486 (-1.99174984103011, 1.76503893205212)","-46.7099550921523 (-146.260812835495, -2.32798066115471)"
"III","1.21094427236282 (-0.0126685875747881, 2.4852385614915)","0.115463089733346 (-0.75127061923916, 1.01349995310764)","0.157638149570112 (-2.95057505847584, 3.98276892514419)","-0.793285257218662 (-1.5110431096933, -0.0862380240510742)","0.993775266940197 (0.152575054193878, 1.86673110901741)","-2.22198895274888 (-4.24483572284566, -0.242127605288441)","-0.522755688450931 (-1.5539468884856, 0.510833083559491)","0.368208353252258 (-1.59057362220041, 2.3603779264426)","-1.51384238166342 (-3.96924224473096, 0.95570626139536)","-0.947197467351944 (-4.6206160245366, 3.14884933247157)","0.822600388869719 (-0.688626128441473, 2.49687387236829)","-0.656090462067769 (-1.86622023880207, 0.496884397757764)","-2.67684603663736 (-5.24744102918268, -0.417421561407276)","-0.623460899866013 (-1.57024249228978, 0.309439647339451)","-0.678756484729124 (-2.57590213230993, 1.22038130676865)","III","1.71955500904311 (0.127835624575523, 3.29981429053696)","2.25049607641169 (1.17836383853503, 3.36728889782774)","0.596082712259425 (-0.919425766639015, 2.19061434672915)","-1.13715503627911 (-4.91685145502435, 1.75595297936252)","-0.783660055336189 (-1.70075359846037, 0.109574913385301)","-47.4665142804873 (-146.965317333418, -3.08158421776272)"
"III_Amivantamab","-0.504985885910433 (-2.4983764639612, 1.55032153008837)","-1.60700691313874 (-3.39770961513249, 0.225878929763167)","-1.54379355740338 (-5.05171365887835, 2.55071421955292)","-2.51250186594256 (-4.25240680377118, -0.77650591463584)","-0.728872734896014 (-2.50872149757532, 1.09181484660173)","-3.94027243623916 (-6.5141002945182, -1.38665131193128)","-2.24118329792616 (-4.12777430728027, -0.344752718157529)","-1.34874692860871 (-3.87472121881243, 1.19044129714531)","-3.22597009106449 (-6.1648345368074, -0.317793954137371)","-2.65663787774111 (-6.68980279536061, 1.69244908686973)","-0.894780562311013 (-3.06911968089464, 1.4425597647062)","-2.37319454411181 (-4.39125026033629, -0.427950763630196)","-4.40148269345955 (-7.42801886093016, -1.61751502387049)","-2.34310115972981 (-4.19411599926723, -0.505316485264566)","-2.39227349282646 (-4.87120690914806, 0.0880988613053467)","-1.71955500904311 (-3.29981429053696, -0.127835624575523)","III_Amivantamab","0.53352883055123 (-1.38364116776473, 2.47873521495263)","-1.1187708571149 (-3.32298714191763, 1.13212274692393)","-2.8664104703991 (-6.93313520114533, 0.449504661902318)","-2.50394648482435 (-4.34599691930773, -0.675292501704737)","-49.1201362220752 (-148.679230982654, -4.73685411505138)"
"III_antiangio","-1.03594652922283 (-2.68449591471953, 0.622328407005483)","-2.13590647078785 (-3.53703659396926, -0.738692554477292)","-2.09027485881216 (-5.41071802498162, 1.85751926817195)","-3.04397824993511 (-4.36283127898872, -1.76613284030783)","-1.25661523078707 (-2.64742471059627, 0.120661225345044)","-4.48051188808966 (-6.78356542679205, -2.21518174229442)","-2.77177397225409 (-4.28951810156858, -1.28626748923765)","-1.88284171884757 (-4.14552173922833, 0.375492664781685)","-3.76131595419819 (-6.46606951793372, -1.09094409518697)","-3.19987176229633 (-7.03998164870604, 1.03520320818089)","-1.4256944657997 (-3.28739173409506, 0.549270446626131)","-2.91131031992847 (-4.55993623515995, -1.34129905517704)","-4.93504822601317 (-7.74603558012112, -2.42673568196347)","-2.87565647646177 (-4.33126982905683, -1.46810277861882)","-2.92647965152089 (-5.13935939259841, -0.743743547988213)","-2.25049607641169 (-3.36728889782774, -1.17836383853503)","-0.53352883055123 (-2.47873521495263, 1.38364116776473)","III_antiangio","-1.65307373808075 (-3.5449016406001, 0.270294341163536)","-3.40092862481191 (-7.29077572290043, -0.308869964402276)","-3.03424123811678 (-4.48600308850336, -1.63804074157134)","-49.6890032814698 (-149.210918413689, -5.29348251289045)"
"III_chemo","0.6160391188299 (-1.3736977366222, 2.59475199481223)","-0.48299586682716 (-2.28564245604436, 1.28511107283062)","-0.436419399470402 (-3.95696487574547, 3.69085545306468)","-1.3884904411715 (-3.14276719946314, 0.293634206390635)","0.396164242755371 (-1.38981654514043, 2.1533616563423)","-2.82549737150153 (-5.39369094441327, -0.32732819312424)","-1.11733766922214 (-3.01271037354111, 0.72240096901306)","-0.229029344280069 (-2.753674981577, 2.26159643669358)","-2.10257348078455 (-5.05818783013715, 0.793561974175394)","-1.54320424870557 (-5.57340732648882, 2.8210845616794)","0.230842771050486 (-1.94646049617912, 2.48837703558683)","-1.25286075225178 (-3.29633866028545, 0.657115930648266)","-3.29103656584162 (-6.31748084580113, -0.560550026672684)","-1.21871926794377 (-3.0892190332893, 0.563256967867375)","-1.27085267813473 (-3.77882695484335, 1.15116473272905)","-0.596082712259425 (-2.19061434672915, 0.919425766639015)","1.1187708571149 (-1.13212274692393, 3.32298714191763)","1.65307373808075 (-0.270294341163536, 3.5449016406001)","III_chemo","-1.7518937312335 (-5.78442754256692, 1.5161347726137)","-1.37960527069077 (-3.23525093587914, 0.387701256022389)","-48.0700481329379 (-147.647239521815, -3.67009840968265)"
"III_PD_L1i","2.36624993632122 (-0.79605627053474, 6.3087799924015)","1.25907747871436 (-1.76734925178203, 5.12748692223315)","1.3670300593047 (-2.97668988613351, 6.59947822165424)","0.349187408614568 (-2.63163058035967, 4.1683962627117)","2.14137853398045 (-0.871961585169865, 5.97619269985472)","-1.06090903169566 (-4.64268362732998, 3.12331202072167)","0.623448878426201 (-2.45512137889884, 4.49922777305187)","1.54104021461337 (-2.01082648740174, 5.7331708268617)","-0.341284402585006 (-4.17353260114488, 4.10910239342821)","0.273086999121799 (-4.50058310130313, 5.69279690726605)","1.987225058975 (-1.30011470858013, 6.05687666727783)","0.482532374625602 (-2.67186115617891, 4.36849136449613)","-1.53024161873037 (-5.41254590383476, 2.81207440484155)","0.519316785561167 (-2.53816262042978, 4.38328184976023)","0.479817946894228 (-3.01508638896951, 4.65157956279591)","1.13715503627911 (-1.75595297936252, 4.91685145502435)","2.8664104703991 (-0.449504661902318, 6.93313520114533)","3.40092862481191 (0.308869964402276, 7.29077572290043)","1.7518937312335 (-1.5161347726137, 5.78442754256692)","III_PD_L1i","0.358836258022849 (-2.69574649268087, 4.21569610866279)","-46.1743876059346 (-145.508950870474, -1.56388006543138)"
"Placebo","1.99640687771565 (0.777807981566272, 3.28000244361669)","0.899565840591272 (-0.0305050290481196, 1.87175082010009)","0.930528093842113 (-2.1427706600992, 4.7496390277909)","-0.0100037108638132 (-0.733287806869984, 0.726205979642774)","1.77990593861182 (0.929862519412789, 2.67256399674332)","-1.44347080562054 (-3.43768791097576, 0.553220856249336)","0.264137690182079 (-0.761503578736078, 1.30895715894755)","1.15466067220026 (-0.807552066443756, 3.13840547365883)","-0.720401816974737 (-3.17234600881259, 1.7264105525208)","-0.166074778435888 (-3.84826306976434, 3.95942330916541)","1.60846378895262 (0.100952200632881, 3.30219765658177)","0.125361503696961 (-1.07632949970861, 1.28831725798796)","-1.88789000687843 (-4.46695417822387, 0.383135447957103)","0.158858807930123 (-0.691690663387925, 1.02300413072489)","0.106227185610486 (-1.76503893205212, 1.99174984103011)","0.783660055336189 (-0.109574913385301, 1.70075359846037)","2.50394648482435 (0.675292501704737, 4.34599691930773)","3.03424123811678 (1.63804074157134, 4.48600308850336)","1.37960527069077 (-0.387701256022389, 3.23525093587914)","-0.358836258022849 (-4.21569610866279, 2.69574649268087)","Placebo","-46.6405355292034 (-146.202470246601, -2.24962876829788)"
"Rociletinib","48.6582615351119 (4.23034130113947, 148.319760938369)","47.5879995456971 (3.17236220963682, 147.127439215934)","47.6649559425341 (3.096537451713, 147.106320978145)","46.6414997365152 (2.26953337881114, 146.210612995607)","48.4224615213375 (4.07664552271184, 148.023102870186)","45.2001004611844 (0.760234488616484, 144.889044637108)","46.9348307625499 (2.54297210047471, 146.457029080045)","47.8159990938436 (3.39221821334379, 147.475495119957)","45.9750828420526 (1.44066695221363, 145.484246640512)","46.4094535449537 (1.9134721474636, 146.119285917878)","48.2847825024564 (3.88922441607634, 147.916646453613)","46.7662840235678 (2.42119094632085, 146.389155395316)","44.6669923680161 (0.19642910328032, 144.290120772382)","46.8072486113767 (2.42279590553041, 146.358246088003)","46.7099550921523 (2.32798066115471, 146.260812835495)","47.4665142804873 (3.08158421776272, 146.965317333418)","49.1201362220752 (4.73685411505138, 148.679230982654)","49.6890032814698 (5.29348251289045, 149.210918413689)","48.0700481329379 (3.67009840968265, 147.647239521815)","46.1743876059346 (1.56388006543138, 145.508950870474)","46.6405355292034 (2.24962876829788, 146.202470246601)","Rociletinib"
