"","antiangio","chemo","chemo_antiangio","DHFRi","I","I_antiangio","I_Autophagyi","I_chemo","I_COX2i","I_HER3i","I_HGFi","I_IGF_1Ri","I_METi","I_MMPi","I_PARPi","II","II_Cetuximab","II_HMGCRi","III","III_Amivantamab","III_antiangio","III_chemo","III_PD_L1i","Placebo","Rociletinib","Zorifertinib"
"I_HER3i","1.00937752227423 (-1.18891042814971, 2.81914128855724)","-0.996795491549864 (-3.14963540291689, 0.628900498258601)","-35.1786420827665 (-74.0919346995154, -3.98915045273599)","-1.42446892931675 (-4.06572611282024, 0.9329871654326)","-1.1046068458145 (-3.20220356053895, 0.449026066662275)","-1.1272836910735 (-3.25607787663181, 0.47426089541312)","-0.499748808405245 (-3.11184566820844, 1.88956327773196)","-0.76973973026398 (-2.96741145378282, 0.9710536855946)","-38.4888616756227 (-102.862616478779, -2.92770998898072)","I_HER3i","-38.9920311150591 (-111.228054767871, -3.42534735488359)","-0.995996275507087 (-3.18304688360744, 0.808088644245906)","-1.22555868240004 (-3.43492821681749, 0.501115457392378)","0.195866242312733 (-2.46608370691865, 2.79144119997279)","24.5076980799705 (-0.322564693502037, 74.7602336353361)","-1.38938637814001 (-3.52886869159832, 0.245226635212478)","-1.38478852467214 (-3.74235561442316, 0.589947867172987)","-1.01532592014132 (-3.62960540319563, 1.26645656682565)","-0.709770522047544 (-2.8242195206365, 0.893165848959139)","-0.479268588722052 (-2.75888378270815, 1.39826556185854)","0.43309896673455 (-1.78072578038788, 2.22815016365633)","-0.182136288036554 (-2.36291548056845, 1.6146042037346)","-40.4309515265138 (-110.311567668185, -3.6297456933361)","-1.60217064096294 (-3.74393802816177, 0.0363932916029507)","0.651496224680164 (-1.68466689902995, 2.55673196042744)","-0.993550164825567 (-3.18384023267902, 0.786126452495807)"
"I_HGFi","40.0169226312503 (4.39112600591948, 112.244049471617)","38.0194569431023 (2.36518334172563, 110.179602428657)","1.43266031389316 (-54.1295669499229, 97.9569847864566)","37.6007792551472 (1.87986258286252, 109.752977248442)","37.9197714130798 (2.27369117822123, 110.119323068597)","37.8823323750717 (2.25220197061219, 110.062645003535)","38.6505228035404 (2.79856284326765, 110.776196779693)","38.2736221808908 (2.62060702733941, 110.322869415493)","-1.97578958218415 (-78.7582226235234, 95.0792898392589)","38.9920311150591 (3.42534735488359, 111.228054767871)","I_HGFi","38.1475675543131 (2.40380779209194, 110.171936926464)","37.9015412349161 (2.17734988066221, 109.972964467649)","39.3884863652395 (3.47798454497706, 111.269139243409)","66.9871082649889 (15.1711775642085, 143.090111540128)","37.6063445855339 (1.98985940003955, 109.790833292107)","37.6095264358356 (2.05159895829445, 109.78914807977)","37.973504893992 (2.52300180420432, 110.039412749726)","38.3107142461146 (2.66490865009589, 110.49303842014)","38.5724596772817 (2.96944409502591, 110.682493729535)","39.4238136394874 (3.8907187696774, 111.666534841534)","38.8605657260054 (3.20612344355647, 111.062392112488)","-1.12472565756904 (-77.8581124699328, 71.1882122123962)","37.4053452106038 (1.77007369821045, 109.628500308582)","39.6530254603944 (4.03412415753141, 111.792525264929)","38.0372367250692 (2.43048876944206, 110.20865100546)"
"I_IGF_1Ri","1.99503280895731 (0.866627851821635, 3.16557168727537)","-0.00343166151494746 (-0.982657448008284, 0.84055899625747)","-34.0999700447961 (-73.0077541661252, -3.01524793604348)","-0.413064957147185 (-2.35121533245593, 1.38455013513107)","-0.112270234894696 (-0.938897272716296, 0.57703117254186)","-0.128906531743917 (-1.09817023624412, 0.658081353358629)","0.499032206190949 (-1.35131270729195, 2.44251232146819)","0.223319444043799 (-0.858833495201547, 1.22613018649478)","-37.4492773223025 (-101.727308721777, -1.94785908406464)","0.995996275507087 (-0.808088644245906, 3.18304688360744)","-38.1475675543131 (-110.171936926464, -2.40380779209194)","I_IGF_1Ri","-0.229252944347324 (-1.3460871741893, 0.75906829977534)","1.18534194239639 (-0.69267230585786, 3.42797693953402)","25.6036938453755 (0.835659486460349, 75.7551355566117)","-0.39090750752935 (-1.3513423202439, 0.441821524951572)","-0.374781612777856 (-1.81155245701388, 0.97646100439926)","-0.0125657038223414 (-1.79949916168852, 1.74574124867106)","0.282359930304139 (-0.602952602672431, 1.0579448001766)","0.527737710338189 (-0.771414636308986, 1.7445203191707)","1.43337379450763 (0.272538349525768, 2.52662592186498)","0.814255131207348 (-0.234964593298691, 1.85689081022376)","-39.3565174419999 (-109.272695566823, -2.70350330054379)","-0.607264068821413 (-1.57525341520993, 0.234975660432486)","1.65298032331074 (0.295896948173043, 2.93650016490641)","0.014806706374706 (-1.15202967793266, 1.058154736082)"
"I_METi","2.2344667942306 (1.16656368500095, 3.441687532448)","0.222919468318389 (-0.650214410040219, 1.11280603469796)","-33.8093745027894 (-72.8044173407166, -2.73266936753035)","-0.169284907504492 (-2.06230454486888, 1.65014878662597)","0.110388024054895 (-0.605359543497062, 0.847988085221469)","0.0948848970342253 (-0.745489251730057, 0.912503103647751)","0.735334987483469 (-1.04948341758042, 2.68577315862033)","0.464082436918598 (-0.54985837286768, 1.4831988649063)","-37.1772228474333 (-101.523972556036, -1.72449586505017)","1.22555868240004 (-0.501115457392378, 3.43492821681749)","-37.9015412349161 (-109.972964467649, -2.17734988066221)","0.229252944347324 (-0.75906829977534, 1.3460871741893)","I_METi","1.41859459419215 (-0.421062240929383, 3.70139802140326)","25.8679597610551 (1.03794764931613, 76.0215826131383)","-0.166256985816241 (-1.02191425368454, 0.701492057011419)","-0.141376356260915 (-1.5095994615271, 1.22197313234426)","0.221249963375242 (-1.50599915308373, 1.99524748005842)","0.508588524802928 (-0.28323845163864, 1.3252194633296)","0.760429497340581 (-0.463151238248806, 2.01568376202425)","1.66226776398202 (0.570187996149159, 2.79284342306349)","1.04085420407729 (0.0471984346538552, 2.16115075644101)","-39.0599338230111 (-108.993718409747, -2.43955678133016)","-0.377504330813214 (-1.24831979250898, 0.497136560690264)","1.88914567402193 (0.601969158633864, 3.21088794681024)","0.240026246005299 (-0.836153167048884, 1.33818617697027)"
"I_MMPi","0.830329202708369 (-1.46586219235803, 2.75724638716474)","-1.19004934807788 (-3.41327988954771, 0.560497377338424)","-35.338415557728 (-74.3032859420535, -4.04675551365638)","-1.60522459201866 (-4.33789015360715, 0.804206650890266)","-1.29888795616463 (-3.46646498472857, 0.380465207091834)","-1.32224963595058 (-3.52617472313293, 0.400643565157897)","-0.678988792682536 (-3.41447213916573, 1.77961137283863)","-0.960206025536395 (-3.21183966970773, 0.910727502941914)","-38.6193393566525 (-103.183050650992, -3.00314166102696)","-0.195866242312733 (-2.79144119997279, 2.46608370691865)","-39.3884863652395 (-111.269139243409, -3.47798454497706)","-1.18534194239639 (-3.42797693953402, 0.69267230585786)","-1.41859459419215 (-3.70139802140326, 0.421062240929383)","I_MMPi","24.3149129526645 (-0.560461720307853, 74.4450343760166)","-1.57942364520655 (-3.79279107778794, 0.165290542587028)","-1.55474516913792 (-3.99271102887321, 0.487606908320135)","-1.20544397084706 (-3.85244023600497, 1.17378246182382)","-0.902322391358704 (-3.10124382873084, 0.81358108978454)","-0.664658537980162 (-3.03141841942764, 1.32591855580878)","0.252915079345186 (-2.05658742319798, 2.13983978897683)","-0.373827148441739 (-2.6325869503789, 1.51921805967723)","-40.5671515879139 (-110.452123809017, -3.68704799120609)","-1.79446689463043 (-4.02185194458149, -0.0474945244952841)","0.461160157493301 (-1.95471103295519, 2.48150868270568)","-1.18311127514794 (-3.47231736716813, 0.705807991829392)"
"I_PARPi","-23.6584466811659 (-73.9494092180073, 1.24864674749683)","-25.6285171914772 (-75.8267140275784, -0.822738521336855)","-60.7197152686211 (-115.722428567432, -14.0805642171715)","-25.9973524920069 (-76.1795950245412, -1.09525436016006)","-25.729288786904 (-75.9026174230463, -0.916831103170842)","-25.7597395734302 (-75.9195999634648, -0.94808214559824)","-25.1578131561664 (-75.1053129378465, -0.212749331207182)","-25.3360962906674 (-75.561984922597, -0.545019001501334)","-65.8650571262118 (-146.363766981141, -13.2051213176612)","-24.5076980799705 (-74.7602336353361, 0.322564693502037)","-66.9871082649889 (-143.090111540128, -15.1711775642085)","-25.6036938453755 (-75.7551355566117, -0.835659486460349)","-25.8679597610551 (-76.0215826131383, -1.03794764931613)","-24.3149129526645 (-74.4450343760166, 0.560461720307853)","I_PARPi","-26.0121227871735 (-76.2139464867441, -1.21126007859886)","-26.0432499686369 (-76.1984657213563, -1.17185579110542)","-25.6307377269418 (-75.8452242700974, -0.806105004722239)","-25.3322591067443 (-75.5137928160382, -0.516132063513619)","-25.0663932523262 (-75.297781672315, -0.295505586405808)","-24.1513153391143 (-74.4539507438504, 0.637288964688441)","-24.7894263963411 (-74.9642332704726, 0.00153032542649286)","-67.0695802009142 (-145.703056760904, -18.0522221972782)","-26.2197655714874 (-76.3806242418923, -1.43625475111295)","-23.9776553230936 (-74.1907215124525, 0.838376367088728)","-25.5835874133543 (-75.8028357658046, -0.785918631118899)"
"II","2.3934652939733 (1.48786335903703, 3.46974601768907)","0.38514375942691 (-0.258286409476331, 1.04631096082546)","-33.6652645877616 (-72.6422911152252, -2.60882153918885)","-0.00601913740092042 (-1.84007552196343, 1.71947341437574)","0.277127913334344 (-0.180135908055837, 0.747516895952666)","0.260087131139725 (-0.359010889531138, 0.862450497958569)","0.904211815642517 (-0.793076819106392, 2.77977003736892)","0.621778370841115 (-0.227182641605068, 1.49418102833459)","-37.0209503787224 (-101.352374173219, -1.57680703294922)","1.38938637814001 (-0.245226635212478, 3.52886869159832)","-37.6063445855339 (-109.790833292107, -1.98985940003955)","0.39090750752935 (-0.441821524951572, 1.3513423202439)","0.166256985816241 (-0.701492057011419, 1.02191425368454)","1.57942364520655 (-0.165290542587028, 3.79279107778794)","26.0121227871735 (1.21126007859886, 76.2139464867441)","II","0.0222649710038148 (-1.03772210521346, 1.08336952358276)","0.376026462188832 (-1.10465145835652, 1.96003225328173)","0.675197804736539 (0.131789207710448, 1.24992486874964)","0.917147460776107 (-0.156476267913479, 2.04996388338273)","1.82624716967521 (0.896498333560271, 2.81675756337624)","1.20344587275731 (0.390786924077719, 2.17195796501421)","-38.9135942081496 (-108.833001413691, -2.23866402755049)","-0.213730318877847 (-0.797820465400121, 0.375570355403143)","2.04717487533368 (0.891724497541592, 3.24988869869372)","0.403707850841187 (-0.524680851587993, 1.3461658739571)"
"II_Cetuximab","2.37780286952127 (0.982080254909107, 3.88020713700783)","0.361799836610823 (-0.883074627281171, 1.60260501611257)","-33.699306025296 (-72.8059560190945, -2.58776058040452)","-0.0380412327058783 (-2.15717865170571, 1.99050299170741)","0.253585241125245 (-0.903103855724347, 1.40816246806162)","0.235281043935321 (-0.99543587766292, 1.44813027232317)","0.877319419615553 (-1.10442488213951, 3.01890520772719)","0.59828320111213 (-0.774802203116767, 1.977027384555)","-37.0717905622001 (-101.377986910892, -1.55705479365376)","1.38478852467214 (-0.589947867172987, 3.74235561442316)","-37.6095264358356 (-109.78914807977, -2.05159895829445)","0.374781612777856 (-0.97646100439926, 1.81155245701388)","0.141376356260915 (-1.22197313234426, 1.5095994615271)","1.55474516913792 (-0.487606908320135, 3.99271102887321)","26.0432499686369 (1.17185579110542, 76.1984657213563)","-0.0222649710038148 (-1.08336952358276, 1.03772210521346)","II_Cetuximab","0.355254761386751 (-1.47299016875221, 2.26914552519432)","0.650392860383682 (-0.542969298233784, 1.85216817364501)","0.904312281036646 (-0.615802112479764, 2.42559484747229)","1.8034828602303 (0.393339888893887, 3.24609809704817)","1.18364431697002 (-0.146994285970904, 2.61998126163018)","-38.934927225425 (-108.949735125807, -2.23651851341433)","-0.238681858384029 (-1.45711963807228, 0.967614996291921)","2.02390585776436 (0.450220528885686, 3.60816995323278)","0.377573031185235 (-1.01797078653048, 1.80034258005406)"
"II_HMGCRi","2.01943369063367 (0.202047386136571, 3.85261438832761)","0.0116477126547165 (-1.69094136504349, 1.63717552200962)","-34.0694274514844 (-72.9040096351452, -2.92371814430291)","-0.386988114949824 (-2.81897829562309, 1.88379140795264)","-0.101484554977639 (-1.74905723217474, 1.46684367043367)","-0.115990840951914 (-1.81412364653277, 1.47834183527038)","0.529887347312085 (-1.83541906892644, 2.9141899738635)","0.24254079895495 (-1.54827409838221, 1.98328474493066)","-37.3068979060359 (-101.750947170034, -1.85269519051421)","1.01532592014132 (-1.26645656682565, 3.62960540319563)","-37.973504893992 (-110.039412749726, -2.52300180420432)","0.0125657038223414 (-1.74574124867106, 1.79949916168852)","-0.221249963375242 (-1.99524748005842, 1.50599915308373)","1.20544397084706 (-1.17378246182382, 3.85244023600497)","25.6307377269418 (0.806105004722239, 75.8452242700974)","-0.376026462188832 (-1.96003225328173, 1.10465145835652)","-0.355254761386751 (-2.26914552519432, 1.47299016875221)","II_HMGCRi","0.297290357268372 (-1.37018074163723, 1.89611792664611)","0.538972480159743 (-1.34257820562991, 2.39902262762614)","1.44633579889282 (-0.384186692707917, 3.23485480552072)","0.830183127208096 (-0.939800496862571, 2.599771410794)","-39.2951154265683 (-109.194657989775, -2.5796197839898)","-0.591110615435065 (-2.26702983416886, 1.00567850626154)","1.66740574515237 (-0.266093373637231, 3.57352262105826)","0.0252769469353052 (-1.77480564242822, 1.7866939127207)"
"III","1.71666050886144 (0.860005863482355, 2.72831462089599)","-0.284373183696227 (-0.883913463355592, 0.277013008511857)","-34.348630353351 (-73.2498074804158, -3.27942966412086)","-0.677557911420043 (-2.4853933631474, 1.00223277274295)","-0.395468783055255 (-0.756599361593823, -0.0588625416226781)","-0.410774176818092 (-0.986115714921516, 0.0928140652305517)","0.228711202732531 (-1.46450735932661, 2.07408913523502)","-0.051963702605697 (-0.847780593778967, 0.753139418490829)","-37.7109726671711 (-101.969906202286, -2.25612635960412)","0.709770522047544 (-0.893165848959139, 2.8242195206365)","-38.3107142461146 (-110.49303842014, -2.66490865009589)","-0.282359930304139 (-1.0579448001766, 0.602952602672431)","-0.508588524802928 (-1.3252194633296, 0.28323845163864)","0.902322391358704 (-0.81358108978454, 3.10124382873084)","25.3322591067443 (0.516132063513619, 75.5137928160382)","-0.675197804736539 (-1.24992486874964, -0.131789207710448)","-0.650392860383682 (-1.85216817364501, 0.542969298233784)","-0.297290357268372 (-1.89611792664611, 1.37018074163723)","III","0.245342329714716 (-0.693818999190871, 1.20024288967935)","1.15153119264994 (0.39683333239782, 1.9321885113264)","0.528059274838514 (-0.0804342253803273, 1.27193982791457)","-39.6214547301546 (-109.500907457832, -2.92794590064962)","-0.889631489086549 (-1.39996407594, -0.400513309829701)","1.3724456825071 (0.241394188742843, 2.51904507648667)","-0.268302998152165 (-1.15841762963075, 0.602751334225988)"
