"Erlotinib_IGF_1Ri","-2.00706354296575 (-7.62591614132437, 2.94894828782159)","-13.7271472957922 (-50.5352472949911, 3.44800797162913)","21.9933480401705 (0.262068309697428, 72.4896285793767)","-0.754709152529308 (-6.68310898386663, 5.09850860514633)","-0.959577130028913 (-7.57061316279134, 5.42427409084466)","-0.929246467775181 (-5.56187460080519, 3.23807712116765)","-0.496935375266031 (-5.50754126075843, 4.19939834474761)","-1.90368468776308 (-8.36744100755429, 4.0677734586304)","13.993662244018 (-1.9285835401304, 48.010391652797)","Erlotinib_IGF_1Ri","-0.978338395435183 (-6.3019536305399, 4.05167251424918)","13.6198649775288 (-2.53990585346501, 48.5287988365571)","0.444196231641122 (-6.089188185074, 7.64130049961394)","16.5601262840486 (-1.75974364715793, 51.3953985600075)","-2.74702418800469 (-9.95417081394883, 4.51895026513336)","15.8999539917751 (-1.84980411945273, 53.5694739816697)","18.5199042178157 (-0.0198457735372135, 52.5182088286468)","-0.109519861870512 (-6.58732529885705, 7.01437857680969)","-0.860869624586532 (-7.56738306634026, 6.34623383909063)","-0.362332246292532 (-6.20737671455121, 5.72409811216451)","15.5885822317708 (-1.24787348122114, 54.1158592089802)","16.5392943758162 (-0.500444952262411, 59.7631676326846)","-2.82036786086802 (-8.59080778026864, 2.07307627791728)"
"Erlotinib_METi","-1.01816516626638 (-5.21341065095394, 2.77071162002488)","-12.6639645841034 (-49.4270180378207, 4.00025373525853)","22.9995814838732 (1.74328994005577, 73.5885840140809)","0.193629362561918 (-4.38641708326025, 5.15216367987178)","0.029596717296004 (-5.50718555992881, 5.58671017993572)","0.0194365318881406 (-2.66692533568411, 2.72972232220991)","0.456808364612273 (-2.84572055571496, 3.91740555748318)","-0.904345785478296 (-6.26584228859822, 4.08532614395284)","14.9237640687098 (-0.398177320600068, 48.8737602092382)","0.978338395435183 (-4.05167251424918, 6.3019536305399)","Erlotinib_METi","14.5510207810967 (-0.976895733411575, 49.4120631766858)","1.40623973805326 (-3.98346825254727, 7.90282140466054)","17.5585010553577 (-0.320246347676836, 52.2647518064387)","-1.77667092361542 (-8.01987179273963, 4.80824542206022)","16.8231573299533 (-0.428163229263269, 54.3778654978404)","19.5403554071139 (1.52588402641055, 53.3920436026577)","0.865400514295103 (-4.59067842064563, 7.19954453071259)","0.112181520327344 (-5.53170563285358, 6.57568644647336)","0.605930613439307 (-3.97002448453597, 5.74381772908773)","16.4740653667818 (0.318956797161202, 54.9075778587149)","17.4970835144969 (1.0259382938218, 60.545619468509)","-1.81836264434188 (-6.25520868821358, 1.88432683518598)"
"Erlotinib_MMPi","-15.6073445074766 (-50.4940334432581, -0.0531749731770954)","-30.3567233404049 (-76.7616167138441, -2.60895549457988)","7.67018621215281 (-33.4053616644071, 60.6565264385644)","-14.3188273568799 (-49.2348241948669, 1.63570960463687)","-14.5603694440349 (-49.6762959231177, 1.78397305037241)","-14.5128179434061 (-49.4009597705573, 0.635725771067815)","-14.0691391936598 (-48.927611052068, 1.30492672484499)","-15.5512539559913 (-50.6030991692245, 0.556321564236512)","0.278040145681664 (-37.6507976740984, 37.7026720536156)","-13.6198649775288 (-48.5287988365571, 2.53990585346501)","-14.5510207810967 (-49.4120631766858, 0.976895733411575)","Erlotinib_MMPi","-13.0734819176495 (-48.0830971843007, 3.47147376536468)","2.57920429356499 (-35.9910003711786, 41.1148196041796)","-16.3890282310471 (-51.2832642588695, 0.39536646712661)","2.30795878433787 (-35.9425667925654, 41.9044937410078)","4.23308144315614 (-35.7549700020255, 42.7111577225993)","-13.6296890913109 (-48.510374905968, 2.97480464404143)","-14.4015560554812 (-49.3274843915856, 2.18832247136494)","-13.8997988007334 (-48.7090321517279, 2.15282419589978)","1.69987947304743 (-35.1459026977738, 42.7728259985534)","3.38008623958335 (-36.0473156759407, 46.4837863521494)","-16.4369303155018 (-51.3748323624894, -0.866730928401319)"
"Gefitinib","-2.44084898903916 (-8.59532603189009, 2.17839353890203)","-14.1111348988282 (-50.5661574787989, 0.754775082100395)","21.4588814925103 (-0.606161400145969, 72.4177352762522)","-1.15133250915553 (-6.60208438587716, 3.09000479653596)","-1.40917355870313 (-8.99935631893337, 5.35254329588528)","-1.36283567652035 (-7.27208299797032, 3.32584315876009)","-0.921678053279907 (-7.13080611273771, 4.22863864247304)","-2.37608481983103 (-9.78221952474153, 3.98703151375092)","13.4840227294366 (-2.93298582977165, 47.5790862429686)","-0.444196231641122 (-7.64130049961394, 6.089188185074)","-1.40623973805326 (-7.90282140466054, 3.98346825254727)","13.0734819176495 (-3.47147376536468, 48.0830971843007)","Gefitinib","15.8927565972931 (-0.415656960623324, 50.2739171088386)","-3.21603376689122 (-9.74565015056893, 2.8101781971596)","15.1805412546984 (-0.482452725934672, 52.4557942386842)","17.8814951731916 (1.3904649359254, 51.3313266104332)","-0.586039550364492 (-5.31193989309478, 4.39376146556691)","-1.3003095720712 (-6.95396355017948, 4.27065461527654)","-0.788381190883652 (-5.78217763103041, 3.66355887294255)","14.9495643315134 (-1.26535700267582, 53.4315327328143)","16.0174857142508 (-0.438638763110723, 58.8937528688844)","-3.23839693776164 (-9.05543406850153, 0.711529886848625)"
"Gefitinib_chemo","-18.6249148218464 (-53.2542418481341, -1.06372369691653)","-32.9816001905346 (-81.1733688062201, -5.04118595727297)","5.16940131527932 (-36.4475396727003, 59.1551402524708)","-17.2367163156825 (-51.8580719969382, 0.0189613905984201)","-17.6106817632897 (-52.2868149136343, 0.972768455308324)","-17.5026703935978 (-52.2393382917721, 0.070561244738493)","-17.0797090747006 (-51.8486324368057, 0.65942914732964)","-18.5808183506778 (-53.4020881542321, -0.182325036878758)","-2.31859482684087 (-41.8356393229244, 36.8407655439017)","-16.5601262840486 (-51.3953985600075, 1.75974364715793)","-17.5585010553577 (-52.2647518064387, 0.320246347676836)","-2.57920429356499 (-41.1148196041796, 35.9910003711786)","-15.8927565972931 (-50.2739171088386, 0.415656960623324)","Gefitinib_chemo","-19.2868624794015 (-53.9232204194462, -1.32492370873621)","-0.655988140888784 (-39.3682954034589, 41.9075306548421)","2.00191939832565 (-36.5301887671039, 39.4812198562914)","-16.5169189784812 (-51.3921765244213, 0.943453943991892)","-17.3189465697266 (-52.0570448885158, 0.464523369074166)","-16.8363075834945 (-51.5338742034552, 0.514106862914096)","-0.72515466493843 (-39.7431602288898, 40.3268668824428)","0.195209332575082 (-38.6139792858472, 48.1238180426404)","-19.4912455083527 (-54.0575269133903, -2.12930506248923)"
"Gefitinib_Erlotinib","0.733659124530764 (-5.44842294096182, 6.33733144410813)","-10.927305026198 (-47.6569760557096, 5.78013288566788)","24.7988126697286 (2.63005303690575, 75.8533871742387)","1.99385039142645 (-3.82446288564885, 7.61574321301186)","1.79096073561615 (-5.88521525519072, 9.23950745166762)","1.7715216356432 (-4.14453543133231, 7.49190481829501)","2.21185830446242 (-3.97862966472146, 8.31827138174652)","0.830598439723911 (-6.67648349231555, 7.86053996067946)","16.8128023214703 (0.10104935084004, 50.9066587968)","2.74702418800469 (-4.51895026513336, 9.95417081394883)","1.77667092361542 (-4.80824542206022, 8.01987179273963)","16.3890282310471 (-0.39536646712661, 51.2832642588695)","3.21603376689122 (-2.8101781971596, 9.74565015056893)","19.2868624794015 (1.32492370873621, 53.9232204194462)","Gefitinib_Erlotinib","18.5563698169364 (1.1590133705152, 56.0903327034208)","21.2508577157586 (3.08582435878171, 55.2130265157262)","2.62937415203583 (-2.53080023622635, 8.45634093693531)","1.88404240280378 (-3.43157845557964, 7.72158158624515)","2.32903981760403 (-1.55252183506754, 6.80111130849095)","18.1919594007907 (2.2370973528472, 56.5631881242802)","19.2525393782868 (3.1006801819501, 62.1934467574945)","-0.101072104761585 (-5.75193021568085, 4.94135631325263)"
"Gefitinib_PARPi","-17.8558680850099 (-55.3850162410167, -0.934308383703969)","-32.6964516880006 (-79.583944322664, -4.87232457590955)","5.44150576229573 (-37.8391198671655, 59.5378695694196)","-16.5306654991756 (-53.9698390632658, 0.185459532968188)","-16.8851856097399 (-54.4922557670198, 1.00151420432165)","-16.7664431411613 (-54.2837708234346, 0.165900551960621)","-16.3164050509079 (-53.7725854109142, 0.758642436797681)","-17.8097358953189 (-55.5101235512675, -0.147558383981554)","-1.69260480079919 (-41.942380181525, 35.8020995276572)","-15.8999539917751 (-53.5694739816697, 1.84980411945273)","-16.8231573299533 (-54.3778654978404, 0.428163229263269)","-2.30795878433787 (-41.9044937410078, 35.9425667925654)","-15.1805412546984 (-52.4557942386842, 0.482452725934672)","0.655988140888784 (-41.9075306548421, 39.3682954034589)","-18.5563698169364 (-56.0903327034208, -1.1590133705152)","Gefitinib_PARPi","2.43614392810384 (-40.6552638033994, 40.8642458170804)","-15.7887344751133 (-53.2305522939296, 1.05334690158331)","-16.5869571621148 (-54.0518094946097, 0.533123928627049)","-16.0833300850442 (-53.534187465738, 0.65421547175214)","-0.278853510389095 (-40.6249898707838, 40.4091796822314)","0.977776988967666 (-39.9709714344502, 45.549888015002)","-18.690606743896 (-56.1752049782613, -1.98537922940617)"
"Icotinib","-20.5832045396514 (-54.4338431627936, -2.85503986857402)","-34.7518741153061 (-81.3761630949566, -7.15526596232104)","3.57589978469127 (-37.8668886257554, 57.076319999182)","-19.3103031123727 (-53.0068464895574, -1.77445776769434)","-19.5825284899844 (-53.5626616860549, -0.87777817792314)","-19.4539640312849 (-53.2237319871936, -1.78540638310616)","-18.9667561853767 (-52.8163595993364, -1.18036213155002)","-20.5003278710725 (-54.4593208836173, -2.03850606016039)","-4.06979635809336 (-42.6146637769016, 34.6832261607345)","-18.5199042178157 (-52.5182088286468, 0.0198457735372135)","-19.5403554071139 (-53.3920436026577, -1.52588402641055)","-4.23308144315614 (-42.7111577225993, 35.7549700020255)","-17.8814951731916 (-51.3313266104332, -1.3904649359254)","-2.00191939832565 (-39.4812198562914, 36.5301887671039)","-21.2508577157586 (-55.2130265157262, -3.08582435878171)","-2.43614392810384 (-40.8642458170804, 40.6552638033994)","Icotinib","-18.4669632043165 (-52.2640952223796, -0.862363203730545)","-19.2719119540434 (-53.0352116224166, -1.39914436270264)","-18.7697653179577 (-52.523709570315, -1.35232118706371)","-2.47198802140073 (-40.6103711242156, 37.0045093078796)","-1.14329824669772 (-39.9266147851531, 43.7604411718273)","-21.3982550560616 (-55.0710797138218, -3.97594876036989)"
"Lazertinib","-1.92871003204678 (-7.85186731676765, 2.87230005642255)","-13.5951787670374 (-50.288371130318, 2.39914375623843)","22.0109540571306 (0.0049052127130084, 72.9247214295667)","-0.618097825237541 (-6.07115988506629, 3.94163428510677)","-0.851292976222416 (-8.34820757802468, 5.83091019418783)","-0.847615679475331 (-6.49016107721701, 3.93277413977421)","-0.391648817980192 (-6.35536703446964, 4.78423716833045)","-1.81657657429299 (-9.13269236566955, 4.52018079379257)","14.0067328597127 (-2.38146909518756, 48.2801903610379)","0.109519861870512 (-7.01437857680969, 6.58732529885705)","-0.865400514295103 (-7.19954453071259, 4.59067842064563)","13.6296890913109 (-2.97480464404143, 48.510374905968)","0.586039550364492 (-4.39376146556691, 5.31193989309478)","16.5169189784812 (-0.943453943991892, 51.3921765244213)","-2.62937415203583 (-8.45634093693531, 2.53080023622635)","15.7887344751133 (-1.05334690158331, 53.2305522939296)","18.4669632043165 (0.862363203730545, 52.2640952223796)","Lazertinib","-0.7456208517737 (-4.80426413142958, 3.2594570333474)","-0.24602366912446 (-4.05788161450448, 3.22465880205998)","15.4599147913786 (-0.355586665570627, 53.6828497235836)","16.4262949055922 (0.462162676321845, 59.4178017715367)","-2.74879030689407 (-8.10046426733437, 1.38080041313925)"
"Lazertinib_Amivantamab","-1.15227268270633 (-7.20524656171151, 3.78002865741441)","-12.8586245730153 (-49.6077129867653, 3.53042478429886)","22.8423850896935 (0.71752688652616, 73.8508194004268)","0.123295156542754 (-5.47449120548619, 5.00707013324183)","-0.118681962666342 (-7.67918908666946, 6.78949946212816)","-0.109390536841868 (-5.91855929448591, 4.95136447635869)","0.335120612564928 (-5.7477681221663, 5.80798590012337)","-1.05858961093844 (-8.50427969800847, 5.42652140198916)","14.7522356509625 (-1.68275298926114, 48.9808981599252)","0.860869624586532 (-6.34623383909063, 7.56738306634026)","-0.112181520327344 (-6.57568644647336, 5.53170563285358)","14.4015560554812 (-2.18832247136494, 49.3274843915856)","1.3003095720712 (-4.27065461527654, 6.95396355017948)","17.3189465697266 (-0.464523369074166, 52.0570448885158)","-1.88404240280378 (-7.72158158624515, 3.43157845557964)","16.5869571621148 (-0.533123928627049, 54.0518094946097)","19.2719119540434 (1.39914436270264, 53.0352116224166)","0.7456208517737 (-3.2594570333474, 4.80426413142958)","Lazertinib_Amivantamab","0.486702587748697 (-3.33672770322219, 4.14518265526438)","16.18611787979 (0.418766740933035, 54.5908210685155)","17.2391217448284 (1.24944424161492, 60.145311269134)","-1.97674615207453 (-7.48904227716674, 2.33457029740238)"
