"Erlotinib_HGFi","21.7060214394932 (-0.234766241935197, 73.6615014534612)","9.45761175400538 (-32.0410355697472, 63.4635872415462)","50.2991995008099 (11.546553924768, 116.770109647385)","23.0582053977495 (0.938246176512224, 75.0383275841633)","22.9098298955045 (0.427461896834025, 74.8086309458559)","22.8206350559334 (1.24891211561807, 74.6333940937709)","23.3816454613895 (1.66923787827309, 75.1010201610777)","21.9455288948594 (-0.440986491829666, 73.6727256321172)","41.5497709393263 (7.94967742782708, 100.2366003267)","Erlotinib_HGFi","23.9818189071519 (1.7429176499945, 75.9252434675722)","22.8198897034285 (0.95290048226969, 74.7702295499096)","41.032926775505 (7.64757858726117, 97.3422463981635)","24.4330237015717 (1.80804529082807, 76.1853551923448)","24.1637372143039 (0.852173621883191, 76.1560803778457)","21.1552010479554 (-1.74153416472893, 73.0839030350312)","41.878151328207 (8.81355053807162, 101.696683495902)","43.4825573174657 (9.99436787737612, 102.56855739636)","23.916324684324 (1.31577671238175, 75.6680422338692)","23.1738992999267 (0.493937657470147, 75.0122847292717)","23.5976142060076 (1.32822552366874, 75.3548308311602)","26.6412870749944 (3.84223022459416, 78.6252377172432)","24.5209038428525 (1.92897552307181, 76.3252498135893)","20.8578024796902 (-1.09106572859043, 72.6775324864956)"
"Erlotinib_IGF_1Ri","-2.16035545009536 (-7.25451465700603, 2.45455568931141)","-13.9078646877059 (-49.1190541208758, 3.23481618807206)","22.4681193143967 (1.04317170241219, 71.3374013748915)","-0.923031304465787 (-6.2734604898233, 4.72800255515816)","-1.07468908809386 (-7.25864695597739, 5.08666905560698)","-1.08017223221071 (-4.97795078535412, 2.72046154190807)","-0.54163595437228 (-4.83309560543393, 3.71776475006533)","-2.03850014660962 (-8.05783631227238, 3.68199198837619)","14.1073262023748 (-1.90792520489318, 49.8642024174179)","-23.9818189071519 (-75.9252434675722, -1.7429176499945)","Erlotinib_IGF_1Ri","-1.10245076578296 (-5.85741372764938, 3.60783113393288)","13.6851811128823 (-2.52657669686048, 48.3957969880665)","0.328269002300499 (-5.86167452891851, 7.46937851091483)","0.00586384132206264 (-7.61027513646088, 8.48934226023766)","-2.86965311671655 (-9.80738803148548, 4.31231169311167)","14.8144408877979 (-2.13744609463559, 50.3059361229414)","16.5007004190409 (-0.469951453169783, 52.1765106917237)","-0.181675993449121 (-6.27960446595064, 6.81449252685694)","-0.951851655188295 (-7.31485382136157, 6.13665359308665)","-0.455574561557962 (-5.89173287969183, 5.42851284266095)","2.5839398712676 (-4.14245383087298, 9.97298517028728)","0.418451460696547 (-5.92816513475671, 7.29910991570687)","-2.98470025570649 (-8.26392832690743, 1.6414045940726)"
"Erlotinib_METi","-1.06651982396611 (-5.34119679323495, 2.81246118909259)","-12.7944342905118 (-47.9031940002906, 3.99952424127258)","23.5720815741363 (2.47083774440376, 72.3903875727963)","0.187219137011706 (-4.47328267493613, 5.19123552362261)","0.0275053714124464 (-5.55262589838815, 5.64503109521946)","0.0211605210209794 (-2.74950489780326, 2.76713626542448)","0.559017065262179 (-2.76730343430997, 3.90853039685605)","-0.924481940705773 (-6.32415413316947, 4.18111821211529)","15.2127247828864 (-0.466485501752407, 50.8094133570534)","-22.8198897034285 (-74.7702295499096, -0.95290048226969)","1.10245076578296 (-3.60783113393288, 5.85741372764938)","Erlotinib_METi","14.7796536694373 (-0.99014663548609, 49.4645065558705)","1.43552106203704 (-4.08189224518728, 7.98701723935001)","1.11025060374844 (-6.09749142827697, 9.05610556678907)","-1.74037281101164 (-8.1996943162001, 4.93784486989746)","15.9404873995002 (-0.737680736911706, 51.3638793173181)","17.5818109132406 (0.905860907140386, 53.2293655308229)","0.923529466901989 (-4.59022778341943, 7.32776130132132)","0.163250116743861 (-5.60135469468688, 6.69158789883601)","0.643735399622273 (-4.06491703797729, 5.86430778892484)","3.70013930763254 (-2.48495571825435, 10.5926995078324)","1.51992827668222 (-4.21710622755004, 7.88480332811836)","-1.86645597278152 (-6.40518493704181, 1.97595933419015)"
"Erlotinib_MMPi","-15.9665958648982 (-50.6826731721234, -0.0514741286962661)","-30.1790324877562 (-75.9649165472038, -2.45437785660367)","7.80533719952278 (-32.3302968743548, 60.8574666005246)","-14.5763002908015 (-49.2556399237327, 1.74907793423022)","-14.8626487096037 (-49.6462107320349, 1.74741444618512)","-14.7623849521513 (-49.3308727753622, 0.704470860306979)","-14.1936942319418 (-48.8570717253228, 1.40384384019955)","-15.800450263352 (-50.5874196957072, 0.574911322263406)","0.551500673361823 (-37.6116813069642, 38.6586073754881)","-41.032926775505 (-97.3422463981635, -7.64757858726117)","-13.6851811128823 (-48.3957969880665, 2.52657669686048)","-14.7796536694373 (-49.4645065558705, 0.99014663548609)","Erlotinib_MMPi","-13.3148481554923 (-47.9928395993596, 3.67074234201348)","-13.6835809834884 (-48.7088687843595, 4.16595589815098)","-16.5500325915074 (-51.3967087040766, 0.591935142735014)","1.26011820771127 (-37.0444725326146, 39.0899944395529)","2.71017343287352 (-35.513681262146, 41.3155895002418)","-13.8118872363778 (-48.5281672798284, 3.05793589114829)","-14.5734466992206 (-49.4252751417568, 2.44203419205721)","-14.1165128245167 (-48.7199417314714, 2.22910149492578)","-11.1504642181691 (-45.8917850864451, 6.11372559548314)","-13.2407985564295 (-47.9352831136883, 3.60086198926556)","-16.7773610441027 (-51.3862709644394, -0.844927884810984)"
"Gefitinib","-2.49457683647447 (-8.72619142738133, 2.24051288439163)","-14.2059167114119 (-49.108471596228, 0.752686073592063)","22.0272942992768 (0.0305303605096261, 71.2416102017599)","-1.16811982377513 (-6.71566769529845, 3.10540891635006)","-1.42667137632615 (-9.17463861603651, 5.41722603906842)","-1.40183561459673 (-7.39979826850169, 3.41939449879415)","-0.855030248136854 (-7.09391093464594, 4.31478619359089)","-2.41226376146237 (-9.8569070324719, 4.09969420681715)","13.7605411603591 (-3.15029121149784, 49.8185195799723)","-24.4330237015717 (-76.1853551923448, -1.80804529082807)","-0.328269002300499 (-7.46937851091483, 5.86167452891851)","-1.43552106203704 (-7.98701723935001, 4.08189224518728)","13.3148481554923 (-3.67074234201348, 47.9928395993596)","Gefitinib","-0.340715085544542 (-4.9110668136656, 4.18649995256089)","-3.199911770655 (-9.89894435463093, 2.92104571598077)","14.2343783331233 (-0.712123359683555, 49.4754217658143)","15.8415264338701 (1.02377251581666, 51.166086825077)","-0.538958010280094 (-5.35698214498307, 4.4537542672104)","-1.27379901195166 (-7.03396274048455, 4.37366463902575)","-0.770497245522563 (-5.86549490714581, 3.77106751509338)","2.23394347298679 (-4.23726129101033, 8.65275852310615)","0.117333791023911 (-6.02311821959894, 5.83852523980524)","-3.29954126499261 (-9.10174387980799, 0.749201296246054)"
"Gefitinib_chemo","-2.20092009288339 (-9.87077279721171, 4.40100819615266)","-13.9447774407722 (-48.9792570045116, 2.05158373486454)","22.5042199564028 (-0.414077641929066, 71.9104117866219)","-0.880819101746342 (-8.00146524021213, 5.4348955287443)","-1.09527366525214 (-10.0234995231136, 7.12139798589634)","-1.08863985416508 (-8.591751081888, 5.56810820446692)","-0.539796185923909 (-8.24194237496038, 6.3504376011922)","-2.0895828255084 (-10.8763313184136, 5.88496781640596)","14.1600592638502 (-3.64521145952847, 50.3709826950039)","-24.1637372143039 (-76.1560803778457, -0.852173621883191)","-0.00586384132206264 (-8.48934226023766, 7.61027513646088)","-1.11025060374844 (-9.05610556678907, 6.09749142827697)","13.6835809834884 (-4.16595589815098, 48.7088687843595)","0.340715085544542 (-4.18649995256089, 4.9110668136656)","Gefitinib_chemo","-2.88705038057428 (-10.920325526278, 4.73835302827574)","14.6509973818593 (-1.34051402446413, 50.1792323383385)","16.2732780186621 (0.321803894855067, 51.8115500897057)","-0.198236990050865 (-6.76652559180022, 6.6157418330261)","-0.947540233092031 (-8.21163485995368, 6.33789633648186)","-0.463881624308842 (-7.24610198044537, 6.00912993087634)","2.56596918693286 (-5.36466201739936, 10.4905534532901)","0.434202100766075 (-7.12303275884013, 7.73338741365118)","-3.03486241783154 (-10.4004011549627, 3.10246224276845)"
"Gefitinib_Erlotinib","0.669855839709279 (-5.57180607393567, 6.46837209609046)","-11.1143623208071 (-46.3099018715617, 5.7686276518829)","25.357810900255 (3.18891907411567, 74.7149340369524)","1.96763163021828 (-3.92600174848811, 7.76203850386314)","1.7759914047893 (-5.9344806474256, 9.37341968243284)","1.75562959989282 (-4.2366986444531, 7.64597356089188)","2.31246064143616 (-3.95684186079723, 8.46313985528331)","0.796851422603385 (-6.82653091555422, 8.04427345761668)","16.9865237502731 (-0.0315423355923482, 53.1058846971384)","-21.1552010479554 (-73.0839030350312, 1.74153416472893)","2.86965311671655 (-4.31231169311167, 9.80738803148548)","1.74037281101164 (-4.93784486989746, 8.1996943162001)","16.5500325915074 (-0.591935142735014, 51.3967087040766)","3.199911770655 (-2.92104571598077, 9.89894435463093)","2.88705038057428 (-4.73835302827574, 10.920325526278)","Gefitinib_Erlotinib","17.6486383304949 (0.812851456219431, 53.1546444008847)","19.3408397825575 (2.46026940166896, 54.891116700607)","2.68324281735897 (-2.59530776798744, 8.68053702270656)","1.91324795128011 (-3.50150107764556, 7.86786545052484)","2.3539403577336 (-1.63152390417693, 6.94740510166549)","5.41756721097087 (-0.313992174855152, 11.8220699823509)","3.26905525444547 (-1.99597075230526, 9.02800802194769)","-0.183472455524711 (-5.83741564568938, 4.99169299019056)"
"Gefitinib_PARPi","-17.0177074926139 (-52.5386571411024, -0.697793881476749)","-31.2900165897227 (-77.4794427180129, -4.52219859597819)","6.69861449014651 (-33.592921943264, 60.2490653618745)","-15.6229709174862 (-51.1037203369024, 0.472169809184034)","-15.9457744723805 (-51.588339151755, 1.33593117306479)","-15.8618825970274 (-51.2669817085688, 0.485162928703365)","-15.3281834794466 (-50.7845964893696, 1.17799303404282)","-16.9869413894638 (-52.5509602659426, 0.246519414347946)","-0.807558799245205 (-38.6362675715645, 38.5102883807352)","-41.878151328207 (-101.696683495902, -8.81355053807162)","-14.8144408877979 (-50.3059361229414, 2.13744609463559)","-15.9404873995002 (-51.3638793173181, 0.737680736911706)","-1.26011820771127 (-39.0899944395529, 37.0444725326146)","-14.2343783331233 (-49.4754217658143, 0.712123359683555)","-14.6509973818593 (-50.1792323383385, 1.34051402446413)","-17.6486383304949 (-53.1546444008847, -0.812851456219431)","Gefitinib_PARPi","1.62657798757217 (-37.4537997013284, 39.8284653169496)","-14.7758432100925 (-50.1615370132588, 1.34474943162528)","-15.6653996220671 (-51.0867955843325, 0.805409145262912)","-15.1400091045318 (-50.4634579350677, 0.958770181709113)","-12.1755150001912 (-47.709364610787, 4.83565730671348)","-14.2896315050319 (-49.7475328451596, 2.3719698885603)","-17.8293638802152 (-53.312351760077, -1.76592356724724)"
"Icotinib","-18.7014665295118 (-54.3017177346917, -2.25857366603996)","-33.2585250283394 (-77.6035024229147, -6.53664188381332)","5.34352184848729 (-35.2173559632678, 57.9267919791717)","-17.3215103018661 (-52.8074655118155, -1.17096029514868)","-17.5984587366203 (-53.318363250091, -0.166395852406679)","-17.526969580922 (-53.2669609549981, -1.17583010281828)","-16.9968224544028 (-52.7092382633101, -0.469295499446625)","-18.6457831159753 (-54.4033840444585, -1.44538955666399)","-2.35577485727706 (-42.0717968486023, 38.0282251064742)","-43.4825573174657 (-102.56855739636, -9.99436787737612)","-16.5007004190409 (-52.1765106917237, 0.469951453169783)","-17.5818109132406 (-53.2293655308229, -0.905860907140386)","-2.71017343287352 (-41.3155895002418, 35.513681262146)","-15.8415264338701 (-51.166086825077, -1.02377251581666)","-16.2732780186621 (-51.8115500897057, -0.321803894855067)","-19.3408397825575 (-54.891116700607, -2.46026940166896)","-1.62657798757217 (-39.8284653169496, 37.4537997013284)","Icotinib","-16.4190813714714 (-52.0496141127723, -0.319165824743034)","-17.2645367344335 (-52.9584533806267, -0.813171910357867)","-16.7563432188147 (-52.4197860440244, -0.759783551851602)","-13.7562907293721 (-49.4401877255322, 3.14980958151142)","-15.9395498309852 (-51.6135153589708, 0.666181221632392)","-19.5328615221705 (-55.0961897792327, -3.34709972622943)"
"Lazertinib","-2.0400812740837 (-7.9775421526095, 2.83132214663461)","-13.795492082443 (-48.9156331388044, 2.28737178328065)","22.5349792259768 (0.575442332224691, 71.6755953764236)","-0.712181075154023 (-6.18505336073804, 3.93079535343936)","-0.926977074689093 (-8.4421414332122, 5.83131320171898)","-0.936663598612975 (-6.63269982148791, 3.95909910705605)","-0.389195177256936 (-6.34340256531947, 4.85847505335773)","-1.8974435753039 (-9.24924128244191, 4.52207766728014)","14.2477095464797 (-2.54589748383434, 50.1695006932884)","-23.916324684324 (-75.6680422338692, -1.31577671238175)","0.181675993449121 (-6.81449252685694, 6.27960446595064)","-0.923529466901989 (-7.32776130132132, 4.59022778341943)","13.8118872363778 (-3.05793589114829, 48.5281672798284)","0.538958010280094 (-4.4537542672104, 5.35698214498307)","0.198236990050865 (-6.6157418330261, 6.76652559180022)","-2.68324281735897 (-8.68053702270656, 2.59530776798744)","14.7758432100925 (-1.34474943162528, 50.1615370132588)","16.4190813714714 (0.319165824743034, 52.0496141127723)","Lazertinib","-0.763563989936848 (-4.90887686208718, 3.28397925936698)","-0.300058966739971 (-4.10246198289208, 3.29079266895151)","2.72858522709175 (-2.93332609596783, 8.42811652323067)","0.634532752526202 (-4.65864144143908, 5.48450891442172)","-2.89969874805962 (-8.19604433486034, 1.36380505451123)"
