"I_HER3i","1.15720087251636 (-1.26115358464653, 3.57297105810011)","0.930707918962621 (-1.32437406673883, 3.13180357341522)","0.415111881053084 (-4.06222827069262, 4.76792893885849)","0.387605339989069 (-1.77170239550179, 2.47390263657154)","0.457913450480903 (-1.7953369892123, 2.6039165023208)","-34.2133864175282 (-112.61001745318, -2.44989721969797)","0.924634975456158 (-1.37423781953071, 3.24515043426528)","-30.5169325501455 (-106.632463227711, -0.80629977623352)","1.54254383253893 (-1.17757516505087, 4.23904831848179)","I_HER3i","0.246781089989649 (-3.85186964486521, 4.74379376943249)","2.04113598640135 (-0.492774192021995, 4.65748452354577)","0.599775142724773 (-1.74803390940708, 2.82881524867714)","-0.254930585374292 (-3.13647954003571, 2.54836580352275)","0.603570303455647 (-1.66442710775186, 2.78252397297654)","1.01741961479309 (-1.87303977025032, 3.89561502140172)","1.25077277843409 (-1.03632998882055, 3.47498819226128)","3.00398619000858 (0.31650731119084, 5.64433928889349)","0.429978637300477 (-2.9511498686973, 3.58453741931747)","2.00005428014558 (-0.815401403622916, 4.77382688050077)","0.47691417498356 (-1.8194589182729, 2.66691161144671)","0.389727553071011 (-4.09852795298329, 4.80226449808342)"
"I_HGFi","0.907406202769162 (-3.26914021995997, 4.63637311753919)","0.67299827160969 (-3.38693240781916, 4.27518855107694)","0.135773378241061 (-5.44874279968886, 5.36746798673129)","0.135667499965029 (-3.89307392477488, 3.66338027089963)","0.205215271935243 (-3.88673358032387, 3.76526555876266)","-34.5248134956695 (-112.516576732595, -2.47789710007238)","0.677549358824205 (-3.43084730097966, 4.33673788882632)","-30.816429370947 (-106.514425810615, -0.677552324715389)","1.29630670559875 (-3.06560135463641, 5.24115095298079)","-0.246781089989649 (-4.74379376943249, 3.85186964486521)","I_HGFi","1.80169759541304 (-2.44378760845348, 5.64607738798356)","0.343287167217441 (-3.78913394269069, 3.96444548048888)","-0.5148581129635 (-4.93622463537381, 3.49485041934111)","0.354273166895552 (-3.73793010599921, 3.9451908903106)","0.759861483151278 (-3.69212379976713, 4.78137671596147)","0.992560598546102 (-3.08082411026991, 4.60313237379653)","2.74956133321354 (-1.57161928313238, 6.63109946722296)","0.149521007666111 (-4.54317111787147, 4.46666450641063)","1.73724222244729 (-2.64744820497216, 5.7300605250753)","0.2221698238888 (-3.87657402014638, 3.8205481166428)","0.116297235220648 (-5.4488361315687, 5.39094336544209)"
"I_IGF_1Ri","-0.872150109066882 (-2.80344942059535, 0.901139028377624)","-1.10171379558255 (-2.80246404092312, 0.393375203397492)","-1.63080689569536 (-5.83506532169425, 2.37793979031407)","-1.63829896986766 (-3.23380473987542, -0.31354600240138)","-1.56753541517372 (-3.28434742825235, -0.13293473649504)","-36.2489881771045 (-114.488859585812, -4.6011081171641)","-1.10176497649289 (-2.84874735574473, 0.528541679412742)","-32.5813294637803 (-108.446899786163, -2.88895147477825)","-0.489071834327484 (-2.79243270121795, 1.68094034720815)","-2.04113598640135 (-4.65748452354577, 0.492774192021995)","-1.80169759541304 (-5.64607738798356, 2.44378760845348)","I_IGF_1Ri","-1.41988600894555 (-3.29767133473885, 0.131814054574441)","-2.28498615288971 (-4.80218384299119, 0.0110858536901065)","-1.41719565979243 (-3.17709000926208, 0.0562060257564617)","-1.01178140445314 (-3.55960256942747, 1.33890490785809)","-0.78363498480231 (-2.53635953761723, 0.763437035577135)","0.973150865061502 (-1.2892069835712, 3.05191232088315)","-1.61428116833983 (-4.62681780411884, 1.10599528250001)","-0.0382151937565634 (-2.44705121390403, 2.22483860067789)","-1.55194353405977 (-3.30690029465624, -0.0632762154294269)","-1.65116089579875 (-5.9003334802294, 2.44544168979339)"
"I_METi","0.545512575539712 (-0.821514625859881, 2.09360614692478)","0.318033673528244 (-0.717660380996738, 1.49707908328064)","-0.182333154347823 (-4.17065696656087, 3.74691480059292)","-0.221232437686591 (-1.03738838817311, 0.70267019663293)","-0.147067270140312 (-1.1520395130586, 0.92242006105496)","-34.7778830823117 (-113.095280601349, -3.13834049522868)","0.314853362718892 (-0.843128177054948, 1.70143645665094)","-31.1049556583226 (-107.040554486752, -1.48081559064006)","0.932925352535875 (-0.890310290756192, 2.9215167904891)","-0.599775142724773 (-2.82881524867714, 1.74803390940708)","-0.343287167217441 (-3.96444548048888, 3.78913394269069)","1.41988600894555 (-0.131814054574441, 3.29767133473885)","I_METi","-0.849133110239664 (-2.94641390430353, 1.24376187584324)","-0.00287146875197078 (-1.04048152714318, 1.13699131450192)","0.417010366065616 (-1.67983753494609, 2.62855100292857)","0.636304741976227 (-0.459506214870681, 1.87861120086228)","2.38771189093169 (0.638977721041066, 4.30006784675435)","-0.163153271228383 (-2.86348638509411, 2.37415431911839)","1.3885763766409 (-0.556367272424376, 3.4945668846662)","-0.129162072104394 (-1.20713311828518, 1.01540663629443)","-0.197506010449382 (-4.22522338278738, 3.80799781821165)"
"I_MMPi","1.40669965159245 (-0.75001036009726, 3.70377580265246)","1.17008825999423 (-0.809347855357472, 3.25763639909312)","0.662928550699455 (-3.63696087710631, 4.93998508624424)","0.631540747164807 (-1.24689402951716, 2.58464880847109)","0.705024511650446 (-1.26966892384744, 2.72254006684725)","-33.9777328074274 (-112.238642636894, -2.22035102627272)","1.17068985798285 (-0.843931466714355, 3.37625255048801)","-30.2410630914186 (-106.267490683282, -0.526679083168751)","1.79470349031897 (-0.725149723943292, 4.40091823473368)","0.254930585374292 (-2.54836580352275, 3.13647954003571)","0.5148581129635 (-3.49485041934111, 4.93622463537381)","2.28498615288971 (-0.0110858536901065, 4.80218384299119)","0.849133110239664 (-1.24376187584324, 2.94641390430353)","I_MMPi","0.852199267097963 (-1.15538841129575, 2.90863187205382)","1.2759401077616 (-1.4561090897951, 4.03143774243816)","1.4932638774604 (-0.52055311348556, 3.60569867665297)","3.25382243396229 (0.778513333985911, 5.8146344002947)","0.679700751741994 (-2.4801566130193, 3.73107648555734)","2.24924949344005 (-0.344575342820503, 4.94081966184354)","0.726860730657914 (-1.28647648438653, 2.77890418512849)","0.648362185679452 (-3.76030374927014, 4.98912531156835)"
"II","0.550679870052918 (-0.736074307341704, 1.93077847282386)","0.318271770061765 (-0.528123949495168, 1.2238654918043)","-0.186882984806563 (-4.15351217493987, 3.7036233789111)","-0.217409638339391 (-0.882922587459578, 0.45575882086654)","-0.144258563995649 (-1.03794541350906, 0.727788315307826)","-34.7927938543411 (-113.018836903101, -3.16974550791962)","0.317931365020587 (-0.737120958168212, 1.5048051331089)","-31.0779292026744 (-107.100265663649, -1.46381034678096)","0.936097879736147 (-0.835248246600926, 2.80443272281194)","-0.603570303455647 (-2.78252397297654, 1.66442710775186)","-0.354273166895552 (-3.9451908903106, 3.73793010599921)","1.41719565979243 (-0.0562060257564617, 3.17709000926208)","0.00287146875197078 (-1.13699131450192, 1.04048152714318)","-0.852199267097963 (-2.90863187205382, 1.15538841129575)","II","0.414430648986058 (-1.39559322908257, 2.27015774852216)","0.639687273331936 (-0.304400488157726, 1.64058308024502)","2.39328861839614 (0.711624704499765, 4.1516109042956)","-0.166799786535936 (-2.82140333238322, 2.2794601864053)","1.39127290729134 (-0.482811080742701, 3.34621275160921)","-0.129221104373922 (-0.957189666828622, 0.6890510348287)","-0.206530641533374 (-4.21641724840068, 3.74984167066078)"
"II_Cetuximab","0.134717717539956 (-2.10616571163391, 2.44057212023642)","-0.0944639615137739 (-2.12149718327075, 1.95418622105538)","-0.600534071661199 (-4.97206825458644, 3.67986064754387)","-0.632717024546948 (-2.59916733201044, 1.31452091651538)","-0.561435369171292 (-2.63283842574012, 1.46044167044451)","-35.1400341763334 (-113.44093300067, -3.48747689406297)","-0.0955378250844959 (-2.21689336326566, 2.11475954009381)","-31.5397746247146 (-107.592710575089, -1.82473570873989)","0.519503300108476 (-2.05030203278984, 3.12419638539742)","-1.01741961479309 (-3.89561502140172, 1.87303977025032)","-0.759861483151278 (-4.78137671596147, 3.69212379976713)","1.01178140445314 (-1.33890490785809, 3.55960256942747)","-0.417010366065616 (-2.62855100292857, 1.67983753494609)","-1.2759401077616 (-4.03143774243816, 1.4561090897951)","-0.414430648986058 (-2.27015774852216, 1.39559322908257)","II_Cetuximab","0.225192044393338 (-1.850353403218, 2.31238934254049)","1.9784201330431 (-0.516575357940848, 4.51239870579163)","-0.588053000149386 (-3.82215493608792, 2.45747331502113)","0.973147772067937 (-1.65606547553319, 3.6406833175499)","-0.540396576877977 (-2.5931598217199, 1.45352066173437)","-0.633506677716356 (-4.98626930534008, 3.70185158750381)"
"III","-0.0918323269515026 (-1.46102524749611, 1.32647661618798)","-0.320384414994138 (-1.24938325866905, 0.606667734928075)","-0.830393628005496 (-4.83301901204308, 3.06166503443997)","-0.856878212578383 (-1.65788044409995, -0.102061287272866)","-0.783565197501235 (-1.79029511679614, 0.150331791627577)","-35.4024629941356 (-113.689720637053, -3.82354106731123)","-0.324428169821497 (-1.45712379397539, 0.895121952258551)","-31.7088702330071 (-107.716317734603, -2.13055660911621)","0.295996876811743 (-1.54901639643353, 2.1732660936553)","-1.25077277843409 (-3.47498819226128, 1.03632998882055)","-0.992560598546102 (-4.60313237379653, 3.08082411026991)","0.78363498480231 (-0.763437035577135, 2.53635953761723)","-0.636304741976227 (-1.87861120086228, 0.459506214870681)","-1.4932638774604 (-3.60569867665297, 0.52055311348556)","-0.639687273331936 (-1.64058308024502, 0.304400488157726)","-0.225192044393338 (-2.31238934254049, 1.850353403218)","III","1.75627906139486 (0.326359361714853, 3.18506044033803)","-0.805724954855227 (-3.29543267651721, 1.40917084882933)","0.74773080787728 (-0.886188010870053, 2.42500654947203)","-0.767775229301684 (-1.6883231900398, 0.081890345617769)","-0.853047883408877 (-4.8625457132616, 3.10497629008374)"
"III_Amivantamab","-1.84634628730642 (-3.80496362306214, 0.172604562479376)","-2.07750972661674 (-3.7745394197286, -0.383600307713801)","-2.59199721814208 (-6.80639729760469, 1.57857137554023)","-2.61132400133711 (-4.25800133369378, -1.02222059845095)","-2.53841075282363 (-4.30499975928222, -0.868711068552339)","-37.1645395190221 (-115.353744686969, -5.53933733629306)","-2.08397034374204 (-3.86103720086737, -0.172249882830079)","-33.4862519300757 (-109.49504833675, -3.85409315585616)","-1.45589879006042 (-3.79033708969941, 0.902678397490471)","-3.00398619000858 (-5.64433928889349, -0.31650731119084)","-2.74956133321354 (-6.63109946722296, 1.57161928313238)","-0.973150865061502 (-3.05191232088315, 1.2892069835712)","-2.38771189093169 (-4.30006784675435, -0.638977721041066)","-3.25382243396229 (-5.8146344002947, -0.778513333985911)","-2.39328861839614 (-4.1516109042956, -0.711624704499765)","-1.9784201330431 (-4.51239870579163, 0.516575357940848)","-1.75627906139486 (-3.18506044033803, -0.326359361714853)","III_Amivantamab","-2.56113378201495 (-5.41158764068318, 0.0657915980355059)","-1.0024053107306 (-3.17811851744288, 1.16542790514503)","-2.52086487722884 (-4.24718902312841, -0.886116223422834)","-2.60616881385987 (-6.86308725206935, 1.55540598099594)"
"III_antiangio","0.726254291044233 (-1.88457128163753, 3.59461942247922)","0.488203861967326 (-1.9112257909167, 3.14796270161169)","-0.0067381697022505 (-4.56696024492976, 4.58343419272748)","-0.0558484075038938 (-2.40607819998463, 2.53656375870152)","0.0215444939059822 (-2.40981053004322, 2.66357262392928)","-34.5661974808175 (-112.856534977888, -2.87235303858833)","0.486310457139875 (-1.9831300647457, 3.26379900832595)","-30.9050368390984 (-106.946151437364, -1.14909805923473)","1.11956450147941 (-1.78153417621897, 4.19917482910164)","-0.429978637300477 (-3.58453741931747, 2.9511498686973)","-0.149521007666111 (-4.46666450641063, 4.54317111787147)","1.61428116833983 (-1.10599528250001, 4.62681780411884)","0.163153271228383 (-2.37415431911839, 2.86348638509411)","-0.679700751741994 (-3.73107648555734, 2.4801566130193)","0.166799786535936 (-2.2794601864053, 2.82140333238322)","0.588053000149386 (-2.45747331502113, 3.82215493608792)","0.805724954855227 (-1.40917084882933, 3.29543267651721)","2.56113378201495 (-0.0657915980355059, 5.41158764068318)","III_antiangio","1.56869704070609 (-1.20582231863075, 4.52350162507569)","0.0334640339577688 (-2.38016418320542, 2.64743622077646)","-0.0292714793387906 (-4.59612296442724, 4.57773196743243)"
"III_chemo","-0.839114899444224 (-2.97698758774557, 1.32699526721609)","-1.06893993770142 (-2.98491117485515, 0.814601224643529)","-1.5883434759966 (-5.88077819801082, 2.65805685973359)","-1.61046748772649 (-3.46713827439663, 0.182327165470082)","-1.53996622942245 (-3.49704619195983, 0.325624103074798)","-36.1716394097521 (-114.482321278114, -4.51313886198994)","-1.07438515195685 (-3.07795059350799, 0.98722890140368)","-32.5079679891545 (-108.54427263737, -2.80618500430913)","-0.444997796046614 (-2.94112896059694, 2.02946130012284)","-2.00005428014558 (-4.77382688050077, 0.815401403622916)","-1.73724222244729 (-5.7300605250753, 2.64744820497216)","0.0382151937565634 (-2.22483860067789, 2.44705121390403)","-1.3885763766409 (-3.4945668846662, 0.556367272424376)","-2.24924949344005 (-4.94081966184354, 0.344575342820503)","-1.39127290729134 (-3.34621275160921, 0.482811080742701)","-0.973147772067937 (-3.6406833175499, 1.65606547553319)","-0.74773080787728 (-2.42500654947203, 0.886188010870053)","1.0024053107306 (-1.16542790514503, 3.17811851744288)","-1.56869704070609 (-4.52350162507569, 1.20582231863075)","III_chemo","-1.51739405818672 (-3.44440821421286, 0.302283440930435)","-1.60609571693113 (-5.95191387160012, 2.65152528493778)"
"Placebo","0.678024705008642 (-0.616871915467009, 2.08690515899538)","0.45047293043355 (-0.448964739270785, 1.4172688859054)","-0.0530460875442326 (-4.03056927396186, 3.85468489341614)","-0.0891628894776398 (-0.767371316165228, 0.620534774187877)","-0.0135927242642856 (-0.917061244125871, 0.87857427976351)","-34.6799584467473 (-112.894748794431, -3.05903146389032)","0.446877173293127 (-0.626891965616954, 1.66917081968174)","-30.9375970895375 (-106.931162923773, -1.36283379133994)","1.06149846241064 (-0.709034022475879, 2.94510876464836)","-0.47691417498356 (-2.66691161144671, 1.8194589182729)","-0.2221698238888 (-3.8205481166428, 3.87657402014638)","1.55194353405977 (0.0632762154294269, 3.30690029465624)","0.129162072104394 (-1.01540663629443, 1.20713311828518)","-0.726860730657914 (-2.77890418512849, 1.28647648438653)","0.129221104373922 (-0.6890510348287, 0.957189666828622)","0.540396576877977 (-1.45352066173437, 2.5931598217199)","0.767775229301684 (-0.081890345617769, 1.6883231900398)","2.52086487722884 (0.886116223422834, 4.24718902312841)","-0.0334640339577688 (-2.64743622077646, 2.38016418320542)","1.51739405818672 (-0.302283440930435, 3.44440821421286)","Placebo","-0.0774924345451336 (-4.06850319989392, 3.89488870965837)"
"Rociletinib","0.773546779336675 (-3.28376900776742, 4.89879317837118)","0.529006099564212 (-3.42423495436262, 4.5283663081228)","0.0160532300307152 (-5.48080043915525, 5.48825350602853)","-0.00980016269899919 (-3.90638066042269, 3.93105526634183)","0.0576116828751771 (-3.88209227704781, 4.03441839985572)","-34.5801595001739 (-112.821789320209, -2.59733296737036)","0.535283154560217 (-3.43174669021526, 4.61035835386284)","-30.9124516248316 (-106.971601693369, -0.893667791999044)","1.15103933258979 (-3.09318404951847, 5.42380457687127)","-0.389727553071011 (-4.80226449808342, 4.09852795298329)","-0.116297235220648 (-5.39094336544209, 5.4488361315687)","1.65116089579875 (-2.44544168979339, 5.9003334802294)","0.197506010449382 (-3.80799781821165, 4.22522338278738)","-0.648362185679452 (-4.98912531156835, 3.76030374927014)","0.206530641533374 (-3.74984167066078, 4.21641724840068)","0.633506677716356 (-3.70185158750381, 4.98626930534008)","0.853047883408877 (-3.10497629008374, 4.8625457132616)","2.60616881385987 (-1.55540598099594, 6.86308725206935)","0.0292714793387906 (-4.57773196743243, 4.59612296442724)","1.60609571693113 (-2.65152528493778, 5.95191387160012)","0.0774924345451336 (-3.89488870965837, 4.06850319989392)","Rociletinib"
