"I_IGF_1Ri","2.43636583766726 (0.974892441389969, 4.02349449959199)","0.655936603101029 (-0.659474943495633, 1.95873085863977)","-27.3160406714563 (-76.3836331505526, -2.56615518495742)","0.413046065232794 (-2.24749483120484, 3.02060880775551)","0.36106433188935 (-0.750603187436446, 1.35695431246783)","0.0266533712477543 (-1.2455507701713, 1.20424616247304)","0.390168731281595 (-2.2595983939004, 2.98165389999243)","0.906188394587024 (-0.707412039379846, 2.47857608028362)","0.463139778725177 (-1.73514064633597, 2.8617792817695)","I_IGF_1Ri","-0.085838401089698 (-1.7406191860162, 1.42957843314766)","-0.555014193470397 (-4.198347361331, 2.3198789937159)","0.14705585442426 (-1.24922232200774, 1.3601981441744)","-0.367745620009907 (-2.39813630086284, 1.44504224584778)","0.511348663628857 (-1.59967909826022, 2.56118351235785)","0.625844927345172 (-0.590048611921657, 1.69918458460573)","0.344737125182927 (-2.28848943879748, 2.92896387287634)","1.51160139766671 (-0.00118813456755692, 2.91298657361306)","0.925476418752621 (-0.447048801393282, 2.39823043649472)","-40.6482897660501 (-94.7042480114603, -1.69448629571028)","-0.840394811960036 (-2.29768082280585, 0.415639734622248)","2.58906988766076 (0.870783279398752, 4.29153020660151)","0.491101680453099 (-1.01561121325046, 1.84931596614815)"
"I_METi","2.52513043142617 (0.988067980700614, 4.3099657946886)","0.740045945419465 (-0.631382546615643, 2.23307667229265)","-27.2075219734935 (-76.4670703980718, -2.43877027020731)","0.511225875644076 (-2.17138901732738, 3.21530179550304)","0.440769671139408 (-0.715108141501542, 1.67015090143264)","0.108693236735455 (-1.20491976221106, 1.49180437279035)","0.482833613480633 (-2.17530647896051, 3.1969416183463)","0.999384764555921 (-0.648800941186838, 2.73190108439038)","0.557014907271694 (-1.67850154457101, 3.08252282357309)","0.085838401089698 (-1.42957843314766, 1.7406191860162)","I_METi","-0.443691232637438 (-4.12330147331788, 2.505188850993)","0.227219599074411 (-1.16880497162167, 1.65205671896536)","-0.271989864922884 (-2.30500814892157, 1.7004905134788)","0.606348102609974 (-1.51298402558342, 2.77289508472801)","0.709114171366527 (-0.542349771307728, 2.00884205372561)","0.449305606600673 (-2.21180390862318, 3.09985256993535)","1.59655429902324 (0.0625479627746501, 3.17644323967267)","1.01909624596728 (-0.42219000719889, 2.68907780498334)","-40.5537877805113 (-94.7076793881204, -1.64547116089051)","-0.755058229639876 (-2.21345388863835, 0.698680591383392)","2.67839293867697 (0.959543394290531, 4.53359876668434)","0.577614654959185 (-0.936736710815883, 2.11890528665794)"
"I_MMPi","2.99305923709422 (0.119164348754159, 6.71760471540712)","1.19657346428808 (-1.61476515419912, 4.81333368988414)","-26.7934442141145 (-75.8603984115083, -1.79555010067547)","0.980445030919172 (-2.70697840336943, 5.18921574619268)","0.884809955242256 (-1.79701294361214, 4.41014987189387)","0.560047661975071 (-2.19233108739532, 4.12665563263174)","0.94381200916311 (-2.66406378498387, 5.24000642405624)","1.45264430538714 (-1.52291120170687, 5.15378169044128)","1.06070539633849 (-2.33305262274371, 5.09656387516833)","0.555014193470397 (-2.3198789937159, 4.198347361331)","0.443691232637438 (-2.505188850993, 4.12330147331788)","I_MMPi","0.669933577580069 (-2.13758582780065, 4.24445051390255)","0.174452680223474 (-3.01415042615432, 3.96053591821839)","1.0693374254323 (-2.16604339624854, 5.01618039948914)","1.14952028605058 (-1.56657124584885, 4.69762869835565)","0.913234083943556 (-2.69884408832116, 5.18902962026745)","2.04209245304967 (-0.815613633411751, 5.70000324381175)","1.47712837350151 (-1.34478974535441, 5.13815148052198)","-39.9053676781294 (-94.225228298796, -0.997359438522279)","-0.316937419757383 (-3.14483363351168, 3.31551581735595)","3.13349670399813 (0.147235582339815, 6.88601626981954)","1.02317434501769 (-1.82208263474763, 4.63239855406617)"
"II","2.28371178265421 (1.06142864870184, 3.81662670263784)","0.510732655215254 (-0.519990581201508, 1.65901686472877)","-27.4205072669108 (-76.5252407424579, -2.69071870406889)","0.283669747072319 (-2.2269669388911, 2.80676278674816)","0.216274386632079 (-0.518926136888018, 0.98224491101134)","-0.120469041914726 (-1.07112906556172, 0.906974545007073)","0.251979333001474 (-2.2342074104347, 2.77275459401464)","0.764725860533561 (-0.613102889295526, 2.23841518447925)","0.324689954654082 (-1.7107069800673, 2.66538869199048)","-0.14705585442426 (-1.3601981441744, 1.24922232200774)","-0.227219599074411 (-1.65205671896536, 1.16880497162167)","-0.669933577580069 (-4.24445051390255, 2.13758582780065)","II","-0.506354145106165 (-1.9709884807501, 0.867857120616784)","0.371835069599435 (-1.21792906052666, 2.04840429443665)","0.480017296749365 (-0.347777474637797, 1.34998643266423)","0.206314160405316 (-2.2640222720743, 2.70787161730689)","1.36694361716306 (0.168511777789877, 2.63211537897762)","0.780265533620774 (-0.327060610293677, 2.18068371369342)","-40.821453735231 (-94.8181721640164, -1.85345878829042)","-0.980079393395705 (-2.03898448045274, -0.00219233269081656)","2.44770596264622 (0.97609272968297, 4.05558814508527)","0.346792361024453 (-0.852131598373115, 1.59863826907892)"
"II_Cetuximab","2.80583337541392 (0.974288446403427, 4.93315793791532)","1.02691447514477 (-0.665172878778446, 2.88910157868939)","-26.8844791646615 (-76.0793125928576, -2.13507397212029)","0.793595739225722 (-2.04341817254589, 3.68270371931342)","0.726002179387715 (-0.824749955928757, 2.37196930816375)","0.390478528953189 (-1.27147990686904, 2.18229995824306)","0.772836156703061 (-2.06048510017552, 3.65158361864281)","1.28023015871704 (-0.646540171466314, 3.3533115618863)","0.847046357039332 (-1.60668397876278, 3.59413147707497)","0.367745620009907 (-1.44504224584778, 2.39813630086284)","0.271989864922884 (-1.7004905134788, 2.30500814892157)","-0.174452680223474 (-3.96053591821839, 3.01415042615432)","0.506354145106165 (-0.867857120616784, 1.9709884807501)","II_Cetuximab","0.883969207739599 (-1.21733738675596, 3.10301006043227)","0.990504755038537 (-0.610097478473202, 2.68941514994548)","0.725914523181989 (-2.08845644570779, 3.59321592440339)","1.88116049457414 (0.0458730429095329, 3.81852319743227)","1.2958687054575 (-0.451523752548105, 3.30884332982785)","-40.1853913782503 (-94.2321738015268, -1.29370734462802)","-0.478156661974158 (-2.20812247362392, 1.27923872558179)","2.95989634407475 (0.930073308395776, 5.12996040759626)","0.855259862238166 (-0.974487071102072, 2.773592727309)"
"II_HMGCRi","1.93496908324354 (-0.1338627254038, 4.1211792169837)","0.140634648646138 (-1.78768979326852, 2.13198301730549)","-27.8980956088766 (-77.0970104197647, -2.92532720530005)","-0.0928429486767292 (-3.108548127463, 2.87216729462501)","-0.149768008178836 (-1.96108589949542, 1.59900795671822)","-0.487453758690673 (-2.38830550426778, 1.38382630397638)","-0.118475986351088 (-3.08809749121373, 2.85634549203376)","0.397496502531875 (-1.74651278053463, 2.58245928353921)","-0.0346128270883352 (-2.69023546628676, 2.76331381817383)","-0.511348663628857 (-2.56118351235785, 1.59967909826022)","-0.606348102609974 (-2.77289508472801, 1.51298402558342)","-1.0693374254323 (-5.01618039948914, 2.16604339624854)","-0.371835069599435 (-2.04840429443665, 1.21792906052666)","-0.883969207739599 (-3.10301006043227, 1.21733738675596)","II_HMGCRi","0.109310372712061 (-1.7440837034041, 1.90490257973351)","-0.150814043814561 (-3.13680834598434, 2.78598800079032)","0.989073769345221 (-1.02291412476568, 3.03597791216108)","0.412755930671168 (-1.56885490152152, 2.53642016161829)","-41.1099572365123 (-95.1600225036529, -2.17029541200544)","-1.36097683376955 (-3.31980416930179, 0.485880660722419)","2.07481959303912 (-0.128452181114752, 4.33332770912283)","-0.0261471914121298 (-2.06340105995254, 1.97405780903672)"
"III","1.8008415206545 (0.728179627358601, 3.17348583996108)","0.0306476380154018 (-0.825241404593192, 0.966666640427979)","-27.9559836231752 (-77.0111403892489, -3.19297654885369)","-0.20531093142895 (-2.6436114487455, 2.24199536582364)","-0.261721470349665 (-0.718274937461562, 0.182798669049626)","-0.601688079180307 (-1.35478112510476, 0.194352742510043)","-0.228562502206085 (-2.65645656180146, 2.22990071824444)","0.287474691405694 (-0.96351445396989, 1.60066409810314)","-0.160334651476906 (-2.10202082853634, 2.09774930121391)","-0.625844927345172 (-1.69918458460573, 0.590048611921657)","-0.709114171366527 (-2.00884205372561, 0.542349771307728)","-1.14952028605058 (-4.69762869835565, 1.56657124584885)","-0.480017296749365 (-1.34998643266423, 0.347777474637797)","-0.990504755038537 (-2.68941514994548, 0.610097478473202)","-0.109310372712061 (-1.90490257973351, 1.7440837034041)","III","-0.275483950157983 (-2.60061516810581, 2.0813752828203)","0.884021254129976 (4.30968910183137e-05, 1.79464632254133)","0.292402302207419 (-0.464822006184476, 1.33242032765401)","-41.32047899552 (-95.3084359140107, -2.33768020093291)","-1.46003150884938 (-2.32550784784464, -0.712050545643256)","1.96366344388737 (0.60756105904466, 3.42903568875992)","-0.135188138953419 (-1.20257295840862, 0.938651192717396)"
"III_Amivantamab","2.10084006159057 (-0.49073479810822, 4.78412227408263)","0.300238517676523 (-2.16468918235072, 2.83993688614493)","-27.6875566825511 (-76.9417958698565, -2.82953905610071)","0.069411966389519 (-3.33754106152504, 3.42792475229245)","0.0159015482919646 (-2.39054379488519, 2.37819051119531)","-0.324866980454371 (-2.7997314332687, 2.13538391035068)","0.035381464083028 (-3.30572801838553, 3.39937171478662)","0.565001683549611 (-2.09753839644372, 3.25694022988749)","0.140083951672312 (-2.95803015642025, 3.35325843634555)","-0.344737125182927 (-2.92896387287634, 2.28848943879748)","-0.449305606600673 (-3.09985256993535, 2.21180390862318)","-0.913234083943556 (-5.18902962026745, 2.69884408832116)","-0.206314160405316 (-2.70787161730689, 2.2640222720743)","-0.725914523181989 (-3.59321592440339, 2.08845644570779)","0.150814043814561 (-2.78598800079032, 3.13680834598434)","0.275483950157983 (-2.0813752828203, 2.60061516810581)","III_Amivantamab","1.15672797073236 (-1.36007558663994, 3.67612014369195)","0.587897749845001 (-1.87437563620579, 3.13916015844267)","-40.8794969716605 (-94.8633380575088, -1.94585049839517)","-1.20081345912133 (-3.70042224913826, 1.24763067907707)","2.24291755105008 (-0.487921311790559, 4.99154337933461)","0.13940342996072 (-2.42933044813137, 2.68969559916681)"
"III_antiangio","0.923383413757799 (-0.479961503558507, 2.5540787290482)","-0.853269552072425 (-2.08792986627559, 0.448451170448014)","-28.8492797595123 (-77.8576444901297, -4.04797628139799)","-1.0920849128342 (-3.68747397573855, 1.49796985212459)","-1.14658010461773 (-2.16689199278971, -0.15808506286409)","-1.48491418106402 (-2.67334917953145, -0.292632827610144)","-1.12419599515912 (-3.68725355825019, 1.49406950522231)","-0.601393505755069 (-2.14267094842043, 1.00855779147667)","-1.03650008811511 (-3.1910815314627, 1.37428225083877)","-1.51160139766671 (-2.91298657361306, 0.00118813456755692)","-1.59655429902324 (-3.17644323967267, -0.0625479627746501)","-2.04209245304967 (-5.70000324381175, 0.815613633411751)","-1.36694361716306 (-2.63211537897762, -0.168511777789877)","-1.88116049457414 (-3.81852319743227, -0.0458730429095329)","-0.989073769345221 (-3.03597791216108, 1.02291412476568)","-0.884021254129976 (-1.79464632254133, -4.30968910183137e-05)","-1.15672797073236 (-3.67612014369195, 1.36007558663994)","III_antiangio","-0.585522395512589 (-1.74460123273225, 0.784584938074028)","-42.2140064789974 (-96.1906895925463, -3.2356245795711)","-2.35225220126942 (-3.60627832331575, -1.18149296489013)","1.08161860702281 (-0.544797270932021, 2.78137411145427)","-1.0210112272121 (-2.4234669742387, 0.362499644486858)"
"III_chemo","1.50437683664586 (0.0708241774407642, 3.02688280133192)","-0.274682506665616 (-1.55300341111349, 0.91148640983561)","-28.2529020313662 (-77.3759130565013, -3.4835031088909)","-0.516439230029576 (-3.18692557968743, 2.06831723214792)","-0.556640114650199 (-1.69878401329041, 0.301973158448957)","-0.898148969277279 (-2.16550313863769, 0.16274592999162)","-0.541125253699866 (-3.18592263516525, 2.01855622307559)","-0.024477656694507 (-1.62325708636881, 1.49147950856869)","-0.467347405290789 (-2.66860374600336, 1.90085403409238)","-0.925476418752621 (-2.39823043649472, 0.447048801393282)","-1.01909624596728 (-2.68907780498334, 0.42219000719889)","-1.47712837350151 (-5.13815148052198, 1.34478974535441)","-0.780265533620774 (-2.18068371369342, 0.327060610293677)","-1.2958687054575 (-3.30884332982785, 0.451523752548105)","-0.412755930671168 (-2.53642016161829, 1.56885490152152)","-0.292402302207419 (-1.33242032765401, 0.464822006184476)","-0.587897749845001 (-3.13916015844267, 1.87437563620579)","0.585522395512589 (-0.784584938074028, 1.74460123273225)","III_chemo","-41.6162408601606 (-95.7041023243381, -2.67370155078609)","-1.76162895345075 (-3.15184756722188, -0.707862453259634)","1.66633618819507 (-0.0646696350938635, 3.27844588595835)","-0.431049937176193 (-1.96037040029796, 0.819828508079785)"
