"I_HER3i","1.21352236714326 (-1.14717919683004, 3.625334117334)","0.918540339554316 (-1.29456350777943, 3.05187029761498)","0.39543533914909 (-4.02596434022819, 4.71397319463206)","0.380886628581696 (-1.71555183224687, 2.39271254844888)","0.713238684058354 (-1.46704069948596, 2.82182280484136)","-29.2579458341998 (-108.403377095834, -0.520612168639997)","1.2022940358089 (-1.09922909161926, 3.52362039807501)","-31.1561678092243 (-112.728938073541, -0.79033490796897)","21.360066640315 (1.62535090917403, 73.6609396643567)","I_HER3i","22.1588972548441 (1.07925764468991, 78.2903572530024)","2.10711261257882 (-0.594346625114301, 5.03261286560544)","0.729622208735603 (-1.5501874430651, 2.8916177227759)","-0.458719511739645 (-3.64396562173557, 2.53280556290187)","0.617496352172046 (-1.58035190110386, 2.71794543847268)","1.7204704062409 (-1.29959507089075, 4.91394245042842)","1.47848174934926 (-0.722670959011648, 3.62821067191296)","2.67949077772022 (0.0813066139728277, 5.24757254009247)","0.646537668150064 (-2.58146348218084, 3.70693949914958)","2.51325710158059 (-0.227686690876442, 5.26119773149738)","0.535139330481783 (-1.68175118934905, 2.65942043180836)","0.416612142024636 (-3.97761515936701, 4.82267235716965)"
"I_HGFi","-20.9429734736985 (-77.1399346622144, 0.043038714075603)","-21.2118883780088 (-77.3329221789718, -0.288933672532964)","-21.7181019085752 (-77.9916999724486, -0.210114727061249)","-21.7735605799158 (-77.9205058980939, -0.849545504198734)","-21.4122077300961 (-77.5946568876494, -0.508330296125266)","-58.3258874779564 (-145.618244704783, -11.2028724993745)","-20.9309515879447 (-77.1762888351152, 0.0270296763399383)","-59.8214871316923 (-145.567999273808, -11.3090061624873)","0.0097216505429083 (-67.3877904078971, 56.7123953902362)","-22.1588972548441 (-78.2903572530024, -1.07925764468991)","I_HGFi","-20.0281501181133 (-76.2699944922896, 1.08675942875621)","-21.410914638995 (-77.6067796741795, -0.497494548948296)","-22.6196456662715 (-78.7779722660627, -1.50282404705266)","-21.5468723857287 (-77.6856677883033, -0.589997436703313)","-20.3976988243527 (-76.6130924266837, 0.765564467703865)","-20.6722648465662 (-76.7829423313078, 0.25695306876934)","-19.4653998271123 (-75.60706489474, 1.56574345483222)","-21.5296428320457 (-77.6789562437127, -0.306611227121505)","-19.6526906925153 (-75.8884291873042, 1.44456977304586)","-21.6253632033257 (-77.7573188583602, -0.68677221960543)","-21.8122520687378 (-77.9796329924942, -0.289136242659922)"
"I_IGF_1Ri","-0.878324946859814 (-3.26828209362137, 1.18795087709208)","-1.16961422151687 (-3.42473684072216, 0.623918049508247)","-1.7237127888936 (-6.09529681031393, 2.4374855785693)","-1.69947725810767 (-3.87124609466534, -0.0591462049390608)","-1.37254612388015 (-3.6245093460648, 0.395946935645634)","-31.3578113119048 (-110.594858741958, -2.68990084965338)","-0.885699586872221 (-3.24456783668548, 1.09308729061197)","-33.2976178922187 (-114.671244817725, -2.90860472350028)","19.2493695764185 (-0.455958499712837, 71.4961300134576)","-2.10711261257882 (-5.03261286560544, 0.594346625114301)","20.0281501181133 (-1.08675942875621, 76.2699944922896)","I_IGF_1Ri","-1.35980078020001 (-3.70202327630935, 0.475981641200913)","-2.57273247458393 (-5.75641792979645, 0.202481973920306)","-1.47094314981803 (-3.72112436018586, 0.290748439282191)","-0.384851351727974 (-3.42930074385429, 2.62971321608796)","-0.608310953101497 (-2.88062314423325, 1.19341013534522)","0.579348997384254 (-2.07898175766648, 2.89297306325413)","-1.45557541038053 (-4.71583640409785, 1.3856679714723)","0.409850253029958 (-2.34142469468268, 2.89316163077303)","-1.5532991936168 (-3.81894494978087, 0.225615596715142)","-1.7162405362722 (-6.11366423821886, 2.60027230061859)"
"I_METi","0.474230991506337 (-0.850290286238534, 2.05933539537487)","0.183110564594085 (-0.845770772776424, 1.29815462495627)","-0.316870753887052 (-4.28683107460639, 3.59215878707897)","-0.357159082600076 (-1.13403173006932, 0.526163802453471)","-0.0176398858862363 (-0.999901938178499, 1.05603418034027)","-29.9728291292363 (-108.974066664777, -1.3525008515843)","0.470915148675345 (-0.793766317176525, 1.89608518656774)","-31.8707396200124 (-113.244636210034, -1.62739133782814)","20.6718485546763 (1.05517869581235, 72.783569532028)","-0.729622208735603 (-2.8916177227759, 1.5501874430651)","21.410914638995 (0.497494548948296, 77.6067796741795)","1.35980078020001 (-0.475981641200913, 3.70202327630935)","I_METi","-1.16869643728321 (-3.69235866728419, 1.18703596750751)","-0.116195676789768 (-1.12169548935326, 0.970772940586417)","0.992974158552558 (-1.31343183261355, 3.63014245523605)","0.739542528077577 (-0.291788241503122, 1.90962633989414)","1.93651579803452 (0.249158677907789, 3.78830037951301)","-0.0738590235176525 (-2.6622910132566, 2.38521067335701)","1.78008684634104 (-0.107944092415732, 3.85095830839349)","-0.195254236866792 (-1.22835393371596, 0.889640317671041)","-0.31405904754196 (-4.27110686394747, 3.73232627047114)"
"I_MMPi","1.66337612689139 (-0.758464358841571, 4.39641016923948)","1.35355092951086 (-0.919240344818874, 3.88534981704579)","0.873510927371972 (-3.58537924692481, 5.35864572238149)","0.816559347203814 (-1.34781787007411, 3.2586358775754)","1.15455633955545 (-1.09084584327222, 3.67579604394715)","-28.8297550367815 (-107.952013570474, 0.021031548884697)","1.64841306343243 (-0.729371977709112, 4.3190498670492)","-30.6659006255526 (-112.11890039365, -0.271387161436248)","21.8459909556984 (2.0979895583029, 74.0795981499692)","0.458719511739645 (-2.53280556290187, 3.64396562173557)","22.6196456662715 (1.50282404705266, 78.7779722660627)","2.57273247458393 (-0.202481973920306, 5.75641792979645)","1.16869643728321 (-1.18703596750751, 3.69235866728419)","I_MMPi","1.05620459804849 (-1.20996672764555, 3.56419713335871)","2.1917826476781 (-0.943641830802712, 5.59839911036265)","1.91584461833762 (-0.345515032862049, 4.46135557609266)","3.12464924458587 (0.46277272176844, 6.00968417206184)","1.11091644104255 (-2.19152069194225, 4.40326366943386)","2.96893765375962 (0.165560033010159, 6.01103534803907)","0.973492647664552 (-1.30590190080321, 3.49511397404405)","0.86594637373744 (-3.55934617686838, 5.4509989227612)"
"II","0.589874264517544 (-0.657922703139978, 2.02074887931956)","0.298737199377946 (-0.542349966789915, 1.15642384686355)","-0.209105388027482 (-4.14362456165315, 3.67520020421711)","-0.238907390768626 (-0.864098498568677, 0.408186587260921)","0.0975144639898822 (-0.767547751151973, 0.976331756177478)","-29.8648817453806 (-108.939429480195, -1.26214157504831)","0.582563417343742 (-0.581040724348073, 1.86803468332775)","-31.7469880227458 (-113.085105742733, -1.50899601478486)","20.7787575678636 (1.21514776487898, 72.8769749887599)","-0.617496352172046 (-2.71794543847268, 1.58035190110386)","21.5468723857287 (0.589997436703313, 77.6856677883033)","1.47094314981803 (-0.290748439282191, 3.72112436018586)","0.116195676789768 (-0.970772940586417, 1.12169548935326)","-1.05620459804849 (-3.56419713335871, 1.20996672764555)","II","1.09773939089713 (-0.971749911713423, 3.51889741477484)","0.856732962593534 (-0.025117620905007, 1.79624921193052)","2.05758790415187 (0.427499812832521, 3.76610763067911)","0.0435332937270672 (-2.49585652227091, 2.39762442386088)","1.89422275035942 (0.0649984457211049, 3.84939106008908)","-0.079967423385938 (-0.867134628059609, 0.694981363859454)","-0.207247990933602 (-4.11797537985316, 3.82031821250136)"
"II_Cetuximab","-0.512305768843658 (-3.18340671541513, 2.04233791563171)","-0.800670228266103 (-3.34513245107255, 1.45355204591394)","-1.34202944976468 (-5.91113508659189, 3.03474274554111)","-1.33316560903749 (-3.81871802142816, 0.834098695849105)","-1.01014111554531 (-3.55930240598933, 1.25845027128406)","-31.0545884277878 (-110.097805880623, -2.23882830577261)","-0.525267247745878 (-3.18059146029053, 1.95623967182468)","-32.9187464813553 (-114.348327887327, -2.50741671664999)","19.6324240117754 (-0.135772119716358, 71.8453136122372)","-1.7204704062409 (-4.91394245042842, 1.29959507089075)","20.3976988243527 (-0.765564467703865, 76.6130924266837)","0.384851351727974 (-2.62971321608796, 3.42930074385429)","-0.992974158552558 (-3.63014245523605, 1.31343183261355)","-2.1917826476781 (-5.59839911036265, 0.943641830802712)","-1.09773939089713 (-3.51889741477484, 0.971749911713423)","II_Cetuximab","-0.241779314756443 (-2.80974549871842, 2.05614293952055)","0.949834879521255 (-1.93478895183694, 3.62700116307695)","-1.09103081520806 (-4.51590749619684, 2.08891131730615)","0.785620990339161 (-2.20873156862537, 3.64303042958086)","-1.18530270694622 (-3.70481252944971, 1.03435988656476)","-1.32903505904806 (-5.88290910020417, 3.1730914638829)"
"III","-0.265320447996352 (-1.57098648232466, 1.16661351268822)","-0.561216566687099 (-1.47040292916531, 0.308402852203107)","-1.06926397892734 (-5.04204356993335, 2.81429128948339)","-1.09473011082338 (-1.8357444879157, -0.40694038963523)","-0.758591479381713 (-1.72270872387003, 0.149695891113524)","-30.7190753604812 (-109.803903513115, -2.13955994778396)","-0.27641570063956 (-1.50786232221264, 1.0196339039474)","-32.6255379688444 (-113.971583151909, -2.37166837800336)","19.9205065187318 (0.319868728949809, 72.052810966118)","-1.47848174934926 (-3.62821067191296, 0.722670959011648)","20.6722648465662 (-0.25695306876934, 76.7829423313078)","0.608310953101497 (-1.19341013534522, 2.88062314423325)","-0.739542528077577 (-1.90962633989414, 0.291788241503122)","-1.91584461833762 (-4.46135557609266, 0.345515032862049)","-0.856732962593534 (-1.79624921193052, 0.025117620905007)","0.241779314756443 (-2.05614293952055, 2.80974549871842)","III","1.20270047903442 (-0.194743048725167, 2.59516127631142)","-0.814198120056272 (-3.22421058164928, 1.33899290130406)","1.03481661818984 (-0.588898837250195, 2.73393987625156)","-0.938320861539191 (-1.80570274416892, -0.134941444710997)","-1.07244761153228 (-5.01491245379138, 2.9389202517544)"
"III_Amivantamab","-1.47323512891368 (-3.34834124371594, 0.554376024398958)","-1.76408571657205 (-3.43490921146237, -0.134076275930909)","-2.27919013367367 (-6.46771062038045, 1.86314227124144)","-2.29498651697532 (-3.900133421614, -0.754685831491928)","-1.95760550970958 (-3.67275094675708, -0.318901732265257)","-31.9221114182176 (-110.97305397062, -3.26055568047463)","-1.48171408804322 (-3.32599866167271, 0.429572108985755)","-33.8279672975012 (-115.270971071787, -3.55057155973832)","18.708894380904 (-0.96252567998157, 70.8608372859612)","-2.67949077772022 (-5.24757254009247, -0.0813066139728277)","19.4653998271123 (-1.56574345483222, 75.60706489474)","-0.579348997384254 (-2.89297306325413, 2.07898175766648)","-1.93651579803452 (-3.78830037951301, -0.249158677907789)","-3.12464924458587 (-6.00968417206184, -0.46277272176844)","-2.05758790415187 (-3.76610763067911, -0.427499812832521)","-0.949834879521255 (-3.62700116307695, 1.93478895183694)","-1.20270047903442 (-2.59516127631142, 0.194743048725167)","III_Amivantamab","-2.02064319999879 (-4.79522169391628, 0.522911634661138)","-0.163322796596495 (-2.31315964893429, 2.01763428272772)","-2.13813838278018 (-3.81261503975777, -0.549694001951105)","-2.27995509755406 (-6.43703733120187, 1.99314927718242)"
"III_antiangio","0.556048065912962 (-1.95733327847833, 3.35870916262057)","0.257254215477009 (-2.08307856300179, 2.80270003206538)","-0.238508649350132 (-4.73082444519683, 4.27787979085634)","-0.27885471191877 (-2.56136633279784, 2.20376711884412)","0.0542663136193686 (-2.31496341035648, 2.61393233043549)","-29.8926987835925 (-109.009673912943, -1.16396097078641)","0.543742919418181 (-1.92993712093123, 3.25959809897913)","-31.7966861280513 (-113.356977230482, -1.40975765716471)","20.7923156052045 (0.968378957621405, 72.9108715673836)","-0.646537668150064 (-3.70693949914958, 2.58146348218084)","21.5296428320457 (0.306611227121505, 77.6789562437127)","1.45557541038053 (-1.3856679714723, 4.71583640409785)","0.0738590235176525 (-2.38521067335701, 2.6622910132566)","-1.11091644104255 (-4.40326366943386, 2.19152069194225)","-0.0435332937270672 (-2.39762442386088, 2.49585652227091)","1.09103081520806 (-2.08891131730615, 4.51590749619684)","0.814198120056272 (-1.33899290130406, 3.22421058164928)","2.02064319999879 (-0.522911634661138, 4.79522169391628)","III_antiangio","1.86609411147984 (-0.863707577781948, 4.77633212723149)","-0.126312489520312 (-2.46166852026333, 2.39348404363015)","-0.236151713569735 (-4.74078657296558, 4.39019448014194)"
"III_chemo","-1.30407572475182 (-3.40646838440201, 0.86809375879858)","-1.59698313527458 (-3.53739038190712, 0.230356574353301)","-2.1170164229948 (-6.42111885114563, 2.06749887462841)","-2.13088296774919 (-3.99246668424993, -0.387625878999541)","-1.79851541157392 (-3.76281868218783, 0.032178517750668)","-31.7622417924377 (-110.787421665135, -3.07130283813566)","-1.31326833677482 (-3.40983616718593, 0.767786942386095)","-33.6760258726888 (-115.104515869941, -3.3371488185828)","18.8595886906705 (-0.857752376612187, 71.0373180286359)","-2.51325710158059 (-5.26119773149738, 0.227686690876442)","19.6526906925153 (-1.44456977304586, 75.8884291873042)","-0.409850253029958 (-2.89316163077303, 2.34142469468268)","-1.78008684634104 (-3.85095830839349, 0.107944092415732)","-2.96893765375962 (-6.01103534803907, -0.165560033010159)","-1.89422275035942 (-3.84939106008908, -0.0649984457211049)","-0.785620990339161 (-3.64303042958086, 2.20873156862537)","-1.03481661818984 (-2.73393987625156, 0.588898837250195)","0.163322796596495 (-2.01763428272772, 2.31315964893429)","-1.86609411147984 (-4.77633212723149, 0.863707577781948)","III_chemo","-1.97846555849964 (-3.90061621095761, -0.178589774675833)","-2.10936350961898 (-6.40383302448361, 2.18431507315046)"
"Placebo","0.672446641687355 (-0.588792044521195, 2.12061562633921)","0.378331284123814 (-0.517564440531837, 1.29770747434185)","-0.133336313898393 (-4.07691682160471, 3.75548426143885)","-0.156698990440677 (-0.806274131467338, 0.520108082129243)","0.178744411553387 (-0.710649194063763, 1.08966143100275)","-29.7726399997303 (-108.771737267846, -1.15878869118046)","0.662724943502075 (-0.519333303585816, 1.96727263843286)","-31.6667336874745 (-113.002876124896, -1.45069317568358)","20.8535209787824 (1.29488561133584, 73.0421072738269)","-0.535139330481783 (-2.65942043180836, 1.68175118934905)","21.6253632033257 (0.68677221960543, 77.7573188583602)","1.5532991936168 (-0.225615596715142, 3.81894494978087)","0.195254236866792 (-0.889640317671041, 1.22835393371596)","-0.973492647664552 (-3.49511397404405, 1.30590190080321)","0.079967423385938 (-0.694981363859454, 0.867134628059609)","1.18530270694622 (-1.03435988656476, 3.70481252944971)","0.938320861539191 (0.134941444710997, 1.80570274416892)","2.13813838278018 (0.549694001951105, 3.81261503975777)","0.126312489520312 (-2.39348404363015, 2.46166852026333)","1.97846555849964 (0.178589774675833, 3.90061621095761)","Placebo","-0.124049810783533 (-4.03592709242707, 3.90471889710179)"
"Rociletinib","0.806675055700945 (-3.31109577010626, 4.86740095138839)","0.500619622088635 (-3.52333457674444, 4.42598928253971)","-0.0214248855270314 (-5.46106528380157, 5.38983080474576)","-0.0360088181836248 (-4.00256982327255, 3.83455830492979)","0.30344534385444 (-3.72077908340539, 4.21991673428079)","-29.797872222157 (-108.979150140202, -0.681482525165775)","0.792598936427006 (-3.30052318490124, 4.79751795643369)","-31.6693468294108 (-113.012852275261, -0.843654520992004)","21.125633800403 (0.786938056286825, 73.0418431634285)","-0.416612142024636 (-4.82267235716965, 3.97761515936701)","21.8122520687378 (0.289136242659922, 77.9796329924942)","1.7162405362722 (-2.60027230061859, 6.11366423821886)","0.31405904754196 (-3.73232627047114, 4.27110686394747)","-0.86594637373744 (-5.4509989227612, 3.55934617686838)","0.207247990933602 (-3.82031821250136, 4.11797537985316)","1.32903505904806 (-3.1730914638829, 5.88290910020417)","1.07244761153228 (-2.9389202517544, 5.01491245379138)","2.27995509755406 (-1.99314927718242, 6.43703733120187)","0.236151713569735 (-4.39019448014194, 4.74078657296558)","2.10936350961898 (-2.18431507315046, 6.40383302448361)","0.124049810783533 (-3.90471889710179, 4.03592709242707)","Rociletinib"
