"","antiangio","chemo","DHFRi","I","I_antiangio","I_chemo","I_HER3i","I_IGF_1Ri","I_METi","II","II_Cetuximab","II_HMGCRi","III","III_Amivantamab","III_antiangio","III_chemo","Placebo","Rociletinib","Zorifertinib"
"II","1.48881481346083 (-0.0747268418481811, 3.65884176792253)","0.495773245058002 (-0.87619622342498, 2.17213165203328)","0.108112784074581 (-2.51242503741167, 2.9526196933071)","0.0544229197038582 (-0.868283744026623, 1.26644047947573)","0.149053074410674 (-1.29929606960106, 2.06261017129239)","0.99565405115411 (-1.33571563965972, 3.65109724750351)","0.180371836983207 (-2.08236979173492, 2.8959517294347)","0.234146579397932 (-1.60431032597737, 2.55283383383968)","-0.643236255726917 (-2.37793526586767, 1.14361766770509)","II","-21.2284332871425 (-67.5860773989146, -0.519364923255298)","-19.5235130541647 (-60.6511964333324, -0.429245905090751)","0.462725185473947 (-0.824161825056671, 1.98429047912285)","0.193474973012891 (-2.58676879369318, 3.14465928159411)","10.9811685393712 (2.08039447983121, 33.9177051815421)","1.3527711798664 (-1.68850972979503, 5.27182112645042)","-1.04373610959922 (-2.55884554442625, 0.28803804006008)","0.121128519979059 (-3.83959166219641, 4.12396654440169)","1.14554663896325 (-0.778065619157951, 3.44320210247854)"
"II_Cetuximab","22.7564694045447 (1.91853775364542, 69.2973711026268)","21.76531862183 (0.938000975150462, 68.1035151414334)","21.3738599498835 (0.306354131215172, 67.9004382941114)","21.2953972355283 (0.561321631607442, 67.7747323701729)","21.4248571208307 (0.587058076694794, 67.9060568817291)","22.2816892699704 (1.36525352003668, 68.6814905256525)","21.451703187723 (0.522494141972658, 67.8610599456813)","21.4752206564937 (0.627036269560161, 68.1117970099732)","20.6148831882479 (-0.258896643677955, 66.9795571615706)","21.2284332871425 (0.519364923255298, 67.5860773989146)","II_Cetuximab","1.96280691345058 (-45.3267590885512, 48.4540223145952)","21.7419350007558 (0.899132358432168, 68.1957909547896)","21.4351773725101 (0.341303928470269, 67.9467651717772)","35.6747890805961 (7.63380297336517, 79.7706043316614)","22.630820570255 (1.42638338119046, 69.146200117302)","20.1655437845565 (-0.718872426368196, 66.51074239863)","21.3358509641871 (0.0876416072379975, 67.7616129890633)","22.3599061241106 (1.50902493385453, 68.8503544345511)"
"II_HMGCRi","21.0759952005779 (1.89866591957236, 62.2977050822398)","20.0354426325853 (0.908234422993814, 61.1783580882285)","19.5704249214252 (0.329354087268958, 60.7022743186238)","19.607650907359 (0.469769876060805, 60.7380734813646)","19.7051785851855 (0.473922356295098, 60.8911131170826)","20.4752912988605 (1.22696034252967, 61.59321575989)","19.7381532528199 (0.515891971876764, 60.8572731488752)","19.8216146292501 (0.596441842976583, 60.9678311299511)","18.8394091131958 (-0.321767737790329, 60.0145593172152)","19.5235130541647 (0.429245905090751, 60.6511964333324)","-1.96280691345058 (-48.4540223145952, 45.3267590885512)","II_HMGCRi","19.9876299715068 (0.851022595469997, 61.1691030551787)","19.7286806352067 (0.243049366091575, 61.0296196513965)","33.3118924126818 (6.99745658978697, 76.1433654071904)","20.9274608147439 (1.26765566173165, 62.2014410373756)","18.3956270966177 (-0.671811952644675, 59.6126419836452)","19.6571444118871 (-0.0810271652814288, 60.6798107777436)","20.6435847628333 (1.42391567504427, 61.8179564158769)"
"III","1.03445232320729 (-0.584347825869326, 2.93921969339211)","0.0349321206338127 (-1.27523570408299, 1.4347200310436)","-0.356790789050258 (-3.04110513052724, 2.35146939525754)","-0.396572680649165 (-1.37638564441088, 0.573983001034982)","-0.306996335013986 (-1.80275142972273, 1.35340111882763)","0.522250615345264 (-1.83345714952772, 3.0229314313857)","-0.278079937668008 (-2.58618451733927, 2.29377855871469)","-0.233982678289703 (-2.11119291657845, 1.88864392731886)","-1.1009169917956 (-2.94573925546088, 0.529714043550799)","-0.462725185473947 (-1.98429047912285, 0.824161825056671)","-21.7419350007558 (-68.1957909547896, -0.899132358432168)","-19.9876299715068 (-61.1691030551787, -0.851022595469997)","III","-0.265423809037946 (-2.79827263900349, 2.23991891577519)","10.4637817863687 (1.72487239734785, 33.4075961219232)","0.875634987091106 (-1.909873034905, 4.47961406193214)","-1.51871634759823 (-3.25359625430092, -0.12472805770183)","-0.370305493921761 (-4.34788919238348, 3.59067354659472)","0.689860027994211 (-1.31560541063672, 2.82358632820608)"
"III_Amivantamab","1.33076541184457 (-1.65737201252959, 4.49709050430995)","0.299533397452108 (-2.50420676467405, 3.22024344262391)","-0.0910046193188923 (-3.72117467891151, 3.61157481666478)","-0.129013090557674 (-2.81817924761867, 2.59137075707438)","-0.0239414090122371 (-2.93058928503432, 3.02060811469254)","0.795691576443473 (-2.62071795885174, 4.33635914308976)","-5.10364209885539e-05 (-3.45824128269687, 3.62988420432502)","0.0525969972080318 (-3.042811162542, 3.34900886369056)","-0.850779828589799 (-3.9149256555649, 2.1489444059599)","-0.193474973012891 (-3.14465928159411, 2.58676879369318)","-21.4351773725101 (-67.9467651717772, -0.341303928470269)","-19.7286806352067 (-61.0296196513965, -0.243049366091575)","0.265423809037946 (-2.23991891577519, 2.79827263900349)","III_Amivantamab","10.8221135881918 (1.49157679390494, 33.8603755092326)","1.17506830625678 (-2.5728579674768, 5.4419087280177)","-1.26070845827413 (-4.30652551925994, 1.63065762621792)","-0.0972833949394197 (-4.79794780119274, 4.56538159334369)","0.962480841095332 (-2.25267455167164, 4.24616677149806)"
"III_antiangio","-9.43191531473297 (-32.3189061080628, -0.453601899978646)","-10.462448684224 (-33.4280901136556, -1.55255910173227)","-10.8842762239073 (-33.8889755190146, -1.56551271742077)","-10.8812621379573 (-33.8373876387318, -2.09719533829294)","-10.776996746553 (-33.7764071202041, -1.85688229147938)","-9.96711507634782 (-33.1131915522086, -0.772289660409389)","-10.7397839707503 (-33.8262422413881, -1.55675277265426)","-10.7038173226072 (-33.6970063603727, -1.61682667310474)","-11.6094956734227 (-34.6323878685727, -2.66899025063524)","-10.9811685393712 (-33.9177051815421, -2.08039447983121)","-35.6747890805961 (-79.7706043316614, -7.63380297336517)","-33.3118924126818 (-76.1433654071904, -6.99745658978697)","-10.4637817863687 (-33.4075961219232, -1.72487239734785)","-10.8221135881918 (-33.8603755092326, -1.49157679390494)","III_antiangio","-9.58175831181467 (-32.6884190303515, 0.131634321567157)","-12.035637784529 (-35.0195486229455, -3.10512951107836)","-10.9390405830546 (-34.0844145170922, -1.05749020533971)","-9.80237069797378 (-32.8748558973187, -0.755309232197576)"
"III_chemo","0.164990305497603 (-3.78024034393495, 3.55708489834143)","-0.846227034231489 (-4.64759015193071, 2.2981607826236)","-1.26935500098859 (-5.62883369321259, 2.62451652431211)","-1.27665274193422 (-4.99813621143044, 1.68754111703592)","-1.17896204848553 (-5.01267293516907, 2.10366010841369)","-0.386119528215628 (-4.56130577373653, 3.43069616410022)","-1.17618090544582 (-5.44897574978603, 2.59177333522217)","-1.09384399167213 (-5.14691804200554, 2.42643550456827)","-2.00376932043433 (-6.08298154546744, 1.24008751432331)","-1.3527711798664 (-5.27182112645042, 1.68850972979503)","-22.630820570255 (-69.146200117302, -1.42638338119046)","-20.9274608147439 (-62.2014410373756, -1.26765566173165)","-0.875634987091106 (-4.47961406193214, 1.909873034905)","-1.17506830625678 (-5.4419087280177, 2.5728579674768)","9.58175831181467 (-0.131634321567157, 32.6884190303515)","III_chemo","-2.41676865254255 (-6.38400315798904, 0.712376424212849)","-1.26599365076731 (-6.61341654360389, 3.48763548755537)","-0.21215777888956 (-4.3092986628075, 3.3210196776056)"
"Placebo","2.56860761726572 (0.766898596607689, 4.89396784490459)","1.55656659889994 (0.00578669421855495, 3.49023174724886)","1.17028656572516 (-1.57505997362614, 4.14430962045898)","1.11319349739252 (-0.0896773954108513, 2.66874923941975)","1.22205815710336 (-0.47498968125097, 3.32077985873396)","2.06988148807509 (-0.389818014981984, 4.86638938816392)","1.2581131755247 (-1.16432496776849, 4.09038702202345)","1.29894747780081 (-0.736267414571407, 3.80152639728406)","0.417074450683951 (-1.50491123088591, 2.44240696609048)","1.04373610959922 (-0.28803804006008, 2.55884554442625)","-20.1655437845565 (-66.51074239863, 0.718872426368196)","-18.3956270966177 (-59.6126419836452, 0.671811952644675)","1.51871634759823 (0.12472805770183, 3.25359625430092)","1.26070845827413 (-1.63065762621792, 4.30652551925994)","12.035637784529 (3.10512951107836, 35.0195486229455)","2.41676865254255 (-0.712376424212849, 6.38400315798904)","Placebo","1.19026674679142 (-2.88865478201052, 5.25614083396729)","2.21708837702572 (0.101244079460388, 4.6660235184844)"
"Rociletinib","1.42203502253119 (-2.61490789965246, 5.64048771288086)","0.403276324190883 (-3.50620181250913, 4.46109835811466)","-0.00198839464880807 (-4.55567649927675, 4.59370925269089)","-0.0393958689798306 (-3.85499077621244, 3.8360643721847)","0.0558515712503819 (-3.91413713691451, 4.14971316733803)","0.87842345550827 (-3.44710942233491, 5.34120140537976)","0.0917434366316689 (-4.2627936514739, 4.63748470567004)","0.133622310970706 (-3.96091287792264, 4.42037423888128)","-0.76330411824775 (-4.88851995151089, 3.34021603042205)","-0.121128519979059 (-4.12396654440169, 3.83959166219641)","-21.3358509641871 (-67.7616129890633, -0.0876416072379975)","-19.6571444118871 (-60.6798107777436, 0.0810271652814288)","0.370305493921761 (-3.59067354659472, 4.34788919238348)","0.0972833949394197 (-4.56538159334369, 4.79794780119274)","10.9390405830546 (1.05749020533971, 34.0844145170922)","1.26599365076731 (-3.48763548755537, 6.61341654360389)","-1.19026674679142 (-5.25614083396729, 2.88865478201052)","Rociletinib","1.0616922487604 (-3.1553550374735, 5.33693354971838)"
"Zorifertinib","0.35666491805129 (-1.94232100947876, 2.78438283876742)","-0.656862782702645 (-2.79052565919419, 1.47340738012302)","-1.06255236299353 (-4.18371978683871, 2.03039898574121)","-1.08061625590141 (-2.99545304945954, 0.667012228422337)","-0.990642850846073 (-3.16165060839146, 1.24018253082637)","-0.175499911623795 (-3.02907099071243, 2.73782592632827)","-0.970391567002763 (-3.78830135883686, 1.97348345941241)","-0.92249607627003 (-3.3588423790675, 1.67080260254531)","-1.79511993875285 (-4.2442133720321, 0.385611925126033)","-1.14554663896325 (-3.44320210247854, 0.778065619157951)","-22.3599061241106 (-68.8503544345511, -1.50902493385453)","-20.6435847628333 (-61.8179564158769, -1.42391567504427)","-0.689860027994211 (-2.82358632820608, 1.31560541063672)","-0.962480841095332 (-4.24616677149806, 2.25267455167164)","9.80237069797378 (0.755309232197576, 32.8748558973187)","0.21215777888956 (-3.3210196776056, 4.3092986628075)","-2.21708837702572 (-4.6660235184844, -0.101244079460388)","-1.0616922487604 (-5.33693354971838, 3.1553550374735)","Zorifertinib"
