"Erlotinib_IGF_1Ri","-1.08714420765729 (-3.45186475665999, 1.2417574790619)","-1.60389642455833 (-4.297663653171, 1.05822952535952)","-0.759313973166546 (-3.50238161115158, 1.87057431488275)","1.11600920908858 (-0.780586455852138, 2.98455765431353)","-0.0385866914180727 (-2.19772109117884, 2.15646355982846)","-1.14583046915477 (-3.83011310059948, 1.45108138555633)","-1.10850402478729 (-2.82611451361982, 0.494667334037409)","0.766651263015215 (-0.985332766658813, 2.44107831069089)","-1.79207337490743 (-4.1494098620636, 0.475946590397407)","Erlotinib_IGF_1Ri","23.4386994656768 (-0.483729797882437, 95.1890658464435)","-1.02137708438548 (-3.38352756255078, 1.21534618198451)","1.68779909812532 (-0.855273827008471, 4.31729094564658)","-0.900287844946217 (-3.35334113501633, 1.47687555234827)","-1.51894527992581 (-4.18156694309046, 1.18016225144609)","-1.02410076428612 (-3.43465490196573, 1.32270831480601)","-1.08110571832767 (-3.59961362636913, 1.438644600108)","-1.19772074361815 (-3.47183514863286, 1.11010704875668)","1.15441562476002 (-1.28560129738823, 3.65908591108445)","-0.836496099975752 (-3.41128241690784, 1.85792173133101)","-45.146364017479 (-155.459971599384, -2.52473513168516)","-0.882332586387552 (-2.92882252769006, 1.12020152011867)"
"Erlotinib_METi","-24.5088195639429 (-96.2996880159295, -0.613572523807533)","-25.046221471716 (-96.807241126341, -1.06052186250999)","-24.2084523434576 (-95.8509728756122, -0.244212700021571)","-22.3308342545442 (-94.1485926794921, 1.4937182198759)","-23.475520958428 (-95.1926347372621, 0.430919846771212)","-24.5981997213732 (-96.4159040267472, -0.652806083264672)","-24.5662734588337 (-96.3312375663462, -0.761034434194612)","-22.685753680281 (-94.5343104185441, 1.12128521327628)","-25.235742488039 (-97.2292628826878, -1.31744042118442)","-23.4386994656768 (-95.1890658464435, 0.483729797882437)","Erlotinib_METi","-24.4916042906886 (-96.1185497870582, -0.602817782841454)","-21.7321270826947 (-93.5059418221062, 2.18334861795095)","-24.3301803066235 (-96.0234048251811, -0.467455211579197)","-24.9594871448161 (-96.8819917912753, -0.945015239391404)","-24.4868808158193 (-96.2672955074602, -0.524705087192255)","-24.5320631308393 (-96.2620038651435, -0.585850694891976)","-24.6320205631585 (-96.4258983837302, -0.692563000982445)","-22.2987873446434 (-93.9526093815978, 1.65835274622316)","-24.2465418205642 (-96.0216164489267, -0.269501092339675)","-76.9586840759015 (-201.385553174211, -13.4977099069822)","-24.2965385849909 (-96.2056083266274, -0.447827426401218)"
"Gefitinib","-0.0630149072299251 (-1.93489169283752, 1.85872717967112)","-0.578746015321607 (-2.87243087752015, 1.74520017568295)","0.253826827853368 (-1.12457041870188, 1.64039187071272)","2.11576101797336 (0.647600979230734, 3.80904587834371)","0.979707715883195 (-0.649112936517024, 2.75810963888332)","-0.127392368172046 (-1.44144039097952, 1.18415147762388)","-0.108599464473992 (-1.64219663036867, 1.55248161231887)","1.76375226188401 (0.22013391749268, 3.49176551893417)","-0.778429869554722 (-3.02353642902199, 1.50318805567581)","1.02137708438548 (-1.21534618198451, 3.38352756255078)","24.4916042906886 (0.602817782841454, 96.1185497870582)","Gefitinib","2.70004299383994 (1.63931477607831, 4.02810920613032)","0.121352673362373 (-0.613307106063562, 0.889041905746964)","-0.496868112071927 (-2.53354883714532, 1.67073405742126)","-0.00631084763808766 (-1.30163831685598, 1.31446113469844)","-0.0541969499541151 (-1.76405103596215, 1.72109047752546)","-0.173542869771925 (-1.68267290812928, 1.44829086597114)","2.17687951818896 (0.423041036653482, 4.06890437190031)","0.186797781735789 (-1.74515724475561, 2.32229896723798)","-44.0765208171294 (-154.410968166963, -1.58022557901253)","0.134623269547858 (-1.60198401527625, 1.93781321002728)"
"Gefitinib_antiangio","-2.76919241625442 (-5.08645784345475, -0.590930277266188)","-3.28464116535435 (-5.96310339519985, -0.775378775802834)","-2.44850704104682 (-4.38970551841845, -0.751629989889774)","-0.590891548077839 (-2.55235734026567, 1.3687904898805)","-1.73141579574988 (-3.78862698123292, 0.289131217964829)","-2.82765879719508 (-4.73747926329845, -1.17492528652071)","-2.81233437618733 (-4.84596502636817, -0.871981289167429)","-0.939672078649965 (-2.9637782770027, 1.05571890538397)","-3.48744761120629 (-6.12385596715623, -1.01601714710702)","-1.68779909812532 (-4.31729094564658, 0.855273827008471)","21.7321270826947 (-2.18334861795095, 93.5059418221062)","-2.70004299383994 (-4.02810920613032, -1.63931477607831)","Gefitinib_antiangio","-2.57907157882803 (-4.09872964014076, -1.29193603788662)","-3.20370309461952 (-5.6513349374939, -0.839994747728171)","-2.70618204147463 (-4.58374930902216, -1.04315332666059)","-2.75901942861144 (-4.94383893279914, -0.745607965602228)","-2.87907853419405 (-4.87552220515753, -0.988967171390257)","-0.53083856349258 (-2.71268768089964, 1.59162800391641)","-2.52040782150259 (-4.86832786660966, -0.214666880594136)","-46.8332154133648 (-157.159807855674, -4.28509551913154)","-2.5723955385718 (-4.76684967132029, -0.505999512886234)"
"Gefitinib_chemo","-0.181124210351016 (-2.20635930627913, 1.87289427083454)","-0.696859533863171 (-3.12894869168723, 1.72610700533239)","0.130325613056789 (-1.45109446592726, 1.6949244253251)","1.99758071305277 (0.343585845854017, 3.8352586581117)","0.858238784399932 (-0.926591191107213, 2.77937283446766)","-0.247017654313505 (-1.78201793239104, 1.24372034933969)","-0.226353419948703 (-1.94424069952615, 1.57688520915385)","1.64350524940879 (-0.0720752702874077, 3.50465662049329)","-0.899652675087176 (-3.27203397649326, 1.49491421355063)","0.900287844946217 (-1.47687555234827, 3.35334113501633)","24.3301803066235 (0.467455211579197, 96.0234048251811)","-0.121352673362373 (-0.889041905746964, 0.613307106063562)","2.57907157882803 (1.29193603788662, 4.09872964014076)","Gefitinib_chemo","-0.618347904378044 (-2.78862677463462, 1.64637934105486)","-0.126230587298388 (-1.61831297111058, 1.37308527711497)","-0.174409836026678 (-2.03374241984422, 1.72803266967546)","-0.294778674803333 (-1.97082724376644, 1.47388753316081)","2.05418013164491 (0.149596219017695, 4.07441052433872)","0.0645829796178117 (-2.00401526010308, 2.32726336153252)","-44.1853434169769 (-154.544026224107, -1.69085426324868)","0.0128890504904035 (-1.87739690904975, 1.94453893362262)"
"Gefitinib_Erlotinib","0.43021912459165 (-1.79832719370516, 2.58204127147697)","-0.0783703989006725 (-2.69484300689189, 2.41960732649368)","0.752866196795246 (-1.83006115166375, 3.20836315977357)","2.62427255661731 (0.437804595918554, 4.80676218052197)","1.473487169543 (-0.380568162180141, 3.40190695128187)","0.372382752748864 (-2.17100622068574, 2.77123979388491)","0.400740613150252 (-1.73864020467771, 2.46470759722322)","2.27259539212276 (0.125620680744515, 4.39575876409452)","-0.283953143022199 (-2.98373992650249, 2.33888664526856)","1.51894527992581 (-1.18016225144609, 4.18156694309046)","24.9594871448161 (0.945015239391404, 96.8819917912753)","0.496868112071927 (-1.67073405742126, 2.53354883714532)","3.20370309461952 (0.839994747728171, 5.6513349374939)","0.618347904378044 (-1.64637934105486, 2.78862677463462)","Gefitinib_Erlotinib","0.491561152497148 (-1.41018135903007, 2.32110207019356)","0.436229589263355 (-1.47717101437978, 2.32104566354634)","0.319446993468275 (-1.06223602751185, 1.72366560294262)","2.67209436820598 (1.02318754374426, 4.3611729907564)","0.679630760354578 (-1.16905197567019, 2.63661054848801)","-43.5868065069553 (-153.96015793432, -1.11176316134431)","0.63513747487856 (-1.59258038507308, 2.808508912205)"
"Lazertinib","-0.0569123381609203 (-1.96015851620964, 1.84343292424557)","-0.571473031695358 (-2.90177987799842, 1.73437177765966)","0.252549931318435 (-1.66259113629778, 2.15968351053232)","2.13205660933671 (0.440869330985056, 3.9343912227742)","0.98282856935198 (-0.571211811658587, 2.65867613656747)","-0.126264560109013 (-1.99677612511838, 1.71547858036998)","-0.0924212021253264 (-1.77950646325709, 1.6202651796182)","1.77975391216297 (0.0860692583282006, 3.55387142850055)","-0.770597451426946 (-3.11232402242584, 1.56199023797385)","1.02410076428612 (-1.32270831480601, 3.43465490196573)","24.4868808158193 (0.524705087192255, 96.2672955074602)","0.00631084763808766 (-1.31446113469844, 1.30163831685598)","2.70618204147463 (1.04315332666059, 4.58374930902216)","0.126230587298388 (-1.37308527711497, 1.61831297111058)","-0.491561152497148 (-2.32110207019356, 1.41018135903007)","Lazertinib","-0.0565513494400565 (-1.34895385600174, 1.27142690781058)","-0.171227187798975 (-1.36185248194619, 1.09729237000032)","2.17862004875557 (0.692022556181207, 3.78201371459998)","0.188105416810285 (-1.51082983783323, 2.05410837077275)","-44.0850785527955 (-154.416729877949, -1.59859983610541)","0.145253482824595 (-1.68615520508163, 1.9790419350092)"
"Lazertinib_Amivantamab","-0.00165221463300796 (-2.05888331369665, 1.99688284636401)","-0.513516617128954 (-2.98874329511453, 1.86938798188454)","0.307946581885197 (-1.94811204447964, 2.49658967661815)","2.18638720265787 (0.257541346388134, 4.18356892417706)","1.03494603159214 (-0.653454173496678, 2.81554167540999)","-0.0726001938876774 (-2.2808899026468, 2.07416852318514)","-0.0418195538771943 (-1.95224283729832, 1.84595905188313)","1.83116115963834 (-0.0812037523676954, 3.78133463201744)","-0.71439458133198 (-3.25092677715693, 1.73645411554213)","1.08110571832767 (-1.438644600108, 3.59961362636913)","24.5320631308393 (0.585850694891976, 96.2620038651435)","0.0541969499541151 (-1.72109047752546, 1.76405103596215)","2.75901942861144 (0.745607965602228, 4.94383893279914)","0.174409836026678 (-1.72803266967546, 2.03374241984422)","-0.436229589263355 (-2.32104566354634, 1.47717101437978)","0.0565513494400565 (-1.27142690781058, 1.34895385600174)","Lazertinib_Amivantamab","-0.11548717502419 (-1.38509570619497, 1.18386240328943)","2.23253189935734 (0.68915378547594, 3.8454019360028)","0.241716927807575 (-1.50281927565359, 2.12166893673901)","-44.0711529338031 (-154.334090592803, -1.51703818043171)","0.197563657419416 (-1.83113532176354, 2.20126560934549)"
"Osimertinib","0.10919464260222 (-1.61209086130329, 1.75954351182281)","-0.402514926433519 (-2.58570786205201, 1.69090044098988)","0.422531753966238 (-1.71563910875533, 2.45422128335446)","2.30503737454943 (0.619018087493358, 3.98731928822585)","1.15249412569587 (-0.0940903484621758, 2.46468060127297)","0.0470620710440763 (-2.05866616535231, 2.02617892512988)","0.0771128374438945 (-1.54006839742132, 1.62121678863809)","1.95259870509871 (0.312885714660514, 3.5603242859271)","-0.604410700814584 (-2.90812015436458, 1.6103166200127)","1.19772074361815 (-1.11010704875668, 3.47183514863286)","24.6320205631585 (0.692563000982445, 96.4258983837302)","0.173542869771925 (-1.44829086597114, 1.68267290812928)","2.87907853419405 (0.988967171390257, 4.87552220515753)","0.294778674803333 (-1.47388753316081, 1.97082724376644)","-0.319446993468275 (-1.72366560294262, 1.06223602751185)","0.171227187798975 (-1.09729237000032, 1.36185248194619)","0.11548717502419 (-1.18386240328943, 1.38509570619497)","Osimertinib","2.34236915684162 (1.45100518933941, 3.30235447020172)","0.357998736191208 (-0.872134966072476, 1.7033699032106)","-43.9237521202784 (-154.229790023366, -1.45432106120336)","0.31626859521343 (-1.41332804821473, 1.98304158396041)"
"Osimertinib_antiangio","-2.24119247673902 (-4.21802832241025, -0.358451872819356)","-2.75050789904537 (-5.14155849686694, -0.474570971093686)","-1.92455680942613 (-4.2860353136677, 0.284736504758422)","-0.0468356487788829 (-1.98846755641616, 1.85399224352841)","-1.19853613784584 (-2.76956322203036, 0.388898927591004)","-2.30301891676392 (-4.61667662490605, -0.149063624536015)","-2.2707392154918 (-4.16350009388962, -0.498886896844233)","-0.399421451209505 (-2.30505628070737, 1.43238991899721)","-2.95164227237492 (-5.46357180859547, -0.576113143565914)","-1.15441562476002 (-3.65908591108445, 1.28560129738823)","22.2987873446434 (-1.65835274622316, 93.9526093815978)","-2.17687951818896 (-4.06890437190031, -0.423041036653482)","0.53083856349258 (-1.59162800391641, 2.71268768089964)","-2.05418013164491 (-4.07441052433872, -0.149596219017695)","-2.67209436820598 (-4.3611729907564, -1.02318754374426)","-2.17862004875557 (-3.78201371459998, -0.692022556181207)","-2.23253189935734 (-3.8454019360028, -0.68915378547594)","-2.34236915684162 (-3.30235447020172, -1.45100518933941)","Osimertinib_antiangio","-1.99143246134381 (-3.54039475751011, -0.376198839710122)","-46.2940234789545 (-156.531131910311, -3.78930149818913)","-2.03706038401218 (-4.02391932087757, -0.143160414416862)"
