"","Afatinib","Afatinib_Cetuximab","Afatinib_HMGCRi","Almonertinib","antiangio","chemo","Dacomitinib","DHFRi","Erlotinib","Erlotinib_antiangio","Erlotinib_chemo","Erlotinib_HER3i","Erlotinib_IGF_1Ri","Erlotinib_METi","Furmonertinib","Gefitinib","Gefitinib_Erlotinib","Lazertinib","Lazertinib_Amivantamab","Osimertinib","Osimertinib_antiangio","Osimertinib_chemo","Placebo","Rociletinib","Zorifertinib"
"Erlotinib_antiangio","0.166421606119736 (-2.71140874959801, 2.09105618908631)","-18.6336016268524 (-67.6140002403376, 0.183494372312258)","-20.6711233105058 (-75.3748627288267, 0.0475269841702998)","1.96437989677319 (-2.41855617590768, 6.70084043356494)","1.34325480434784 (-1.01635178452766, 3.75498473328702)","0.610997734560496 (-1.48791302490983, 2.73262875488684)","-0.956275446604153 (-3.88564418597731, 1.21897218147389)","-0.140799655796404 (-3.51096944606535, 2.94410817818431)","-0.175679385500292 (-1.92944029066739, 1.14066410582065)","Erlotinib_antiangio","0.893977127378871 (-1.96423167237167, 3.79503868091423)","-0.0657525655878411 (-3.17417712385272, 2.91699400494192)","0.0716019586552096 (-2.41372417560025, 2.61975878840314)","-0.943603942224327 (-3.66322289420988, 1.03926139544891)","1.34564674592802 (-2.24421871459745, 4.94965138755206)","0.960802229795707 (-1.91500508819911, 3.84871290270271)","-0.673972396771997 (-4.68407437617637, 2.95904142437907)","0.754922196444398 (-3.25290678095121, 4.32013900430325)","0.481910898163552 (-3.68600630018628, 4.28062572591234)","0.123178705806089 (-2.77137815849757, 2.85797345463381)","12.8321234244312 (1.64871353387926, 36.6239683317984)","1.03346052329712 (-3.32640741938934, 5.56363882008205)","-1.39514870177854 (-4.17310514662949, 0.539513612628979)","-0.184572233780468 (-4.60063064877375, 3.97396777702778)","0.425244264260323 (-4.22068418648678, 4.70965633107955)"
"Erlotinib_chemo","-0.765693426695624 (-4.12841020734061, 1.93417952368658)","-19.5569916695161 (-68.5002100957013, -0.545329263053853)","-21.5998124666476 (-76.5615061699078, -0.710573622571405)","1.0570222772656 (-3.5725684005723, 6.10785670867647)","0.456139234428699 (-2.63764114966173, 3.57612623992409)","-0.271880115941159 (-2.95767639544233, 2.36128562633924)","-1.8794298224875 (-5.35137245760657, 1.02409980225007)","-1.03904834353171 (-4.95460220332866, 2.6577158790424)","-1.07148312745278 (-3.74366337569138, 1.23283550975903)","-0.893977127378871 (-3.79503868091423, 1.96423167237167)","Erlotinib_chemo","-0.946827567998767 (-4.68604616564205, 2.59047492141993)","-0.814910817112497 (-4.04454930147933, 2.42601004594071)","-1.86131390101875 (-5.18613757916663, 0.931717491559164)","0.43936292937982 (-3.42771482188257, 4.41253616285303)","0.0686043759226173 (-3.24771400374797, 3.37808180257487)","-1.58536537648542 (-5.90573300770873, 2.43369036066437)","-0.171828704493244 (-4.41914516669, 3.82542267565862)","-0.438352979348125 (-4.87535297146904, 3.74889689765472)","-0.775320109172075 (-4.12585662586415, 2.41277062699981)","11.9535534687926 (0.499228128787797, 35.7983482732744)","0.152478624185314 (-4.56948828033876, 4.96807251566817)","-2.32776565217103 (-5.64652432491874, 0.37873224866231)","-1.08938677842128 (-5.87015003563355, 3.5325125137299)","-0.486423965208087 (-5.37852559300757, 4.11230068602831)"
"Erlotinib_HER3i","0.223448595360653 (-3.26385359442576, 3.00546953572783)","-18.5573128895968 (-67.4975411342444, 0.403662167451525)","-20.5816890721358 (-75.8002407126644, 0.214047747126957)","2.03781423713812 (-2.79214994166462, 7.2752922215606)","1.40855217846116 (-1.73827305144426, 4.79931178887448)","0.686777472727223 (-2.33545783149129, 3.79678811766727)","-0.902143365365095 (-4.44115707525233, 2.11690383861343)","-0.073953574242108 (-4.00459768492459, 3.73069120661894)","-0.113190325003129 (-2.88665007699719, 2.37925127350933)","0.0657525655878411 (-2.91699400494192, 3.17417712385272)","0.946827567998767 (-2.59047492141993, 4.68604616564205)","Erlotinib_HER3i","0.134581172553502 (-3.11728643097063, 3.64150978924162)","-0.887144227578289 (-4.26702273672226, 2.00285235874942)","1.41330035452316 (-2.71524013412423, 5.69631731917301)","1.03532728116924 (-2.52068134376672, 4.6955552065815)","-0.620646006320572 (-5.03400367741363, 3.632200029184)","0.802916298461673 (-3.61426404118015, 4.97046841576421)","0.535348253431103 (-4.01252239863407, 4.93030971359386)","0.18522470930083 (-3.34575137630407, 3.66062495188263)","12.9219624583764 (1.47966172071462, 36.6108697466074)","1.09778838289068 (-3.67825734601808, 6.15112638812745)","-1.33138902953425 (-4.74824462268388, 1.46622359232934)","-0.125509780065927 (-5.0152653614052, 4.61728420574474)","0.473789388491834 (-4.48462372594724, 5.34397379605267)"
"Erlotinib_IGF_1Ri","0.0910524726557729 (-3.19036060432512, 2.41174169107665)","-18.7196350923655 (-67.7434122754444, 0.1813050095957)","-20.8241949878952 (-75.3879782205968, 0.0654215622039064)","1.88472359789839 (-2.74128553179086, 6.84734778333342)","1.27011622324531 (-1.53312125285644, 4.03877120798761)","0.550593972329595 (-2.08629134862232, 3.06768018859713)","-1.02689325013774 (-4.36463551748313, 1.48608951896784)","-0.209498343200767 (-3.94008194288506, 3.1498162140884)","-0.245724973422349 (-2.58795070306394, 1.60155200520229)","-0.0716019586552096 (-2.61975878840314, 2.41372417560025)","0.814910817112497 (-2.42601004594071, 4.04454930147933)","-0.134581172553502 (-3.64150978924162, 3.11728643097063)","Erlotinib_IGF_1Ri","-1.01371623107018 (-4.1531892156953, 1.36958028574866)","1.27884443998498 (-2.66843142644392, 5.13981380556627)","0.893175616866553 (-2.35818574554683, 4.08348287254217)","-0.743993936325038 (-5.01349990640975, 3.07751688383246)","0.674690482251511 (-3.62541558904966, 4.52296485952612)","0.415989492926764 (-4.05065954274192, 4.42484342857973)","0.0573671628914599 (-3.28265150499909, 3.06463255519693)","12.7749821407665 (1.4294566544256, 36.5673532773156)","0.972489997539936 (-3.67589548662506, 5.62709182881474)","-1.46046690122317 (-4.69452797610813, 0.854865690537546)","-0.259926845962965 (-4.8856580983787, 4.10709739095301)","0.358362333967048 (-4.47965319948284, 4.79972794858993)"
"Erlotinib_METi","1.09276248676305 (-1.38085527749628, 3.383367878036)","-17.5949751399462 (-66.5868954204002, 1.18491409119731)","-19.6222703056897 (-74.3368328119859, 1.00794707922817)","2.95243312911538 (-1.35136695108043, 7.99954085650447)","2.27516014976757 (0.0967891833966852, 5.3105285909058)","1.5630186512742 (-0.509330236504906, 4.21975346882298)","-0.00663895441633267 (-2.62272273584183, 2.51741179000058)","0.828465754100947 (-2.37011078085379, 4.28681120631779)","0.757045696031915 (-0.770442578374316, 2.67012821144483)","0.943603942224327 (-1.03926139544891, 3.66322289420988)","1.86131390101875 (-0.931717491559164, 5.18613757916663)","0.887144227578289 (-2.00285235874942, 4.26702273672226)","1.01371623107018 (-1.36958028574866, 4.1531892156953)","Erlotinib_METi","2.30008012867028 (-1.14878094339095, 6.34021821748647)","1.93253596001186 (-0.869065272543929, 5.25360229108642)","0.295471261950784 (-3.48794575262097, 4.22497092696405)","1.72505930449222 (-2.08111525268737, 5.59197514186368)","1.44363279178836 (-2.49769359165449, 5.54267174947571)","1.09668062306502 (-1.62282326946072, 4.15153915140284)","13.8864510500428 (2.60283178666988, 37.5062705585337)","2.03904440566615 (-2.22787425225314, 6.77311704372585)","-0.435866396448713 (-2.88685444772901, 1.80113253449385)","0.794117203121769 (-3.50774488174279, 5.23225070411644)","1.39118739002687 (-2.99476195867018, 5.96645440562737)"
"Furmonertinib","-1.20700170865343 (-5.1302841940087, 1.90890909962985)","-20.0817277127216 (-69.2340657631284, -0.94201129281584)","-22.0097375365841 (-76.9457647324362, -1.05414612678725)","0.589326782101847 (-3.29737056702396, 4.99446953257005)","0.00798694258375332 (-3.80169241355516, 3.79061285841317)","-0.732841734831958 (-3.77435340177768, 2.28226099663932)","-2.30885469616331 (-6.46692030687149, 1.18339570626784)","-1.48802296508824 (-5.98074445808607, 2.68744955600536)","-1.53123591060101 (-5.00494134451585, 1.59098197189722)","-1.34564674592802 (-4.94965138755206, 2.24421871459745)","-0.43936292937982 (-4.41253616285303, 3.42771482188257)","-1.41330035452316 (-5.69631731917301, 2.71524013412423)","-1.27884443998498 (-5.13981380556627, 2.66843142644392)","-2.30008012867028 (-6.34021821748647, 1.14878094339095)","Furmonertinib","-0.375132775503678 (-2.56088090037274, 1.80727687270419)","-2.01147084103518 (-6.58559925539304, 2.1253898340688)","-0.578620753668624 (-4.94841981318676, 3.23865308846137)","-0.862299407387904 (-5.43508902741684, 3.29785503059058)","-1.21287516198464 (-4.9341281919532, 2.16596751275371)","11.5320373583568 (-0.0727670134945905, 35.2865133439743)","-0.306977687404144 (-5.24765989739569, 4.72634711620472)","-2.75551533409911 (-6.70485820265827, 0.43081155755519)","-1.53639621573748 (-6.82512621790555, 3.50025394680913)","-0.91163771053685 (-6.05504385978572, 3.81057070451978)"
"Gefitinib","-0.837677445155902 (-3.9898036103363, 1.5850949270591)","-19.7232072055026 (-68.7939088020832, -0.70852910068435)","-21.6072179159285 (-76.6012336915821, -0.861197678669309)","0.946747545626746 (-2.25878536100482, 4.85070166115587)","0.38085218418525 (-2.69077989746783, 3.4898367915535)","-0.345389785146707 (-2.5283563679427, 1.72173486689293)","-1.94151849468193 (-5.41315353205849, 0.933411479060206)","-1.11306074760797 (-5.00377772864633, 2.58133689167293)","-1.14994093239597 (-3.80533488015853, 1.16207073277325)","-0.960802229795707 (-3.84871290270271, 1.91500508819911)","-0.0686043759226173 (-3.37808180257487, 3.24771400374797)","-1.03532728116924 (-4.6955552065815, 2.52068134376672)","-0.893175616866553 (-4.08348287254217, 2.35818574554683)","-1.93253596001186 (-5.25360229108642, 0.869065272543929)","0.375132775503678 (-1.80727687270419, 2.56088090037274)","Gefitinib","-1.63363351077722 (-5.66529997944522, 1.94359889544362)","-0.214764597680582 (-3.91396596301332, 3.06719876078645)","-0.488091638316594 (-4.48539872829788, 3.11901654921488)","-0.835293536545282 (-3.79283025272727, 1.85539030459148)","11.9164134198322 (0.569824112864859, 35.4726467284725)","0.0563219148060402 (-4.29722745417845, 4.63561267880637)","-2.39086482143922 (-5.55933222011722, 0.127806469223157)","-1.15891037972102 (-5.97746027672149, 3.48673512867468)","-0.537925321197793 (-5.19435913671787, 3.69850092729539)"
"Gefitinib_Erlotinib","0.804361086371998 (-3.06979651749312, 4.33894870767861)","-18.0504133391472 (-67.3672948551883, 1.26440111463273)","-19.9488470694838 (-74.6365998700176, 1.19724692819356)","2.64370697744026 (-2.23621318273655, 8.20625358530697)","2.01319216531367 (-1.72944314418, 6.21357594933556)","1.27792917039611 (-1.89722962364119, 4.86767674730656)","-0.306754816461102 (-4.35000626379704, 3.5157628587131)","0.532950815377857 (-3.89306427261339, 5.12408412066208)","0.477969533913138 (-2.96875048779064, 3.9717378366154)","0.673972396771997 (-2.95904142437907, 4.68407437617637)","1.58536537648542 (-2.43369036066437, 5.90573300770873)","0.620646006320572 (-3.632200029184, 5.03400367741363)","0.743993936325038 (-3.07751688383246, 5.01349990640975)","-0.295471261950784 (-4.22497092696405, 3.48794575262097)","2.01147084103518 (-2.1253898340688, 6.58559925539304)","1.63363351077722 (-1.94359889544362, 5.66529997944522)","Gefitinib_Erlotinib","1.43726329075409 (-2.44956175547719, 5.22235890520609)","1.13750709520658 (-2.7568345661528, 5.11638918768917)","0.785318782814674 (-1.68786189852298, 3.55235803112246)","13.5180631077094 (2.3952867998287, 37.1699128979144)","1.70145716984016 (-2.33806178565309, 6.24740676650015)","-0.742049015698279 (-4.39399757269044, 2.58680832563727)","0.502304660662261 (-4.77247206315427, 5.83418514409515)","1.06950467754194 (-1.11439278697506, 3.43439100204785)"
"Lazertinib","-0.627313931848712 (-4.31334032901734, 2.87906929252748)","-19.409475306891 (-68.9201062300597, -0.206016845964828)","-21.40253645595 (-76.1049518087665, -0.321746782270143)","1.23403292616615 (-3.34439964199659, 6.51926181791043)","0.582736139073698 (-3.1108183870131, 4.80025582307875)","-0.132963048544499 (-3.2923703927809, 3.36203687481307)","-1.74398920278221 (-5.64902872559394, 2.06881400969085)","-0.891362561521079 (-5.27009317131593, 3.67142739266233)","-0.945912294187952 (-4.30954805069546, 2.5589201796947)","-0.754922196444398 (-4.32013900430325, 3.25290678095121)","0.171828704493244 (-3.82542267565862, 4.41914516669)","-0.802916298461673 (-4.97046841576421, 3.61426404118015)","-0.674690482251511 (-4.52296485952612, 3.62541558904966)","-1.72505930449222 (-5.59197514186368, 2.08111525268737)","0.578620753668624 (-3.23865308846137, 4.94841981318676)","0.214764597680582 (-3.06719876078645, 3.91396596301332)","-1.43726329075409 (-5.22235890520609, 2.44956175547719)","Lazertinib","-0.286446168560976 (-3.1244048675148, 2.70403721661092)","-0.610078854055749 (-3.37285939215756, 2.32000357586977)","12.169379028672 (0.787508625215425, 35.7372292067451)","0.282603437337758 (-3.86736484172645, 5.12036697861226)","-2.17308639428554 (-5.71935001373804, 1.20337090248605)","-0.918800895562016 (-6.13374662181298, 4.39942096792884)","-0.32759705768427 (-4.74007376079049, 4.16006982536268)"
"Lazertinib_Amivantamab","-0.346859691915484 (-4.30804186023641, 3.33099277534152)","-19.1832209882479 (-68.650381481189, 0.197430258447428)","-21.1310614650873 (-75.8279835913466, 0.102149809188394)","1.49889801796081 (-3.36916158528016, 7.04448437204716)","0.851333154292322 (-3.04014452723292, 5.2144885738696)","0.135825382257948 (-3.24320255562142, 3.84803653990702)","-1.47014088086007 (-5.60652919386022, 2.50032953091112)","-0.625389970337479 (-5.1622111645906, 4.00068773555305)","-0.66488998333119 (-4.29084452992045, 2.98595379691154)","-0.481910898163552 (-4.28062572591234, 3.68600630018628)","0.438352979348125 (-3.74889689765472, 4.87535297146904)","-0.535348253431103 (-4.93030971359386, 4.01252239863407)","-0.415989492926764 (-4.42484342857973, 4.05065954274192)","-1.44363279178836 (-5.54267174947571, 2.49769359165449)","0.862299407387904 (-3.29785503059058, 5.43508902741684)","0.488091638316594 (-3.11901654921488, 4.48539872829788)","-1.13750709520658 (-5.11638918768917, 2.7568345661528)","0.286446168560976 (-2.70403721661092, 3.1244048675148)","Lazertinib_Amivantamab","-0.335665584325535 (-3.29036051650573, 2.6671620620477)","12.3886245460159 (1.05452154505466, 35.9881185131588)","0.579797734789215 (-3.7615593552934, 5.31898458161347)","-1.90055856211482 (-5.72232475272321, 1.61045157665558)","-0.635912799614844 (-6.08828041896183, 4.81644774532949)","-0.0516406992242223 (-4.56769311357276, 4.54434199278181)"
