"","Therapy","cardiac serious (0)","cardiac total (0)","vascular serious (0)","vascular total (0)","cardiac serious (dose)","cardiac total (dose)","vascular serious (dose)","vascular total (dose)","cardiac serious (dose)-1","cardiac total (dose)-1","vascular serious (dose)-1","vascular total (dose)-1","cardiac serious (dose)-2","cardiac total (dose)-2","vascular serious (dose)-2","vascular total (dose)-2","cardiac serious (dose)-2gen","cardiac total (dose)-2gen","vascular serious (dose)-2gen","vascular total (dose)-2gen","cardiac serious (dose)-1gen","cardiac total (dose)-1gen","vascular serious (dose)-1gen","vascular total (dose)-1gen","cardiac serious (antiangio)","cardiac serious (MET)","cardiac serious (IGF-1R)","cardiac total (antiangio)","cardiac total (MET)","cardiac total (IGF-1R)","vascular serious (antiangio)","vascular serious (MET)","vascular serious (IGF-1R)","vascular total (antiangio)","vascular total (MET)","vascular total (IGF-1R)","Serious Cardiac","Serious Cardiac (Gen)","Total Cardiac","Total Cardiac (Gen)","Serious Vascular","Serious Vascular (Gen)","Total Vascular","Total Vascular (Gen)","Serious Arrhythmias","Serious Arrhythmias (Gen)","Total Arrhythmias","Total Arrhythmias (Gen)","Serious Heart Failure","Serious Heart Failure (Gen)","Total Heart Failure","Total Heart Failure (Gen)","Serious Vascular Toxicity","Serious Vascular Toxicity (Gen)","Total Vascular Toxicity","Total Vascular Toxicity (Gen)","Serious Hypertension","Serious Hypertension (Gen)","Total Hypertension","Total Hypertension (Gen)","cardiac serious (0)-gen","cardiac total (0)-gen","vascular serious (0)-gen","vascular total (0)-gen","cardiac serious (dose)-gen","cardiac total (dose)-gen","vascular serious (dose)-gen","vascular total (dose)-gen","Total Hypertension (funnel)","Total Vascular (funnel)","Serious Cardiac (G-E)","Serious Cardiac (G-E)-Gen","Total Cardiac (G-E)","Total Cardiac (G-E)-Gen","Serious Vascular (G-E)","Serious Vascular (G-E)-Gen","Total Vascular (G-E)","Total Vascular (G-E)-Gen"
"29","3rd-generation EGFR TKIs + Amivantamab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.12 (0.83 to    5.44)","2.70 (1.15 to    6.34)","3.51 (0.56 to   22.02)","7.17 (2.21 to  23.27)","2.12 (0.83 to    5.44)","2.70 (1.15 to    6.34)","3.51 (0.56 to   22.02)","7.17 (2.21 to   23.27)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.12 (0.83 to    5.44)",NA,"2.70 (1.15 to    6.34)",NA,"4.29 (0.68 to   27.13)",NA,"9.30 (2.56 to   33.81)",NA,"1.55 (0.20 to   12.02)",NA,"2.48 (0.39 to   15.81)",NA,"1.13 (0.16 to   8.25)",NA,"1.13 (0.16 to    8.25)",NA,"5.42 (2.20 to   13.32)",NA,"8.94 (3.52 to   22.72)",NA,NA,NA,"0.90 (0.26 to   3.07)","2.11 (0.82 to    5.39)","2.69 (1.15 to    6.31)","3.43 (0.59 to   20.05)","7.14 (2.24 to  22.69)","2.12 (0.83 to    5.44)","2.70 (1.15 to    6.34)","3.51 (0.56 to   22.02)","7.17 (2.21 to   23.27)",NA,NA,NA,"1.95 (0.74 to    5.12)",NA,"2.52 (1.07 to    5.93)",NA,"4.44 (0.66 to   29.72)",NA,"9.62 (2.54 to   36.43)"
"30","1st-generation EGFR TKIs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.08 (0.68 to    1.73)","1.51 (1.01 to    2.26)","0.90 (0.44 to    1.84)","0.97 (0.57 to   1.65)","1.08 (0.68 to    1.73)","1.51 (1.01 to    2.26)","0.90 (0.44 to    1.84)","0.97 (0.57 to    1.65)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.08 (0.68 to    1.73)",NA,"1.51 (1.01 to    2.26)",NA,"0.84 (0.41 to    1.74)",NA,"0.91 (0.52 to    1.61)",NA,"1.50 (0.59 to    3.83)",NA,"2.51 (1.37 to    4.60)",NA,"1.47 (0.51 to   4.28)",NA,"1.47 (0.51 to    4.28)",NA,"0.82 (0.52 to    1.30)",NA,"0.86 (0.53 to    1.41)",NA,"0.67 (0.11 to    4.17)",NA,"0.77 (0.36 to   1.63)","1.08 (0.68 to    1.73)","1.51 (1.01 to    2.24)","0.90 (0.45 to    1.81)","0.96 (0.57 to   1.64)","1.08 (0.68 to    1.73)","1.51 (1.01 to    2.26)","0.90 (0.44 to    1.84)","0.97 (0.57 to    1.65)",NA,NA,NA,"1.12 (0.69 to    1.80)",NA,"1.62 (1.08 to    2.42)",NA,"0.84 (0.40 to    1.75)",NA,"0.91 (0.51 to    1.61)"
"31","1st-generation EGFR TKIs + antiangiogenesis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.33 (0.68 to    2.59)","1.54 (0.93 to    2.55)","3.07 (1.27 to    7.44)","4.63 (2.48 to   8.63)","1.33 (0.68 to    2.59)","1.54 (0.93 to    2.55)","3.07 (1.27 to    7.44)","4.63 (2.48 to    8.63)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.33 (0.68 to    2.59)",NA,"1.54 (0.93 to    2.55)",NA,"2.90 (1.19 to    7.06)",NA,"4.46 (2.29 to    8.68)",NA,"1.46 (0.41 to    5.24)",NA,"1.77 (0.83 to    3.80)",NA,"1.71 (0.41 to   7.15)",NA,"2.16 (0.56 to    8.36)",NA,"1.13 (0.62 to    2.07)",NA,"1.01 (0.54 to    1.88)",NA,"4.49 (0.65 to   31.08)",NA,"4.52 (2.04 to   9.99)","1.29 (0.67 to    2.49)","1.52 (0.92 to    2.51)","3.08 (1.30 to    7.27)","4.61 (2.49 to   8.54)","1.33 (0.68 to    2.59)","1.54 (0.93 to    2.55)","3.07 (1.27 to    7.44)","4.63 (2.48 to    8.63)",NA,NA,NA,"1.37 (0.70 to    2.70)",NA,"1.64 (0.98 to    2.74)",NA,"2.88 (1.16 to    7.12)",NA,"4.44 (2.26 to    8.74)"
"32","1st-generation EGFR TKIs + IGF-1R inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.23 (0.41 to    3.71)","1.33 (0.65 to    2.71)","2.17 (0.31 to   15.12)","2.64 (0.83 to   8.42)","1.23 (0.41 to    3.71)","1.33 (0.65 to    2.71)","2.17 (0.31 to   15.12)","2.64 (0.83 to    8.42)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.48 (0.52 to    4.25)",NA,"1.44 (0.71 to    2.91)",NA,"2.36 (0.41 to   13.50)",NA,"2.91 (0.88 to    9.63)",NA,"1.42 (0.29 to    6.95)",NA,"1.61 (0.61 to    4.24)",NA,"2.47 (0.25 to  24.53)",NA,"3.29 (0.52 to   20.79)",NA,"1.92 (0.47 to    7.79)",NA,"2.29 (0.72 to    7.29)",NA,"2.02 (0.04 to  105.75)",NA,"2.02 (0.48 to   8.51)","1.46 (0.52 to    4.08)","1.43 (0.71 to    2.88)","2.50 (0.45 to   13.73)","3.01 (1.00 to   9.01)","1.23 (0.41 to    3.71)","1.33 (0.65 to    2.71)","2.17 (0.31 to   15.12)","2.64 (0.83 to    8.42)",NA,NA,NA,"1.53 (0.53 to    4.41)",NA,"1.53 (0.76 to    3.11)",NA,"2.34 (0.40 to   13.64)",NA,"2.90 (0.86 to    9.76)"
"33","1st-generation EGFR TKIs + HER3 inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.40 (0.54 to   10.60)",NA,"3.36 (0.78 to   14.54)",NA,"0.42 (0.04 to    3.91)",NA,"0.45 (0.07 to    3.06)",NA,"1.37 (0.22 to    8.52)",NA,"2.28 (0.42 to   12.31)",NA,"3.78 (0.15 to  95.61)",NA,"3.78 (0.15 to   95.61)",NA,"0.53 (0.11 to    2.46)",NA,"0.55 (0.11 to    2.79)",NA,NA,NA,NA,"2.40 (0.54 to   10.60)","3.34 (0.77 to   14.47)","0.44 (0.05 to    3.90)","0.48 (0.08 to   2.97)",NA,NA,NA,NA,NA,NA,NA,"2.48 (0.56 to   11.00)",NA,"3.59 (0.83 to   15.54)",NA,"0.41 (0.04 to    3.98)",NA,"0.45 (0.07 to    3.08)"
"34","2nd-generation EGFR TKIs + Cetuximab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.96 (0.09 to   10.03)","1.18 (0.43 to    3.24)","2.34 (0.27 to   20.24)","1.02 (0.29 to   3.58)","0.96 (0.09 to   10.03)","1.18 (0.43 to    3.24)","2.34 (0.27 to   20.24)","1.02 (0.29 to    3.58)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.96 (0.09 to   10.03)",NA,"1.18 (0.43 to    3.24)",NA,"2.25 (0.26 to   19.85)",NA,"0.99 (0.25 to    3.87)",NA,"0.54 (0.02 to   15.59)",NA,"1.26 (0.32 to    4.86)",NA,NA,NA,NA,NA,"2.38 (0.45 to   12.52)",NA,"1.51 (0.37 to    6.16)",NA,"0.14 (0.00 to    9.84)",NA,"0.44 (0.12 to   1.61)","0.96 (0.09 to   10.04)","1.18 (0.43 to    3.23)","2.33 (0.28 to   19.12)","1.02 (0.30 to   3.51)","0.96 (0.09 to   10.03)","1.18 (0.43 to    3.24)","2.34 (0.27 to   20.24)","1.02 (0.29 to    3.58)",NA,NA,NA,"0.99 (0.09 to   10.31)",NA,"1.25 (0.46 to    3.42)",NA,"2.24 (0.25 to   20.27)",NA,"0.98 (0.24 to    3.93)"
"35","1st-generation EGFR TKIs + MET inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.94 (0.44 to    2.01)","1.37 (0.67 to    2.80)","1.24 (0.39 to    3.89)","1.30 (0.56 to   2.99)","0.94 (0.44 to    2.01)","1.37 (0.67 to    2.80)","1.24 (0.39 to    3.89)","1.30 (0.56 to    2.99)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.94 (0.44 to    2.01)",NA,"1.37 (0.67 to    2.80)",NA,"1.16 (0.37 to    3.69)",NA,"1.19 (0.49 to    2.92)",NA,"0.92 (0.24 to    3.61)",NA,"1.77 (0.58 to    5.44)",NA,"1.46 (0.30 to   7.01)",NA,"1.46 (0.30 to    7.01)",NA,"1.24 (0.64 to    2.37)",NA,"1.21 (0.59 to    2.47)",NA,"2.00 (0.04 to  104.46)",NA,"2.30 (0.08 to  64.43)","0.94 (0.44 to    2.00)","1.37 (0.68 to    2.76)","1.25 (0.41 to    3.81)","1.30 (0.57 to   2.98)","0.94 (0.44 to    2.01)","1.37 (0.67 to    2.80)","1.24 (0.39 to    3.89)","1.30 (0.56 to    2.99)",NA,NA,NA,"0.97 (0.45 to    2.09)",NA,"1.46 (0.71 to    2.99)",NA,"1.15 (0.35 to    3.71)",NA,"1.18 (0.47 to    2.92)"
"36","2nd-generation EGFR TKIs + HMGCR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.27 (0.01 to    7.17)","1.56 (0.39 to    6.28)",NA,NA,"0.27 (0.01 to    7.17)","1.56 (0.39 to    6.28)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.27 (0.01 to    7.17)",NA,"1.56 (0.39 to    6.28)",NA,NA,NA,NA,NA,"0.46 (0.02 to   13.56)",NA,"2.65 (0.58 to   12.03)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.27 (0.01 to    7.18)","1.55 (0.39 to    6.26)","1.05 (0.01 to   75.13)","0.96 (0.02 to  57.31)","0.27 (0.01 to    7.17)","1.56 (0.39 to    6.28)",NA,NA,NA,NA,NA,"0.28 (0.01 to    7.37)",NA,"1.64 (0.41 to    6.62)",NA,NA,NA,NA
"37","Erlotinib + MMP inhibitor","11.14 (0.56 to   221.08)","3.70 (0.76 to   18.03)","0.11 (0.00 to     2.83)","0.22 (0.04 to    1.29)","11.29 (0.57 to  224.31)","3.72 (0.76 to   18.13)","0.11 (0.00 to     2.94)","0.22 (0.04 to    1.30)","11.29 (0.57 to  224.31)","3.72 (0.76 to   18.13)","0.11 (0.00 to     2.94)","0.22 (0.04 to    1.30)","11.29 (0.57 to  224.31)","3.72 (0.76 to   18.13)","0.11 (0.00 to     2.94)","0.22 (0.04 to   1.30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.29 (0.57 to  224.31)",NA,"3.72 (0.76 to   18.13)",NA,"0.11 (0.00 to     2.92)",NA,"0.22 (0.04 to    1.30)",NA,NA,NA,"1.25 (0.13 to   11.96)",NA,"5.57 (0.17 to  182.38)",NA,"5.57 (0.17 to   182.38)",NA,"0.55 (0.11 to    2.87)",NA,"0.60 (0.15 to     2.40)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.20 ( 0.05 to   0.89)","11.29 (0.57 to  224.31)",NA,"3.72 (0.76 to   18.13)",NA,"0.11 (0.00 to     2.92)",NA,"0.22 (0.04 to    1.30)",NA
"38","Icotinib","8.66 (0.41 to   181.87)","9.05 (0.43 to  189.35)","0.95 (0.01 to    64.63)","1.04 (0.02 to   61.16)","8.51 (0.40 to  179.94)","9.09 (0.43 to  191.14)",NA,NA,"8.51 (0.40 to  179.94)","9.09 (0.43 to  191.14)",NA,NA,"8.51 (0.40 to  179.94)","9.09 (0.43 to  191.14)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.51 (0.40 to  179.94)",NA,"9.09 (0.43 to  191.14)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.55 (0.47 to  652.53)",NA,"17.55 (0.47 to   652.53)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.51 (0.40 to  179.94)",NA,"9.09 (0.43 to  191.14)",NA,NA,NA,NA,NA
"39","Gefitinib + chemotherapy","1.89 (0.38 to     9.53)","1.45 (0.44 to    4.74)","1.26 (0.33 to     4.77)","1.30 (0.53 to    3.22)","2.96 (0.38 to   23.07)","1.46 (0.43 to    4.98)","1.32 (0.33 to     5.36)","1.31 (0.53 to    3.25)","2.96 (0.38 to   23.07)","1.46 (0.43 to    4.98)","1.32 (0.33 to     5.36)","1.31 (0.53 to    3.25)","2.96 (0.38 to   23.07)","1.46 (0.43 to    4.98)","1.32 (0.33 to     5.36)","1.31 (0.53 to   3.25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.96 (0.38 to   23.07)",NA,"1.46 (0.43 to    4.98)",NA,"1.32 (0.33 to     5.31)",NA,"1.31 (0.53 to    3.24)",NA,NA,NA,"2.62 (0.31 to   22.26)",NA,"7.77 (0.17 to  353.26)",NA,"1.81 (0.08 to    39.02)",NA,"2.02 (0.54 to    7.53)",NA,"1.50 (0.52 to     4.34)",NA,"0.96 (0.08 to    11.62)",NA,"1.04 (0.25 to    4.29)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.06 (0.30 to    3.75)","1.16 ( 0.60 to   2.23)","2.96 (0.38 to   23.07)",NA,"1.46 (0.43 to    4.98)",NA,"1.32 (0.33 to     5.31)",NA,"1.31 (0.53 to    3.24)",NA
"40","Gefitinib + PARP inhibitor","3.71 (0.14 to    99.03)","3.88 (0.15 to  103.13)","0.95 (0.01 to    65.31)","1.05 (0.02 to   61.82)","3.65 (0.14 to   97.93)","3.90 (0.15 to  104.07)",NA,NA,"3.65 (0.14 to   97.93)","3.90 (0.15 to  104.07)",NA,NA,"3.65 (0.14 to   97.93)","3.90 (0.15 to  104.07)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.65 (0.14 to   97.93)",NA,"3.90 (0.15 to  104.07)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.53 (0.17 to  342.91)",NA,"7.53 (0.17 to   342.91)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.65 (0.14 to   97.93)",NA,"3.90 (0.15 to  104.07)",NA,NA,NA,NA,NA
"41","Erlotinib + COX2 inhibitor","0.37 (0.01 to     9.72)","0.43 (0.02 to   11.13)","0.98 (0.01 to    65.31)","1.02 (0.02 to   59.89)","0.38 (0.01 to    9.87)","0.43 (0.02 to   11.19)",NA,NA,"0.38 (0.01 to    9.87)","0.43 (0.02 to   11.19)",NA,NA,"0.38 (0.01 to    9.87)","0.43 (0.02 to   11.19)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.38 (0.01 to    9.87)",NA,"0.43 (0.02 to   11.19)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.32 (0.01 to    8.40)",NA,"0.33 (0.01 to     8.87)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.38 (0.01 to    9.87)",NA,"0.43 (0.02 to   11.19)",NA,NA,NA,NA,NA
"42","1st-generation EGFR TKIs + MMP inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.43 (0.53 to  204.74)","4.23 (0.90 to   19.88)","0.10 (0.00 to    2.75)","0.21 (0.04 to   1.21)","10.43 (0.53 to  204.74)","4.23 (0.90 to   19.88)","0.10 (0.00 to    2.75)","0.21 (0.04 to    1.21)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.43 (0.53 to  204.74)",NA,"4.23 (0.90 to   19.88)",NA,"0.09 (0.00 to    2.62)",NA,"0.20 (0.03 to    1.24)",NA,NA,NA,"1.51 (0.18 to   12.77)",NA,"4.55 (0.15 to 134.73)",NA,"4.55 (0.15 to  134.73)",NA,"0.45 (0.08 to    2.43)",NA,"0.50 (0.12 to    2.11)",NA,NA,NA,NA,"10.44 (0.53 to  204.83)","4.21 (0.90 to   19.78)","0.10 (0.00 to    2.67)","0.21 (0.04 to   1.20)","10.43 (0.53 to  204.74)","4.23 (0.90 to   19.88)","0.10 (0.00 to    2.75)","0.21 (0.04 to    1.21)",NA,NA,NA,"10.79 (0.55 to  212.09)",NA,"4.51 (0.96 to   21.24)",NA,"0.09 (0.00 to    2.64)",NA,"0.19 (0.03 to    1.25)"
"43","1st-generation EGFR TKIs + PARP inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.28 (0.13 to   84.38)","4.59 (0.18 to  117.06)",NA,NA,"3.28 (0.13 to   84.38)","4.59 (0.18 to  117.06)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.28 (0.13 to   84.38)",NA,"4.59 (0.18 to  117.06)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.47 (0.15 to 132.17)",NA,"4.47 (0.15 to  132.17)",NA,NA,NA,NA,NA,NA,NA,NA,"3.28 (0.13 to   84.42)","4.57 (0.18 to  116.49)","0.90 (0.01 to   61.70)","0.96 (0.02 to  56.10)","3.28 (0.13 to   84.38)","4.59 (0.18 to  117.06)",NA,NA,NA,NA,NA,"3.39 (0.13 to   87.40)",NA,"4.90 (0.19 to  125.00)",NA,NA,NA,NA
"44","1st-generation EGFR TKIs + COX2 inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.35 (0.01 to    9.01)","0.49 (0.02 to   12.51)",NA,NA,"0.35 (0.01 to    9.01)","0.49 (0.02 to   12.51)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.35 (0.01 to    9.01)",NA,"0.49 (0.02 to   12.51)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.26 (0.01 to    6.97)",NA,"0.28 (0.01 to    7.62)",NA,NA,NA,NA,"0.35 (0.01 to    9.02)","0.48 (0.02 to   12.45)","0.88 (0.01 to   60.99)","0.95 (0.02 to  55.46)","0.35 (0.01 to    9.01)","0.49 (0.02 to   12.51)",NA,NA,NA,NA,NA,"0.36 (0.01 to    9.34)",NA,"0.52 (0.02 to   13.35)",NA,NA,NA,NA
"45","Gefitinib + antiangiogenesis","1.53 (0.08 to    27.67)","1.60 (0.09 to   28.80)","26.18 (4.70 to   145.69)","12.10 (3.72 to   39.43)",NA,NA,"25.85 (4.41 to   151.71)","12.16 (3.69 to   40.06)",NA,NA,"25.85 (4.41 to   151.71)","12.16 (3.69 to   40.06)",NA,NA,"25.85 (4.41 to   151.71)","12.16 (3.69 to  40.06)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.87 (4.46 to   150.23)",NA,"12.14 (3.70 to   39.88)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26.42 (1.86 to   374.50)",NA,"10.52 (2.31 to   47.93)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.89 (2.66 to   36.79)","10.20 ( 4.77 to  21.81)",NA,NA,NA,NA,"25.87 (4.46 to   150.23)",NA,"12.14 (3.70 to   39.88)",NA
"46","Erlotinib + ER inhibitor","1.28 (0.04 to    39.97)","1.40 (0.04 to   43.71)","5.06 (0.17 to   148.42)","2.56 (0.73 to    8.95)",NA,NA,"5.10 (0.17 to   154.28)","2.57 (0.73 to    9.05)",NA,NA,"5.10 (0.17 to   154.28)","2.57 (0.73 to    9.05)",NA,NA,"5.10 (0.17 to   154.28)","2.57 (0.73 to   9.05)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.09 (0.17 to   153.02)",NA,"2.56 (0.73 to    9.02)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.09 (0.23 to  111.57)",NA,"2.23 (0.78 to     6.38)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.33 ( 0.90 to   6.02)",NA,NA,NA,NA,"5.09 (0.17 to   153.02)",NA,"2.56 (0.73 to    9.02)",NA
"47","Erlotinib + HGF inhibitor","0.54 (0.01 to    34.34)","0.15 (0.00 to    5.10)","3.19 (0.09 to   119.17)","0.79 (0.05 to   11.96)",NA,"0.15 (0.00 to    5.12)","3.21 (0.08 to   123.61)","0.79 (0.05 to   12.05)",NA,"0.15 (0.00 to    5.12)","3.21 (0.08 to   123.61)","0.79 (0.05 to   12.05)",NA,"0.15 (0.00 to    5.12)","3.21 (0.08 to   123.61)","0.79 (0.05 to  12.05)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.15 (0.00 to    5.12)",NA,"3.20 (0.08 to   122.66)",NA,"0.79 (0.05 to   12.02)",NA,NA,NA,NA,NA,NA,NA,"0.20 (0.00 to     8.60)",NA,"3.20 (0.11 to   91.50)",NA,"0.78 (0.06 to    10.52)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.71 ( 0.06 to   9.15)",NA,NA,"0.15 (0.00 to    5.12)",NA,"3.20 (0.08 to   122.66)",NA,"0.79 (0.05 to   12.02)",NA
"48","Erlotinib + Autophagy inhibitor","1.15 (0.02 to    61.87)","2.21 (0.49 to   10.02)","0.33 (0.01 to    11.23)","0.27 (0.06 to    1.17)",NA,"2.22 (0.49 to   10.08)","0.33 (0.01 to    11.66)","0.28 (0.06 to    1.18)",NA,"2.22 (0.49 to   10.08)","0.33 (0.01 to    11.66)","0.28 (0.06 to    1.18)",NA,"2.22 (0.49 to   10.08)","0.33 (0.01 to    11.66)","0.28 (0.06 to   1.18)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.22 (0.49 to   10.08)",NA,"0.33 (0.01 to    11.57)",NA,"0.28 (0.06 to    1.18)",NA,NA,NA,"2.08 (0.27 to   16.09)",NA,NA,NA,NA,NA,"0.33 (0.01 to    8.57)",NA,"0.14 (0.01 to     2.92)",NA,NA,NA,"0.43 (0.10 to    1.83)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.42 (0.12 to    1.49)","0.25 ( 0.08 to   0.75)",NA,NA,"2.22 (0.49 to   10.08)",NA,"0.33 (0.01 to    11.57)",NA,"0.28 (0.06 to    1.18)",NA
"49","1st-generation EGFR TKIs + ER inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.53 (0.14 to  143.98)","2.79 (0.68 to  11.56)",NA,NA,"4.53 (0.14 to  143.98)","2.79 (0.68 to   11.56)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.27 (0.13 to  137.10)",NA,"2.64 (0.58 to   12.02)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.15 (0.19 to   92.75)",NA,"2.50 (0.74 to    8.50)",NA,NA,NA,NA,"1.09 (0.02 to   57.23)","1.52 (0.03 to   79.10)","4.55 (0.15 to  139.91)","2.79 (0.68 to  11.38)",NA,NA,"4.53 (0.14 to  143.98)","2.79 (0.68 to   11.56)",NA,NA,NA,NA,NA,NA,NA,"4.23 (0.13 to  138.23)",NA,"2.63 (0.57 to   12.17)"
"50","1st-generation EGFR TKIs + HGF inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.17 (0.00 to    5.73)","2.85 (0.07 to  114.98)","0.73 (0.05 to  11.17)",NA,"0.17 (0.00 to    5.73)","2.85 (0.07 to  114.98)","0.73 (0.05 to   11.17)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.17 (0.00 to    5.73)",NA,"2.69 (0.07 to  109.42)",NA,"0.69 (0.04 to   11.12)",NA,NA,NA,NA,NA,NA,NA,"0.16 (0.00 to    6.40)",NA,"2.61 (0.09 to   75.95)",NA,"0.66 (0.05 to    9.08)",NA,NA,NA,NA,"0.50 (0.01 to   31.91)","0.17 (0.00 to    5.70)","2.86 (0.07 to  111.97)","0.73 (0.05 to  11.08)",NA,"0.17 (0.00 to    5.73)","2.85 (0.07 to  114.98)","0.73 (0.05 to   11.17)",NA,NA,NA,NA,NA,"0.18 (0.01 to    6.12)",NA,"2.66 (0.06 to  110.21)",NA,"0.69 (0.04 to   11.16)"
