"Category","Condition","Value","Dataset","OR","CI_low","CI_high","K....k","I2....I2","tau2....tau2","p_value"
"2nd-generation EGFR TKIs","location","Asian","cardiac_total1",0.551900454106626,0.160894672244379,1.89312739194036,2,0,0,0.344594894442228
"1st-generation EGFR TKIs","location","Mixed","cardiac_total1",0.823177932299209,0.68219927195308,0.993290283474544,28,0.37542809282114,0.177198053811915,0.0423355408076906
"3rd-generation EGFR TKIs","location","Mixed","cardiac_total1",1.10253416048048,0.890192077424384,1.36552728995688,12,0.721188364460287,0.44591159002804,0.371167268659787
"2nd-generation EGFR TKIs","location","Mixed","cardiac_total1",0.877402010814674,0.623159731445592,1.23537232868977,8,0,0,0.453744394820859
"1st-generation EGFR TKIs","location","Non-Asian","vascular_serious",0.898131917032628,0.559681940904285,1.44124882623406,10,0,0,0.656146722655196
"1st-generation EGFR TKIs","location","Asian","vascular_serious",0.206455478805055,0.157255047587568,0.271049262853641,17,0.759149556406577,1.57630633351466,6.66867113455663e-30
"3rd-generation EGFR TKIs","location","Asian","vascular_serious",1.91914957430901,1.02697082081202,3.58640675463224,5,0.750737033250564,4.3343834447785,0.0410141841001244
"2nd-generation EGFR TKIs","location","Asian","vascular_serious",0.156576200417537,0.00632876141745649,3.87376058600824,1,NA,NA,0.257341346248572
"1st-generation EGFR TKIs","location","Mixed","vascular_serious",0.661085214999705,0.541465658264143,0.80713089523031,30,0.200570062134628,0.0905650112776592,4.82510180340341e-05
"3rd-generation EGFR TKIs","location","Mixed","vascular_serious",0.625816760853074,0.48498871860626,0.807537584152744,11,0.49685568612384,0.206332470421695,0.000314040683834246
"2nd-generation EGFR TKIs","location","Mixed","vascular_serious",1.23483173602896,0.850188397877935,1.7934959123298,9,0,0,0.267996804172443
"1st-generation EGFR TKIs","location","Non-Asian","vascular_total",0.493482998962209,0.374051161758659,0.651048560094727,11,0.547372588575157,0.510497191950447,5.865561005616e-07
"1st-generation EGFR TKIs","location","Asian","vascular_total",0.253930964000631,0.208542667201483,0.309197802749842,18,0.819049460923891,1.0253965334528,2.23068252313573e-42
"3rd-generation EGFR TKIs","location","Asian","vascular_total",1.4075668452965,0.996421210761243,1.98836034658909,5,0.931892813272664,5.63025247055958,0.0524255698463666
"2nd-generation EGFR TKIs","location","Asian","vascular_total",0.156576200417537,0.00632876141745649,3.87376058600824,1,NA,NA,0.257341346248572
"1st-generation EGFR TKIs","location","Mixed","vascular_total",0.434838515758728,0.378474690189836,0.499596246957523,31,0.648852926846087,0.323982628162072,6.4737016891652e-32
"3rd-generation EGFR TKIs","location","Mixed","vascular_total",0.457647445305518,0.394092156097643,0.531452303614929,12,0.909947403206796,0.834799518750269,1.22543108445585e-24
"2nd-generation EGFR TKIs","location","Mixed","vascular_total",1.0201552044702,0.776483136969743,1.34029522555902,9,0.00318835872787781,0.000602570518050231,0.886056033582193
