"Erlotinib + HGF inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","0.11 (0.00 to   3.70)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.04 (0.00 to    4.61)","0.06 (0.00 to    4.58)","0.20 (0.01 to    5.55)","0.11 (0.00 to   10.89)","0.26 (0.01 to    6.85)","0.27 (0.01 to    7.63)","0.16 (0.00 to   15.26)","0.27 (0.01 to    9.79)","0.31 (0.01 to    8.65)","0.30 (0.01 to    9.10)","0.32 (0.01 to    9.06)","0.33 (0.01 to    8.20)","0.33 (0.01 to    8.92)","0.34 (0.01 to    9.07)","0.34 (0.01 to   10.29)","0.35 (0.01 to    9.35)","0.37 (0.01 to    9.51)","0.37 (0.01 to   10.93)","0.38 (0.01 to   10.21)","0.40 (0.02 to   10.78)","0.45 (0.01 to   15.46)","0.46 (0.02 to   13.41)","0.57 (0.02 to   20.28)","Gefitinib + PARP inhibitor",".",".",".",".",".",".",".",".",".",".","."
"0.06 (0.00 to    2.07)","0.09 (0.00 to    1.58)","0.31 (0.14 to    0.70)","0.17 (0.01 to    4.54)","0.39 (0.24 to    0.65)","0.41 (0.23 to    0.72)","0.25 (0.01 to    5.65)","0.42 (0.09 to    2.04)","0.47 (0.19 to    1.16)","0.46 (0.21 to    1.05)","0.50 (0.21 to    1.21)","0.51 (0.23 to    1.10)","0.51 (0.24 to    1.10)","0.53 (0.27 to    1.03)","0.53 (0.16 to    1.69)","0.53 (0.25 to    1.12)","0.57 (0.22 to    1.43)","0.58 (0.16 to    2.08)","0.58 (0.20 to    1.68)","0.62 (0.31 to    1.27)","0.69 (0.15 to    3.14)","0.71 (0.26 to    1.96)","0.87 (0.18 to    4.21)","1.54 (0.06 to   41.97)","Osimertinib",".","0.79 (0.33 to   1.88)",".","0.71 (0.35 to   1.45)","0.64 (0.42 to   0.98)",".",".",".",".","0.34 (0.18 to   0.65)"
"0.05 (0.00 to    2.19)","0.07 (0.00 to    2.01)","0.27 (0.06 to    1.21)","0.14 (0.00 to    4.88)","0.34 (0.08 to    1.52)","0.35 (0.07 to    1.85)","0.21 (0.01 to    7.01)","0.36 (0.05 to    2.68)","0.41 (0.09 to    1.88)","0.40 (0.07 to    2.32)","0.43 (0.09 to    1.96)","0.44 (0.09 to    2.06)","0.44 (0.10 to    1.98)","0.45 (0.11 to    1.84)","0.45 (0.08 to    2.59)","0.46 (0.11 to    1.94)","0.48 (0.09 to    2.49)","0.49 (0.08 to    3.18)","0.50 (0.09 to    2.77)","0.53 (0.12 to    2.32)","0.59 (0.08 to    4.36)","0.61 (0.12 to    3.05)","0.75 (0.10 to    5.55)","1.32 (0.04 to   46.86)","0.86 (0.18 to    4.09)","Erlotinib + HER3 inhibitor",".",".",".",".",".",".",".",".","."
"0.05 (0.00 to    1.98)","0.08 (0.00 to    1.57)","0.28 (0.10 to    0.81)","0.15 (0.01 to    4.35)","0.35 (0.14 to    0.86)","0.37 (0.14 to    0.97)","0.22 (0.01 to    5.56)","0.38 (0.07 to    2.11)","0.42 (0.14 to    1.32)","0.41 (0.13 to    1.29)","0.44 (0.14 to    1.37)","0.45 (0.17 to    1.20)","0.46 (0.16 to    1.28)","0.47 (0.18 to    1.23)","0.47 (0.12 to    1.81)","0.48 (0.17 to    1.32)","0.50 (0.17 to    1.52)","0.51 (0.12 to    2.12)","0.52 (0.15 to    1.75)","0.56 (0.21 to    1.50)","0.62 (0.12 to    3.25)","0.64 (0.19 to    2.17)","0.78 (0.14 to    4.35)","1.37 (0.05 to   39.51)","0.89 (0.40 to    1.97)","1.04 (0.19 to    5.75)","Lazertinib",".","0.90 (0.39 to   2.07)",".",".",".",".",".","."
"0.04 (0.00 to    1.80)","0.06 (0.00 to    1.66)","0.21 (0.04 to    1.05)","0.11 (0.00 to    4.02)","0.27 (0.06 to    1.31)","0.28 (0.05 to    1.58)","0.17 (0.00 to    5.77)","0.29 (0.04 to    2.27)","0.32 (0.06 to    1.62)","0.32 (0.05 to    1.98)","0.34 (0.07 to    1.69)","0.35 (0.07 to    1.77)","0.35 (0.07 to    1.71)","0.36 (0.08 to    1.60)","0.36 (0.06 to    2.21)","0.36 (0.08 to    1.68)","0.39 (0.07 to    2.13)","0.39 (0.06 to    2.70)","0.40 (0.07 to    2.37)","0.42 (0.09 to    2.00)","0.47 (0.06 to    3.69)","0.49 (0.09 to    2.61)","0.60 (0.08 to    4.69)","1.05 (0.03 to   38.57)","0.68 (0.13 to    3.51)","0.79 (0.10 to    6.21)","0.76 (0.13 to    4.54)","Erlotinib + MMP inhibitor",".",".",".",".",".",".","."
"0.04 (0.00 to    1.64)","0.06 (0.00 to    1.28)","0.23 (0.08 to    0.66)","0.13 (0.00 to    3.61)","0.29 (0.13 to    0.68)","0.31 (0.12 to    0.75)","0.18 (0.01 to    4.55)","0.31 (0.06 to    1.73)","0.35 (0.12 to    1.08)","0.35 (0.12 to    1.01)","0.37 (0.12 to    1.12)","0.38 (0.14 to    1.02)","0.38 (0.14 to    1.04)","0.39 (0.15 to    1.00)","0.39 (0.10 to    1.49)","0.40 (0.15 to    1.07)","0.42 (0.14 to    1.29)","0.43 (0.10 to    1.79)","0.43 (0.13 to    1.48)","0.46 (0.18 to    1.22)","0.51 (0.10 to    2.68)","0.53 (0.16 to    1.78)","0.65 (0.12 to    3.58)","1.15 (0.04 to   33.10)","0.74 (0.37 to    1.50)","0.87 (0.16 to    4.73)","0.83 (0.38 to    1.85)","1.09 (0.19 to    6.39)","Lazertinib + Amivantamab",".",".",".",".",".","."
"0.04 (0.00 to    1.37)","0.06 (0.00 to    1.05)","0.20 (0.08 to    0.50)","0.11 (0.00 to    3.00)","0.25 (0.13 to    0.49)","0.26 (0.13 to    0.53)","0.16 (0.01 to    3.74)","0.27 (0.05 to    1.38)","0.31 (0.11 to    0.82)","0.30 (0.12 to    0.75)","0.32 (0.12 to    0.85)","0.33 (0.13 to    0.79)","0.33 (0.14 to    0.79)","0.34 (0.15 to    0.75)","0.34 (0.10 to    1.17)","0.34 (0.15 to    0.80)","0.36 (0.13 to    1.01)","0.37 (0.10 to    1.43)","0.37 (0.12 to    1.17)","0.40 (0.18 to    0.91)","0.44 (0.09 to    2.14)","0.46 (0.15 to    1.37)","0.56 (0.11 to    2.86)","0.99 (0.04 to   27.71)","0.64 (0.42 to    0.98)","0.75 (0.15 to    3.77)","0.72 (0.29 to    1.76)","0.94 (0.17 to    5.12)","0.86 (0.38 to    1.95)","Osimertinib + chemotherapy",".",".",".",".","."
"0.02 (0.00 to    1.69)","0.02 (0.00 to    1.65)","0.09 (0.00 to    1.88)","0.05 (0.00 to    3.95)","0.11 (0.01 to    2.31)","0.11 (0.01 to    2.59)","0.07 (0.00 to    5.53)","0.12 (0.00 to    3.38)","0.13 (0.01 to    2.93)","0.13 (0.01 to    3.10)","0.14 (0.01 to    3.07)","0.14 (0.01 to    2.76)","0.14 (0.01 to    3.02)","0.15 (0.01 to    3.07)","0.15 (0.01 to    3.51)","0.15 (0.01 to    3.16)","0.16 (0.01 to    3.21)","0.16 (0.01 to    3.72)","0.16 (0.01 to    3.45)","0.17 (0.01 to    3.64)","0.19 (0.01 to    5.32)","0.20 (0.01 to    4.56)","0.24 (0.01 to    7.00)","0.43 (0.01 to   34.10)","0.28 (0.01 to    6.00)","0.33 (0.01 to    9.28)","0.31 (0.01 to    7.13)","0.41 (0.01 to   12.12)","0.37 (0.02 to    8.59)","0.43 (0.02 to    9.61)","Icotinib","0.89 (0.54 to   1.47)",".",".","."
"0.01 (0.00 to    1.54)","0.02 (0.00 to    1.51)","0.08 (0.00 to    1.74)","0.04 (0.00 to    3.62)","0.10 (0.00 to    2.15)","0.10 (0.00 to    2.40)","0.06 (0.00 to    5.07)","0.10 (0.00 to    3.12)","0.12 (0.01 to    2.72)","0.12 (0.00 to    2.88)","0.12 (0.01 to    2.85)","0.13 (0.01 to    2.56)","0.13 (0.01 to    2.80)","0.13 (0.01 to    2.84)","0.13 (0.01 to    3.25)","0.13 (0.01 to    2.93)","0.14 (0.01 to    2.98)","0.14 (0.01 to    3.45)","0.14 (0.01 to    3.20)","0.15 (0.01 to    3.38)","0.17 (0.01 to    4.92)","0.18 (0.01 to    4.23)","0.22 (0.01 to    6.47)","0.38 (0.00 to   31.26)","0.25 (0.01 to    5.57)","0.29 (0.01 to    8.58)","0.28 (0.01 to    6.61)","0.36 (0.01 to   11.20)","0.33 (0.01 to    7.96)","0.39 (0.02 to    8.91)","0.89 (0.54 to    1.47)","Befotertinib",".",".","."
"0.02 (0.00 to    0.78)","0.03 (0.00 to    0.70)","0.11 (0.04 to    0.32)","0.06 (0.00 to    1.71)","0.14 (0.05 to    0.40)","0.15 (0.04 to    0.51)","0.09 (0.00 to    2.45)","0.15 (0.03 to    0.81)","0.17 (0.06 to    0.50)","0.17 (0.04 to    0.66)","0.18 (0.06 to    0.52)","0.18 (0.06 to    0.55)","0.18 (0.06 to    0.52)","0.19 (0.08 to    0.46)","0.19 (0.05 to    0.74)","0.19 (0.07 to    0.49)","0.20 (0.06 to    0.69)","0.21 (0.05 to    0.93)","0.21 (0.06 to    0.78)","0.22 (0.08 to    0.60)","0.25 (0.05 to    1.31)","0.25 (0.08 to    0.83)","0.31 (0.06 to    1.68)","0.55 (0.02 to   16.45)","0.36 (0.12 to    1.09)","0.42 (0.08 to    2.21)","0.40 (0.11 to    1.50)","0.52 (0.09 to    2.99)","0.48 (0.13 to    1.76)","0.55 (0.17 to    1.84)","1.28 (0.05 to   30.48)","1.44 (0.06 to   35.57)","Rociletinib",".","."
"0.02 (0.00 to    0.75)","0.03 (0.00 to    0.67)","0.11 (0.05 to    0.27)","0.06 (0.00 to    1.65)","0.14 (0.06 to    0.34)","0.15 (0.05 to    0.45)","0.09 (0.00 to    2.36)","0.15 (0.03 to    0.75)","0.17 (0.07 to    0.43)","0.17 (0.05 to    0.59)","0.18 (0.07 to    0.45)","0.18 (0.07 to    0.47)","0.19 (0.08 to    0.44)","0.19 (0.09 to    0.38)","0.19 (0.06 to    0.66)","0.19 (0.09 to    0.41)","0.20 (0.07 to    0.59)","0.21 (0.05 to    0.83)","0.21 (0.07 to    0.68)","0.23 (0.10 to    0.51)","0.25 (0.05 to    1.20)","0.26 (0.09 to    0.73)","0.32 (0.06 to    1.54)","0.56 (0.02 to   15.80)","0.36 (0.14 to    0.95)","0.42 (0.09 to    2.04)","0.41 (0.12 to    1.33)","0.53 (0.10 to    2.77)","0.49 (0.15 to    1.56)","0.56 (0.20 to    1.61)","1.30 (0.06 to   29.16)","1.46 (0.06 to   34.06)","1.01 (0.32 to    3.17)","Antiangiogenesis","."
"0.02 (0.00 to    0.75)","0.03 (0.00 to    0.58)","0.11 (0.04 to    0.30)","0.06 (0.00 to    1.65)","0.13 (0.06 to    0.31)","0.14 (0.06 to    0.33)","0.08 (0.00 to    2.06)","0.14 (0.03 to    0.79)","0.16 (0.05 to    0.49)","0.16 (0.06 to    0.45)","0.17 (0.06 to    0.51)","0.17 (0.06 to    0.47)","0.17 (0.06 to    0.48)","0.18 (0.07 to    0.45)","0.18 (0.05 to    0.68)","0.18 (0.07 to    0.49)","0.19 (0.06 to    0.60)","0.20 (0.05 to    0.83)","0.20 (0.06 to    0.69)","0.21 (0.08 to    0.55)","0.24 (0.05 to    1.22)","0.24 (0.07 to    0.81)","0.30 (0.05 to    1.63)","0.53 (0.02 to   15.24)","0.34 (0.18 to    0.65)","0.40 (0.07 to    2.15)","0.38 (0.14 to    1.06)","0.50 (0.09 to    2.91)","0.46 (0.18 to    1.19)","0.53 (0.25 to    1.15)","1.22 (0.05 to   28.18)","1.37 (0.06 to   32.90)","0.96 (0.26 to    3.49)","0.94 (0.30 to    3.01)","Osimertinib + antiangiogenesis"
