"Erlotinib + MMP inhibitor",".",".",".",".",".",".",".",".","0.11 (0.00 to   2.60)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.07 (0.00 to     1.88)","0.22 (0.01 to     7.45)","0.22 (0.01 to     7.59)","0.33 (0.04 to     2.65)","0.39 (0.06 to     2.61)","0.38 (0.00 to    35.83)","0.63 (0.22 to     1.80)","0.64 (0.26 to     1.57)","0.61 (0.16 to     2.36)","0.67 (0.33 to     1.34)","0.67 (0.28 to     1.60)","0.73 (0.23 to     2.31)","0.63 (0.01 to    42.96)","0.64 (0.01 to    43.41)","0.64 (0.01 to    45.04)","0.64 (0.01 to    43.44)","0.66 (0.01 to    43.36)","0.84 (0.22 to     3.21)","0.84 (0.23 to     3.13)","0.82 (0.01 to    57.39)","0.88 (0.01 to    65.33)","0.93 (0.37 to     2.33)","0.96 (0.33 to     2.76)","Chemotherapy",".",".",".",".",".",".",".",".",".",".",".","."
"0.06 (0.00 to     3.29)","0.19 (0.00 to    12.49)","0.19 (0.00 to    12.75)","0.28 (0.01 to     6.22)","0.33 (0.02 to     7.12)","0.33 (0.00 to    55.57)","0.53 (0.04 to     7.42)","0.54 (0.04 to     7.08)","0.52 (0.04 to     7.75)","0.57 (0.05 to     6.25)","0.57 (0.05 to     6.98)","0.62 (0.05 to     8.30)","0.54 (0.00 to    69.23)","0.54 (0.00 to    69.90)","0.54 (0.00 to    72.32)","0.55 (0.00 to    70.00)","0.56 (0.00 to    66.31)","0.71 (0.05 to    11.25)","0.72 (0.05 to    11.10)","0.70 (0.01 to    91.20)","0.75 (0.01 to   104.24)","0.79 (0.06 to    10.17)","0.81 (0.07 to    10.16)","0.85 (0.07 to    10.30)","DHFR inhibitor",".",".",".",".",".",".",".",".",".",".","."
"0.06 (0.00 to     2.27)","0.19 (0.00 to     8.83)","0.19 (0.00 to     9.01)","0.29 (0.02 to     3.76)","0.34 (0.04 to     2.56)","0.33 (0.00 to    32.82)","0.55 (0.16 to     1.92)","0.56 (0.10 to     3.01)","0.53 (0.07 to     4.13)","0.58 (0.11 to     3.07)","0.58 (0.12 to     2.92)","0.64 (0.10 to     4.06)","0.55 (0.01 to    47.41)","0.56 (0.01 to    47.90)","0.55 (0.01 to    41.39)","0.56 (0.01 to    47.94)","0.57 (0.01 to    49.14)","0.73 (0.13 to     4.10)","0.73 (0.10 to     5.12)","0.72 (0.01 to    64.63)","0.77 (0.01 to    60.01)","0.81 (0.14 to     4.69)","0.83 (0.13 to     5.26)","0.87 (0.17 to     4.48)","1.02 (0.06 to    18.86)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".","."
"0.05 (0.00 to     1.96)","0.15 (0.00 to     7.57)","0.16 (0.00 to     7.72)","0.23 (0.02 to     3.32)","0.27 (0.03 to     2.30)","0.27 (0.00 to    27.87)","0.44 (0.11 to     1.83)","0.45 (0.07 to     2.77)","0.43 (0.05 to     3.71)","0.47 (0.08 to     2.83)","0.47 (0.08 to     2.70)","0.51 (0.07 to     3.69)","0.45 (0.00 to    40.33)","0.45 (0.00 to    40.73)","0.45 (0.01 to    35.26)","0.45 (0.01 to    40.77)","0.46 (0.01 to    41.79)","0.59 (0.09 to     3.76)","0.59 (0.08 to     4.63)","0.58 (0.01 to    54.94)","0.62 (0.01 to    51.09)","0.65 (0.10 to     4.29)","0.67 (0.09 to     4.79)","0.70 (0.12 to     4.13)","0.83 (0.04 to    16.45)","0.81 (0.12 to     5.39)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".","."
"0.03 (0.00 to     3.96)","0.10 (0.00 to    14.51)","0.10 (0.00 to    14.83)","0.16 (0.00 to     8.93)","0.18 (0.00 to    10.26)","0.18 (0.00 to    57.35)","0.29 (0.01 to    12.03)","0.30 (0.01 to    11.69)","0.29 (0.01 to    12.33)","0.31 (0.01 to    10.90)","0.31 (0.01 to    11.74)","0.34 (0.01 to    13.61)","0.30 (0.00 to    73.82)","0.30 (0.00 to    74.49)","0.30 (0.00 to    76.74)","0.30 (0.00 to    74.63)","0.31 (0.00 to    71.39)","0.39 (0.01 to    17.60)","0.39 (0.01 to    17.44)","0.39 (0.00 to    97.09)","0.41 (0.00 to   110.07)","0.43 (0.01 to    16.85)","0.45 (0.01 to    16.99)","0.47 (0.01 to    17.41)","0.55 (0.01 to    39.76)","0.54 (0.01 to    27.05)","0.67 (0.01 to    35.36)","Erlotinib + HGF inhibitor",".",".",".",".",".",".",".","."
"0.04 (0.00 to     1.72)","0.12 (0.00 to     6.61)","0.12 (0.00 to     6.74)","0.18 (0.01 to     3.05)","0.21 (0.01 to     3.21)","0.21 (0.00 to    29.09)","0.34 (0.04 to     3.12)","0.35 (0.04 to     2.80)","0.33 (0.03 to     3.57)","0.37 (0.05 to     2.80)","0.37 (0.05 to     2.90)","0.40 (0.04 to     3.68)","0.35 (0.00 to    35.03)","0.35 (0.00 to    35.38)","0.35 (0.00 to    37.46)","0.35 (0.00 to    35.42)","0.36 (0.00 to    35.93)","0.46 (0.04 to     4.74)","0.46 (0.05 to     4.56)","0.45 (0.00 to    41.63)","0.48 (0.00 to    54.10)","0.51 (0.08 to     3.15)","0.52 (0.06 to     4.66)","0.55 (0.07 to     4.24)","0.64 (0.03 to    14.87)","0.63 (0.05 to     7.94)","0.78 (0.06 to    10.70)","1.16 (0.02 to    69.46)","Afatinib + Cetuximab",".",".",".",".",".",".","."
"0.04 (0.00 to     1.32)","0.12 (0.00 to     5.14)","0.12 (0.00 to     5.24)","0.18 (0.02 to     2.11)","0.21 (0.02 to     2.41)","0.21 (0.00 to    24.89)","0.34 (0.05 to     2.17)","0.35 (0.06 to     2.02)","0.33 (0.05 to     2.33)","0.36 (0.08 to     1.63)","0.36 (0.07 to     1.93)","0.40 (0.07 to     2.39)","0.34 (0.00 to    30.32)","0.35 (0.00 to    30.63)","0.34 (0.00 to    31.78)","0.35 (0.00 to    30.66)","0.36 (0.00 to    28.85)","0.45 (0.06 to     3.46)","0.46 (0.06 to     3.39)","0.45 (0.00 to    40.00)","0.48 (0.00 to    45.97)","0.50 (0.09 to     2.88)","0.52 (0.09 to     2.83)","0.54 (0.10 to     2.83)","0.64 (0.04 to    10.73)","0.62 (0.07 to     5.84)","0.77 (0.07 to     7.95)","1.15 (0.02 to    54.24)","0.99 (0.08 to    12.44)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".","."
"0.04 (0.00 to     1.32)","0.11 (0.00 to     5.14)","0.12 (0.00 to     5.24)","0.17 (0.01 to     2.16)","0.20 (0.03 to     1.58)","0.20 (0.00 to    19.93)","0.33 (0.09 to     1.21)","0.33 (0.07 to     1.58)","0.32 (0.04 to     2.34)","0.35 (0.07 to     1.72)","0.35 (0.07 to     1.65)","0.38 (0.06 to     2.28)","0.33 (0.00 to    27.07)","0.33 (0.00 to    27.35)","0.33 (0.00 to    25.17)","0.33 (0.00 to    27.37)","0.34 (0.00 to    28.72)","0.44 (0.12 to     1.65)","0.44 (0.07 to     2.74)","0.43 (0.00 to    37.61)","0.46 (0.01 to    36.48)","0.48 (0.09 to     2.61)","0.50 (0.08 to     2.97)","0.52 (0.11 to     2.51)","0.61 (0.03 to    10.88)","0.60 (0.10 to     3.66)","0.74 (0.11 to     5.10)","1.11 (0.02 to    54.24)","0.96 (0.08 to    11.48)","0.96 (0.11 to     8.60)","Lazertinib + Amivantamab",".",".",".",".","."
"0.04 (0.00 to     1.01)","0.12 (0.00 to     4.04)","0.13 (0.00 to     4.12)","0.19 (0.02 to     1.40)","0.22 (0.03 to     1.59)","0.21 (0.00 to    20.82)","0.35 (0.11 to     1.16)","0.36 (0.13 to     1.02)","0.34 (0.09 to     1.31)","0.38 (0.23 to     0.62)","0.38 (0.15 to     0.91)","0.41 (0.14 to     1.24)","0.36 (0.01 to    24.95)","0.36 (0.01 to    25.21)","0.36 (0.00 to    26.23)","0.36 (0.01 to    25.23)","0.37 (0.01 to    23.66)","0.47 (0.11 to     2.01)","0.47 (0.11 to     1.95)","0.46 (0.01 to    32.96)","0.49 (0.01 to    38.03)","0.52 (0.19 to     1.45)","0.54 (0.21 to     1.38)","0.56 (0.24 to     1.32)","0.66 (0.06 to     7.60)","0.64 (0.11 to     3.65)","0.80 (0.12 to     5.10)","1.20 (0.03 to    42.92)","1.03 (0.13 to     8.35)","1.04 (0.21 to     5.04)","1.08 (0.20 to     5.70)","Erlotinib + antiangiogenesis",".","0.16 (0.03 to   0.93)",".","."
"0.02 (0.00 to     2.07)","0.06 (0.00 to     7.66)","0.07 (0.00 to     7.83)","0.10 (0.00 to     4.52)","0.11 (0.00 to     5.20)","0.11 (0.00 to    31.05)","0.19 (0.01 to     5.97)","0.19 (0.01 to     5.78)","0.18 (0.01 to     6.13)","0.20 (0.01 to     5.34)","0.20 (0.01 to     5.79)","0.22 (0.01 to     6.74)","0.19 (0.00 to    39.68)","0.19 (0.00 to    40.05)","0.19 (0.00 to    41.30)","0.19 (0.00 to    40.12)","0.19 (0.00 to    38.30)","0.25 (0.01 to     8.78)","0.25 (0.01 to     8.70)","0.24 (0.00 to    52.22)","0.26 (0.00 to    59.30)","0.27 (0.01 to     8.33)","0.28 (0.01 to     8.38)","0.30 (0.01 to     8.57)","0.35 (0.01 to    20.39)","0.34 (0.01 to    13.60)","0.42 (0.01 to    17.83)","0.63 (0.00 to    79.66)","0.54 (0.01 to    26.04)","0.55 (0.01 to    20.39)","0.57 (0.01 to    22.03)","0.53 (0.02 to    14.74)","Erlotinib + ER inhibitor",".",".","."
"0.03 (0.00 to     0.92)","0.10 (0.00 to     3.62)","0.10 (0.00 to     3.69)","0.15 (0.02 to     1.36)","0.17 (0.02 to     1.52)","0.17 (0.00 to    18.01)","0.28 (0.06 to     1.23)","0.29 (0.08 to     1.08)","0.27 (0.05 to     1.38)","0.30 (0.11 to     0.85)","0.30 (0.09 to     1.05)","0.33 (0.08 to     1.35)","0.28 (0.00 to    21.48)","0.29 (0.00 to    21.70)","0.28 (0.00 to    22.81)","0.29 (0.00 to    21.72)","0.29 (0.00 to    20.81)","0.38 (0.07 to     2.01)","0.38 (0.07 to     1.93)","0.37 (0.00 to    28.71)","0.39 (0.00 to    33.04)","0.41 (0.11 to     1.59)","0.43 (0.12 to     1.59)","0.45 (0.13 to     1.53)","0.53 (0.04 to     7.14)","0.51 (0.07 to     3.57)","0.63 (0.08 to     4.93)","0.95 (0.02 to    38.34)","0.82 (0.08 to     7.93)","0.83 (0.13 to     5.12)","0.86 (0.13 to     5.60)","0.80 (0.27 to     2.35)","1.51 (0.05 to    47.99)","Antiangiogenesis",".","."
"0.01 (0.00 to     0.48)","0.02 (0.00 to     1.77)","0.02 (0.00 to     1.81)","0.02 (0.00 to     1.04)","0.03 (0.00 to     1.07)","0.03 (0.00 to     6.74)","0.04 (0.00 to     1.21)","0.05 (0.00 to     1.01)","0.04 (0.00 to     1.37)","0.05 (0.00 to     1.21)","0.05 (0.00 to     1.21)","0.05 (0.00 to     1.46)","0.04 (0.00 to     7.81)","0.05 (0.00 to     7.89)","0.05 (0.00 to     8.93)","0.05 (0.00 to     7.90)","0.05 (0.00 to     8.88)","0.06 (0.00 to     1.68)","0.06 (0.00 to     1.54)","0.06 (0.00 to    11.39)","0.06 (0.00 to    12.83)","0.07 (0.00 to     1.72)","0.07 (0.00 to     1.91)","0.07 (0.00 to     1.80)","0.08 (0.00 to     4.68)","0.08 (0.00 to     2.80)","0.10 (0.00 to     3.68)","0.15 (0.00 to    18.42)","0.13 (0.00 to     5.47)","0.13 (0.00 to     4.66)","0.14 (0.00 to     4.39)","0.13 (0.00 to     3.34)","0.24 (0.00 to    24.43)","0.16 (0.01 to     4.64)","Almonertinib","."
"0.00 (0.00 to     0.15)","0.01 (0.00 to     0.59)","0.01 (0.00 to     0.61)","0.02 (0.00 to     0.26)","0.02 (0.00 to     0.25)","0.02 (0.00 to     2.61)","0.04 (0.01 to     0.23)","0.04 (0.01 to     0.15)","0.03 (0.00 to     0.28)","0.04 (0.01 to     0.21)","0.04 (0.01 to     0.21)","0.04 (0.01 to     0.28)","0.04 (0.00 to     2.85)","0.04 (0.00 to     2.88)","0.04 (0.00 to     3.33)","0.04 (0.00 to     2.88)","0.04 (0.00 to     3.29)","0.05 (0.01 to     0.32)","0.05 (0.01 to     0.27)","0.05 (0.00 to     4.23)","0.05 (0.00 to     4.82)","0.05 (0.01 to     0.31)","0.05 (0.01 to     0.36)","0.06 (0.01 to     0.31)","0.07 (0.00 to     1.28)","0.07 (0.01 to     0.61)","0.08 (0.01 to     0.83)","0.12 (0.00 to     6.25)","0.10 (0.01 to     1.32)","0.11 (0.01 to     1.03)","0.11 (0.01 to     0.92)","0.10 (0.02 to     0.61)","0.19 (0.00 to     7.95)","0.13 (0.02 to     0.91)","0.81 (0.03 to    24.75)","Gefitinib + antiangiogenesis"
