"Comparison","Number of studies","Within-study bias","Reporting bias","Indirectness","Imprecision","Heterogeneity","Incoherence","Confidence rating","Reason(s) for downgrading"
"1st-generation EGFR TKIs + HGF inhibitor:1st-generation EGFR TKIs + MMP inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:1st-generation EGFR TKIs + PARP inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:1st-generation EGFR TKIs + HGF inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:1st-generation EGFR TKIs + HGF inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:2nd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:2nd-generation EGFR TKIs + Cetuximab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:2nd-generation EGFR TKIs + HMGCR inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:3rd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:3rd-generation EGFR TKIs + Amivantamab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:3rd-generation EGFR TKIs + PD-L1 inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:Chemotherapy + antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:DHFR inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:Rociletinib",0,"Some concerns","Low risk","Some concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HGF inhibitor:Zorifertinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:1st-generation EGFR TKIs + MET inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:1st-generation EGFR TKIs + MMP inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:1st-generation EGFR TKIs + PARP inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:1st-generation EGFR TKIs + IGF-1R inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:1st-generation EGFR TKIs + IGF-1R inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:2nd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:2nd-generation EGFR TKIs + Cetuximab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:2nd-generation EGFR TKIs + HMGCR inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:3rd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:3rd-generation EGFR TKIs + Amivantamab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:3rd-generation EGFR TKIs + PD-L1 inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:Chemotherapy + antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:DHFR inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:Rociletinib",0,"Some concerns","Low risk","Some concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:Zorifertinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:1st-generation EGFR TKIs + MMP inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:1st-generation EGFR TKIs + PARP inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:1st-generation EGFR TKIs + MET inhibitor",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:1st-generation EGFR TKIs + MET inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:2nd-generation EGFR TKIs",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:2nd-generation EGFR TKIs + Cetuximab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:2nd-generation EGFR TKIs + HMGCR inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:3rd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Some concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:3rd-generation EGFR TKIs + Amivantamab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:3rd-generation EGFR TKIs + PD-L1 inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:Chemotherapy + antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:DHFR inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:Placebo",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:Rociletinib",0,"Some concerns","Low risk","Some concerns","No concerns","No concerns","No concerns","High","[]"
