"Comparison","Number of studies","Within-study bias","Reporting bias","Indirectness","Imprecision","Heterogeneity","Incoherence","Confidence rating","Reason(s) for downgrading"
"1st-generation EGFR TKIs + IGF-1R inhibitor:3rd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:3rd-generation EGFR TKIs + Amivantamab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:3rd-generation EGFR TKIs + PD-L1 inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:Almonertinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:1st-generation EGFR TKIs + MET inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:1st-generation EGFR TKIs + MET inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:2nd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:2nd-generation EGFR TKIs + Cetuximab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:3rd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:3rd-generation EGFR TKIs + Amivantamab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:3rd-generation EGFR TKIs + PD-L1 inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:Almonertinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:1st-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:2nd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:2nd-generation EGFR TKIs + Cetuximab",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:3rd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:3rd-generation EGFR TKIs + Amivantamab",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:3rd-generation EGFR TKIs + PD-L1 inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:Almonertinib",0,"No concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:Chemotherapy",0,"Some concerns","Low risk","No concerns","No concerns","Some concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:Placebo",0,"No concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:2nd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:2nd-generation EGFR TKIs + Cetuximab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:3rd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:3rd-generation EGFR TKIs + Amivantamab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:3rd-generation EGFR TKIs + PD-L1 inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:Almonertinib",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:Chemotherapy",0,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs:3rd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs:3rd-generation EGFR TKIs + Amivantamab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs:3rd-generation EGFR TKIs + PD-L1 inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs:Almonertinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs + Cetuximab:3rd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs + Cetuximab:3rd-generation EGFR TKIs + Amivantamab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs + Cetuximab:3rd-generation EGFR TKIs + PD-L1 inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs + Cetuximab:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs + Cetuximab:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs + Cetuximab:Almonertinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs + Cetuximab:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs + Cetuximab:Chemotherapy",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs + Cetuximab:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs:Almonertinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + Amivantamab:3rd-generation EGFR TKIs + PD-L1 inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + Amivantamab:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + Amivantamab:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + Amivantamab:Almonertinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + Amivantamab:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + Amivantamab:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + Amivantamab:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + antiangiogenesis:3rd-generation EGFR TKIs + PD-L1 inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + chemotherapy:3rd-generation EGFR TKIs + PD-L1 inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + PD-L1 inhibitor:Almonertinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + PD-L1 inhibitor:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + PD-L1 inhibitor:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + PD-L1 inhibitor:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + antiangiogenesis:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + antiangiogenesis:Almonertinib",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + antiangiogenesis:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + antiangiogenesis:Chemotherapy",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + antiangiogenesis:Placebo",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
